epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,marginal_frac,mean_spike_margin,mean_vth_at_spike,rec_spectral_radius,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std,val_v0_nrmse,val_T_nrmse,val_s0_nrmse,val_a_nrmse,val_b_nrmse
1,0.7538835316896438,0.6169227874279022,0.4327789304405451,0.04286228734999895,0.0911887795707662,0.0007019114498258716,0.7319295708327851,0.6078843994343535,0.4184316823932719,0.04349274457769191,0.07907973696332521,0.0018952560768944542,0.4914814736093539,2.0751213362812995,0.17176974945245904,76.61528968811035,8.975451783044264e-05,1.5237915515899658,2.260878801345825,0.06670825183391571,1.6580797956409652e-05,4.9281829989759434e-05,8.14915501323518e-06,-0.003714460413902998,-0.002069955924525857,36.62393292974919,1.3337828107970826,3.3108551438818585,0.9362064674496651,1.0842280647856124,2.4115275242861283,0.1561522494922293,0.37845726517286704,0.1492576494000535,0.15228733531338104,0.33724901456063466,0.2106432485952578,0.2729209130652582,0.24654026776174537,0.2213660338055781
2,0.7802625367045403,0.6640423604846001,0.48005286786705254,0.04895555794239044,0.0649596477637533,0.0016149290661547867,0.8230155023171547,0.7168401980653722,0.5486195610162425,0.05180248469510611,0.046982216778950654,0.0034820100787178736,0.4665064179334078,2.3443741679191588,0.19217954167818768,76.1782557964325,0.0001627869060030207,1.5147910118103027,2.367448091506958,0.06565296649932861,2.021301642484777e-05,4.9281829989759434e-05,9.42950188798487e-06,-0.006924699526280165,0.0003254686889704317,35.913653343281844,1.590912083996103,3.0578862847165857,1.2319295878740066,0.9275178367153127,2.5489484342013267,0.1646709129055764,0.41855759110222474,0.17310547860378914,0.12551420298900376,0.3234290420190757,0.25610030419488544,0.21641767182207414,0.23992487848390803,0.26967274700728927
3,0.8546539831161499,0.7202192243933677,0.5587590551376342,0.051019370146095755,0.07503302304452518,0.001949733518983976,0.801029087698206,0.7003262035073118,0.5232159694300053,0.05192835036506678,0.04395661528066372,0.0036564979889812145,0.42677684174324626,2.700538868904114,0.19386344815188267,74.67351198196411,0.0004866179951932281,1.5185043811798096,2.4663877487182617,0.06658860296010971,3.660903774511108e-05,0.0001453282695739922,1.56238895081178e-05,-0.002843035152181983,0.0003377331013325602,35.41147209735627,1.5177087821858994,2.800586407488965,1.277441921703359,0.9258866034289623,2.6289673054471927,0.16521183306232412,0.4129106993687914,0.1750543312506473,0.12490239614581174,0.31294970724531934,0.23455557043713376,0.18694409595727568,0.24327967554047952,0.27047747359939905
4,0.8508648726344109,0.7260777911543846,0.5662746743112802,0.05074918288737536,0.0646758623655478,0.0018925890898390208,0.6701057884604373,0.5815192462599024,0.3742312684338144,0.04666525503977182,0.047050763136101216,0.0035587759108600893,0.37500025,2.807452849149704,0.19253879187113426,74.97616791725159,0.0003339376125950366,1.5066249370574951,2.346449375152588,0.07477865368127823,0.0001326097615965363,0.0014089324247020076,4.972869375114151e-05,-0.010741726495325565,-0.0007699494017288089,35.071114996646315,1.324976124344988,2.8038320427245282,1.100625218229091,0.9562790485772681,2.671720825452754,0.15474634990096092,0.40732367463568425,0.16231970718883454,0.13189568826334275,0.3057931129535541,0.1839851242999096,0.19045814019372717,0.22762080398953272,0.26262802617968245
5,0.5679891982674599,0.48466156363487245,0.26140601459890606,0.03442742164246738,0.054403889621607956,0.0021235597246106862,0.45412760972976685,0.39603149343995336,0.17944101750494001,0.02266888895711089,0.03729048817731731,0.0034561615007334514,0.3147051318661076,1.838894779086113,0.19156883787760076,74.70440745353699,0.0002031116746366024,1.522099494934082,2.4444172382354736,0.1776062399148941,0.0004803553972963578,0.0030447345566850764,0.00015117030864874678,-0.02494334615767002,0.002304410096257925,34.63297308252213,0.8816082623410733,2.7974261286410878,0.7023117683352308,1.369952380974242,2.7443485426458905,0.1036484965539359,0.4239666113193999,0.11274174998633246,0.1866745686435953,0.29572513376154735,0.22307778742835083,0.18416506120429046,0.2548697414853185,0.19438127188970816
6,0.4163201510906219,0.37879545137286186,0.15555145420134067,0.02338489924557507,0.019734642403578848,0.002131334522448043,0.34157815853014906,0.32663587258851273,0.11170844599961284,0.017214949107778436,0.001303879946203295,0.003213626168810467,0.25000049999999996,1.2298185329139233,0.18785933282305586,75.18495440483093,0.000609849055763334,1.513273000717163,2.453795909881592,0.4524317681789398,0.00174000243220231,0.007115286485639175,0.00043500147805179354,-0.03269676864147186,0.0046991026028990746,35.6795771578525,0.8397467279053749,1.7852180707961955,0.6511417972914716,1.3895760067599885,2.538951392662018,0.09152250738933365,0.2488106259323181,0.1036654115119513,0.18733649827698443,0.3161841999259964,0.23086526903134433,0.20049148212640647,0.2513464270655644,0.2004113933001374
7,0.3836522504687309,0.3640827599167824,0.14636666525155306,0.03143032769672573,0.0024781365049420857,0.001766342853997056,0.3583121977429441,0.3349566242082956,0.12542291942171435,0.02266175998870204,0.008246652876589499,0.002867081558904864,0.18529586813389237,1.7217881923913956,0.18186582700210682,76.1721179485321,0.0004934284370392561,1.4804517030715942,2.3589348793029785,1.0308414697647095,0.003151425466551027,0.007593647028196602,0.0005839461176838294,0.005381524097174406,0.006775913294404745,34.247230174693655,0.9396809371227913,2.3252847143944275,0.42466785473392366,2.148708441790114,2.731558345892328,0.11210174375074974,0.31868912683839495,0.04927506382042106,0.17139767114310822,0.2932030422446807,0.1949552381919958,0.14249681124545738,0.3333736054963901,0.34202838652282413
8,0.4141761863231659,0.3946017402410507,0.1690030447393656,0.02220178135903552,0.0008570278723959746,0.0014140525875631482,0.3811669198280953,0.3630689839891931,0.14374525027666638,0.020188022079193926,0.00177151593596407,0.0018849852977161328,0.12500075000000005,1.4027704139053823,0.16712724369891147,77.48019576072693,0.0004207426100037992,1.431007742881775,2.208116054534912,1.377236008644104,0.0065180284681690395,0.00794587913266236,0.0008147584470424814,0.0422782301902771,0.009725105948746204,40.43702989943484,0.977635071315664,1.5705695272760187,0.5875832108741111,1.5075624382242243,1.6539913626447162,0.10323501871700616,0.18906296888723018,0.09053147320655432,0.15959637564547519,0.42849393716948364,0.19873833390036172,0.2519160176237779,0.2737210560650651,0.17704306833889294
9,0.3345599766075611,0.32101730108261106,0.10957240348681807,0.020492088834289462,0.001165726693363638,0.0007902073539464305,0.314261516516513,0.3019727888576528,0.09941943477284401,0.01934995011307616,0.0006733526503176278,0.0014118647835803994,0.07322415825675373,1.3804440467059613,0.15854335429662086,74.64386773109436,0.00010664960427675396,1.3969266414642334,2.0289740562438965,1.2743585109710693,0.0032590142340845197,0.00794587913266236,0.0002386385740376179,0.05464761704206467,0.003964470233768225,41.623958191973095,1.0197531257538086,1.7010430915558592,0.4940646755251479,1.6678575695829188,1.2659191858181928,0.10266734128619762,0.22195038873147457,0.06908911310057057,0.15914066385557044,0.459166730265682,0.16276547139057132,0.21602893693495914,0.3080645080852361,0.2178550666635189
10,0.3260197241604328,0.31322144106030464,0.10466803193092346,0.021620147465728223,0.0010719559495919384,0.000357031901328968,0.31681696388949737,0.30482379339159804,0.09825214993287908,0.01654131138360405,0.0006403921537763052,0.0014009950392425354,0.03349458206659221,1.0274210906028747,0.1541420173771838,75.43877673149109,0.00013745074102189392,1.4183483123779297,2.2222986221313477,1.265127420425415,0.0032590142340845197,0.00794587913266236,0.00010915931971973611,0.053916122764348984,-0.000695205177180469,41.363450435881916,0.8992525351808426,2.4331489497042718,0.47154495516356004,2.023796552673299,1.337371063463271,0.10029449143466797,0.32447517132188414,0.06107159546437733,0.15408896234758357,0.45113120484623864,0.21187400321825847,0.2092696874411628,0.31642946765439345,0.3220279003177948
