tag,run_dir,ckpt_epoch,ckpt_val_loss,val_total,val_data,val_phys,val_ou,val_bc,val_sr,val_spike_rate,val_val_T_tracking_corr,val_val_T_intra_corr,val_val_v0_pred_mean,val_val_v0_intra_std,val_val_T_pred_mean,val_val_T_intra_std,val_val_s0_pred_mean,val_val_s0_intra_std,val_val_a_pred_mean,val_val_a_intra_std,val_val_b_pred_mean,val_val_b_intra_std,rank_effective,cond_number,sv_norm_1,sv_norm_2,sv_norm_3,sv_norm_4,sv_norm_5,cfg_cf_hidden_size,cfg_cf_rank,cfg_cf_max_delay,cfg_cf_bit_shift,cfg_lambda_T_aux,cfg_lambda_sr,cfg_scenario_mix,cfg_optimizer,cfg_epochs
R25_A2_seq_len_short,results/Prodigy_Study/Ablation_R25/A_memory/R25_A2_seq_len_short,10,0.17817078891300386,0.17457987489479204,0.16486037806157142,0.03147705626794167,0.013485845737159252,0.00022422347079710284,0.01134655134632222,0.044502146980695184,0.3470643162727356,0.012836829759180546,39.11818327749929,1.6328106829716313,1.19054758260327,0.08414529664141517,3.939843214711835,0.20896079327550626,0.37045383472596444,0.03261635125307462,1.4441018098785032,0.1593901608980471,1,3201.032998378548,1.0,0.007852158860241518,0.0027512088157225162,0.0008786024733210188,0.0003123991538064557,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_A3_seq_len_long,results/Prodigy_Study/Ablation_R25/A_memory/R25_A3_seq_len_long,10,0.184488057614641,0.17912643450371762,0.16966654986460158,0.03036638846660548,0.007495289319194853,0.00079909920968835,0.010498764496197568,0.048555699256347847,0.4382542371749878,0.05800767242908478,35.259515985529475,1.8679747946084815,1.2023802982999923,0.0838268120634429,3.3914060288287224,0.2392133632872967,0.3819433482403451,0.051447638921014546,1.3853434178423374,0.16364234503596387,1,4293.718862274093,1.0,0.003021275769848419,0.00265208041140653,0.00030004587924563103,0.00023289834105961178,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_A4_delay_long,results/Prodigy_Study/Ablation_R25/A_memory/R25_A4_delay_long,10,0.17999725444044204,0.17626761981940015,0.16795252259582916,0.0312334052955811,0.011967961525326556,0.0004575231209110387,0.008271672022330792,0.06047289563897759,0.43051519989967346,0.017833659425377846,39.17349601299205,1.4056469970878134,1.3046275596035288,0.08727368613348362,1.1757942837603548,0.058674288553215485,0.3914443248129906,0.0375623046550553,1.3151271685640862,0.16353911771736246,1,14255.391545763274,1.0,0.00399668676554112,0.0002667565751696884,0.00016266258476917755,7.014889747431747e-05,32,8,18,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_A5_leak_slow,results/Prodigy_Study/Ablation_R25/A_memory/R25_A5_leak_slow,3,0.20709601308199319,0.1989856390084358,0.18828915467763202,0.03998364525242768,0.005895483343455782,0.00024032550287037287,0.012326040954150736,0.03932194477145342,0.3472723960876465,0.019651232287287712,36.869528882046964,2.390840191156306,1.2590316990588575,0.054223422218668965,1.7034886675946257,0.19976862210859644,0.3642815359412356,0.038415415883603,1.1761780387543617,0.12484989291492929,1,7751.074940097372,1.0,0.0017259366662165476,0.0002360971147203256,0.00014822614146321804,0.00012901436352096961,32,8,6,5,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_A6_combo_memory,results/Prodigy_Study/Ablation_R25/A_memory/R25_A6_combo_memory,10,0.18461331733046693,0.18023427203297615,0.17163203910310218,0.030901345137031154,0.00979624189773297,0.0004244348772390174,0.009195701246387623,0.054871735836755725,0.23924520611763,0.025066496804356575,30.994011615185027,2.5474731809598334,1.1356030689909102,0.09127669175096015,3.683085674935199,0.3200282043916114,0.36035231770353116,0.0428521578695004,1.203541785478592,0.2054997241877495,1,5882.69672749526,1.0,0.0025297349965350863,0.0005395505860949696,0.0002344722667876819,0.00016999006515601577,32,8,18,5,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_A1_baseline_replica,results/Prodigy_Study/Ablation_R25/BASELINE/R25_A1_baseline_replica,10,0.19537745784730354,0.1914550641036414,0.18001999012491804,0.03540742471120618,0.014941388939289337,0.000526127889863402,0.013242268013431037,0.03543994282471373,0.38075658679008484,0.019923588261008263,31.35623575778718,2.92921149603864,1.062932109262081,0.08507677456958497,3.753414316380278,0.23682937777026536,0.40709064441158416,0.043484898195779255,1.3657193012694095,0.13321519349800778,1,7787.106489569648,1.0,0.003152961044347671,0.0015815351541610743,0.00035063499491659275,0.00012841740399202693,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_B1_T_aux_low,results/Prodigy_Study/Ablation_R25/B_loss/R25_B1_T_aux_low,9,0.18977580062965763,0.18399705658567714,0.16994100091780753,0.03222403328301028,0.007051567592227118,0.00037300815705838494,0.011652317908691598,0.042682213213374,0.53165602684021,0.027934497222304344,40.37624496094724,1.3082877666035548,1.239348275230286,0.06122826203267942,1.8318211144589363,0.247237973945572,0.37896404637301223,0.038255582289352524,1.2193261324725253,0.13522633854696092,1,5997.705858361902,1.0,0.004698104978958923,0.002199689936949502,0.0002954580932619982,0.00016673041719873885,32,8,6,3,0.1,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_B2_T_aux_mid,results/Prodigy_Study/Ablation_R25/B_loss/R25_B2_T_aux_mid,10,0.23990077842423257,0.232152378424368,0.18245513229928118,0.03695968174662916,0.007597593453148023,0.0007838851770280348,0.015251072054292927,0.026691397325076322,0.5764405727386475,0.03388477861881256,36.97836213416242,2.7891127849195865,1.2494436844866326,0.05993602089980181,1.7459377665468987,0.286278662925705,0.476126029770425,0.07859732573876713,1.249149592949989,0.14284683724350117,1,17942.274589084172,1.0,0.0035954322942235396,0.0014372660492974725,0.00028449933805515886,5.573429361115596e-05,32,8,6,3,1.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_B3_T_aux_high,results/Prodigy_Study/Ablation_R25/B_loss/R25_B3_T_aux_high,7,0.541833998516519,0.5127203017473221,0.16995422046710837,0.03207056136663131,0.003984289651890186,0.0018621204559173112,0.013392101626526168,0.034544694039257286,0.5950011610984802,0.04885217174887657,36.22366802743141,2.426641800619186,1.1926569827693574,0.047198564904008776,2.0213172835238438,0.26983669630073487,0.3724847561184396,0.045690958255982746,1.313179058280397,0.154613155039384,1,24962.46422234725,1.0,0.002106132697437902,0.001205859985613964,0.0002139460432276131,4.00601475516494e-05,32,8,6,3,10.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25_C1_sr_off,results/Prodigy_Study/Ablation_R25/C_spike_rate/R25_C1_sr_off,10,0.18192495758387636,0.17717060775674404,0.17205862272927103,0.03252212739638746,0.011574395185465271,0.001281053552304218,0.0160881069122239,0.023281780235033404,0.4360828101634979,0.024536939337849617,36.96702153631981,2.087220844436199,1.2976910605075511,0.07444784098720932,1.6118532203613443,0.1674274225184258,0.4151452778184668,0.0655799885537411,1.4244405205579513,0.15854575191723538,1,13224.054194467499,1.0,0.0025739229100673463,0.0007003019093819163,0.0002800069061470394,7.56197747902732e-05,32,8,6,3,0.0,0.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
