epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,marginal_frac,mean_spike_margin,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std,val_v0_nrmse,val_T_nrmse,val_s0_nrmse,val_a_nrmse,val_b_nrmse
1,0.41096033722162245,0.3817822705209255,0.16560512267053126,0.030163010554388164,0.010760723177991167,0.0006973607639300305,0.30700348444441533,0.29479635760505146,0.09184812914897153,0.03166869376350115,0.000518460271265271,0.00184083994832285,0.0019659428633759237,1.2066120931506157,0.16872002735258418,77.72226095199585,4.582111432682723e-05,1.510194182395935,nan,nan,nan,-0.019362233579158783,0.006713685113936663,35.43557509970158,1.0225910782179934,1.9267786348119695,0.588778056362842,1.5054520958281579,2.701342136301893,0.12594475521844753,0.2710129383238072,0.08555274456739426,0.19232966576484925,0.31444308657425224,0.1775629506664301,0.19159507208198182,0.26918172713176786,0.17247192214444315
2,0.324191776663065,0.3109024637937546,0.10023981392383575,0.03693294867873192,0.0008222271726845065,0.0011929090112207065,0.3198910503786929,0.3059527502256505,0.1004855523599272,0.04090259638317722,0.0005850203308430905,0.0025191901809365363,0.0018660923910825465,1.1632945629954339,0.1767128697259629,76.63721990585327,0.000354641379090026,1.4843065738677979,nan,nan,nan,0.011576042510569096,0.001208616653457284,35.099519780341616,1.0756418061383226,2.7502062764573605,0.5661975099368298,1.8912721479192693,2.54832142884744,0.1485069797156339,0.3580300197639364,0.08885559302933038,0.19012528665839357,0.30413009934921437,0.16127275675652833,0.19619429421744644,0.27965690219180067,0.23223590956614384
3,0.3101764231920242,0.2965484096109867,0.09116317451000214,0.03691561296582222,0.002400227258549421,0.0005313788011582066,0.3164096365266658,0.30283846083949223,0.10046026635756518,0.026601367114864764,0.0012506054847091384,0.0018889470253798733,0.001707253227795954,0.9663050980865955,0.1588471260397358,76.65752863883972,0.0002694570575840771,1.4441637992858887,nan,nan,nan,0.05919863283634186,0.0018680285429582,32.5939109477591,1.0053503690881933,2.9535858656497713,0.4703949200029069,2.0987830250821213,2.8028141133328703,0.11678936372094965,0.33600041183068396,0.05905316191467833,0.1576063089627535,0.2460737240369658,0.17548307154929088,0.23339752270629158,0.31480037150430057,0.3129151116548583
4,0.3236007358133793,0.3107682991027832,0.10092876061797142,0.027090230518952013,0.0011003494952365146,0.0005693974520130496,0.31503318444369954,0.30285761588589943,0.1003514858646358,0.021201585736522015,0.00026814472616546906,0.0016243933200633877,0.0015002499999999998,2875.9752912855147,0.14240636420931588,76.80743503570557,0.0005223978077992797,1.3249876499176025,nan,nan,nan,0.029766175895929337,-0.0001593316119397059,34.250315574889484,1.175094982728045,2.1873149706962263,0.43807459147052563,1.907571774847964,2.4036748872158373,0.11583448859288338,0.2824329209930085,0.05324340047948855,0.16265668498074753,0.2751525174728655,0.2318673510046888,0.20656628799230348,0.32825379009088346,0.2839199851902904
5,0.3541416688263416,0.34063596740365026,0.12067015834152699,0.020560969421640037,0.0001853695493025498,0.00045053454673606554,0.3684957474073831,0.3524691103462209,0.13966078876933835,0.02133007326282244,0.00019327592234982992,0.0016015583408044195,0.0012591896355799695,7878.292341917753,0.1501933909714856,75.7887978553772,0.0004118828219361603,1.297178030014038,nan,nan,nan,0.03261219710111618,-0.0005157385021448135,27.16812744546444,1.2437788257573514,1.958927441784676,0.36625316374479455,2.153657172588592,2.7665462925079023,0.11559337746114173,0.25071457519810253,0.02724342406331066,0.1490235401198585,0.183002338179841,0.22959582221468477,0.21004559438224157,0.35759149288419095,0.3306516663726499
6,0.7453750988841057,0.6861731377243996,0.5756535846740007,0.02309315119870007,0.00014304192156153306,0.0006778011500380288,1.0088423490524292,0.9027673775686863,1.0352379159229075,0.025914000540456558,0.00018282915643214168,0.0021453109249877918,0.0010004999999999999,13237.09699951172,0.16693503813857727,76.32172083854675,0.0008901699911803007,1.3063808679580688,nan,nan,nan,0.05142664164304733,-0.002480826573446393,20.225658918948884,1.6877776016580297,1.6999079971871478,0.3684280528984171,2.6888682601299694,2.6162439375481705,0.1280103303056131,0.20737669779423704,0.029217240118243275,0.09201030180036546,0.2531495817555156,0.33238467659191323,0.23074910055346595,0.35660597531606414,0.5014821293827862
7,0.8834409436583519,0.8103294965624809,0.7123905910551548,0.0225998943625018,0.00027244000210885133,0.0009399082668568326,0.7283434296383503,0.6709850056374327,0.5459256299394877,0.021223719518488036,0.00039596921564747815,0.002617411998978259,0.0007418103644200306,13936.697587890625,0.1744616446976966,75.60284090042114,0.0012135922443121672,1.317385196685791,nan,nan,nan,0.05101988464593887,-0.0012190175475552678,23.114530979318822,1.8924470404361158,1.8085471911633269,0.42546866865868266,2.6973643594599785,2.816461875083599,0.11889421042213415,0.23093371727365128,0.050700257007191156,0.09029117936981802,0.21340627872050266,0.40669215528611463,0.21520091907862093,0.33400199296405425,0.5040852463496246
8,0.8528886941075325,0.785194356739521,0.6552783437073231,0.02214980114251375,0.0004731312081025862,0.001171747085505288,0.753116155399921,0.6919553624664215,0.5822025976995838,0.021668843001726657,0.0004579534288810232,0.0027982793818846605,0.0005007500000000002,14955.527147216797,0.17678541535551243,75.77557945251465,0.0008665069472044706,1.3413770198822021,nan,nan,nan,0.051760099828243256,-0.0015425302553921938,22.540917391472675,1.8737139974502808,1.6094544561619455,0.39041988456502874,2.6417237158785474,2.784508613195825,0.11988888960331678,0.19086048133829805,0.03901537979378345,0.1017636088902091,0.2195442726255126,0.39919243528147663,0.24465495527523515,0.3480552509106311,0.48744384188406287
9,0.845066664069891,0.778445728868246,0.6418271581828594,0.021848624129779635,0.0005675478489456509,0.001556490872293921,0.7359027801517476,0.6772238261839176,0.5577833680039708,0.021480969560179027,0.0004491693433208716,0.002754799646196718,0.0002937467722040458,15242.652155761718,0.17605790812918481,75.01711201667786,0.0004207770398352295,1.3750135898590088,nan,nan,nan,0.055817611515522,-0.0010290395002812147,22.792626446865974,1.8837467457385773,1.6297162099087492,0.3950759912741945,2.6381462964605777,2.797047073536731,0.11915965071146159,0.1951582956108007,0.04105014265812141,0.10225510959850347,0.21720258277851626,0.40246352505612126,0.241081825460789,0.34613670405264596,0.48628105961997253
10,0.8494613379240036,0.7823168045282364,0.6521663840115071,0.022200802825391292,0.0003088191240021843,0.001018078873602235,0.7316089453215294,0.6735292759505992,0.5514382545915532,0.02143765798276984,0.0004964360275444487,0.002735054456000997,0.00013490760891745352,15247.785450439453,0.17572386245778265,75.20078754425049,0.001587169012054801,1.3618017435073853,nan,nan,nan,0.055132437497377396,0.0012222451623529196,22.892751267615786,1.889133188318699,1.6384847316336124,0.3971090903307529,2.636159340751932,2.798743928366519,0.11899351849755709,0.19748891125175547,0.04193667883667698,0.1027976771509473,0.21659215551184585,0.40430207198455215,0.23946358957573263,0.34530468789808383,0.485580583269264
11,0.669574878513813,0.6261006155610085,0.4103414362668991,0.02019661440514028,0.0007517713261404424,0.001357033373855927,0.5943312319986364,0.5555705457450227,0.35796227954090276,0.0195535560497058,0.0004763568209041489,0.003020846277960389,3.505713662407634e-05,14415.54484375,0.1791560726755477,75.2544207572937,0.0004977910430170596,1.357102394104004,nan,nan,nan,0.054428499191999435,0.0010911673307418823,25.027768155361745,1.9519406582446808,1.5099896059391347,0.4276224672794342,2.605019375364831,2.8801565519038665,0.11528608494220262,0.1661141296016409,0.05447217644727294,0.10809807852405975,0.20088883036702357,0.4298661485139469,0.26336023944897524,0.3335659854781193,0.47431413462716
12,0.6296489414572716,0.5909018835425377,0.36856284506618975,0.019638697234913707,0.00014064519390558417,0.001536387007285498,0.5932938900399716,0.5547176929230385,0.3561888985197119,0.019493350265931558,0.00047310177073439533,0.0030190792742881183,1e-06,17527.125122070312,0.1791408852614621,74.86284685134888,0.0006484113982878625,1.3602712154388428,nan,nan,nan,0.05469135567545891,0.0008185209590010345,25.053292862912443,1.9521534969197942,1.5108324936095705,0.42761619262238765,2.6050319874540286,2.8835091876222734,0.11520574051649013,0.1662262035335632,0.0545105252692357,0.10837318185479083,0.20071007243288988,0.4299008263067848,0.26314362261445023,0.33357836014677794,0.47431651236918787
