champion,min_gap,brake_margin_min,min_ttc,max_DRAC,max_decel,rms_jerk,impact_dv,collision_rate,collision_ub95
Master Splinter,7.7337391510221725,7.560726721309084,5.576446778868241,13.573036528839156,5.379607056644228,2.340379848871462,0.3681944199865608,0.07555555555555556,0.11765647496007071
Raffaello,7.475265326929291,7.312072164070773,6.725716520787699,10.708351389621287,5.361692433291012,2.10282513912213,0.3227785327481471,0.06666666666666667,0.10706890947270407
Leonardo,7.803841236378577,7.63371915729878,7.024502734833334,97.44788882625404,5.370918283727434,2.1527581661020636,0.3476885870390111,0.07111111111111111,0.11238001013947291
Donatello,7.427796304194774,7.258540613719391,5.604074939664406,24.614975820088283,5.361467767953872,2.2210768940690264,0.360950400397638,0.07555555555555556,0.11765647496007071
Michelangelo,7.755723772983577,7.593491300033899,7.125836278111221,18.646640429232818,5.360439475244946,2.1348055599361135,0.3317049907584024,0.07111111111111111,0.11238001013947291
