epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,0.6415059566497803,0.5284730005264282,0.3971232260391116,0.019978990543168037,0.0683348229279568,0.007973716803826391,0.23924275582775156,0.22614847115696746,0.059036839902004666,0.0091426845768744,0.0011279713403128649,0.01121098964544449,0.9045085926789765,1.9526272528618573,0.04490764261758391,141.67495560646057,0.017883141534996493,0.017883141534996493,0.01617545518249863,0.04881037399172783,37.37412306602965,1.0653682389157884,1.2970589874906744,0.4526496348862952,0.941238208654079,1.6886663157889183,0.07068138385310452,0.08420999727628016,0.046302032539933084,0.0889215507802177
2,0.24117445841431617,0.22821475937962532,0.05863133043050766,0.007355600199662149,0.0014764841250936556,0.01050460762809962,0.22361055777428,0.21171087751838755,0.050900944709242814,0.007875498235621985,0.0004326582118960203,0.011966300816176103,0.6545088426789765,0.42055438611656426,0.04152284539800058,141.53413939476013,0.017883141534996493,0.017883141534996493,0.01170467426953489,0.04978514835238457,38.8221687154567,1.2139330259028902,1.4410818212843957,0.4862988844830939,1.276653563722651,1.2265141414518053,0.06176681299396652,0.14469616757111348,0.06189277869286362,0.1025694905522656
3,0.23832080639898778,0.22519965641200543,0.055286446511745455,0.008085003599990159,0.0015267006088879498,0.011323109567165375,0.21597622703523078,0.2037932480427813,0.04797863414847946,0.007166816980548283,0.000931245560090036,0.012191059057937657,0.3454921573210234,0.6255396179109812,0.03994153167537235,142.76303577423096,0.02522479735518202,0.02522479735518202,0.008714969656227482,0.14611156284809113,36.21124687600643,1.151537556914573,1.6423618482782485,0.3377020576215805,1.0110126781336806,2.5211187662913446,0.06972474442358981,0.20500907967699336,0.03430215833155826,0.1194380975546355
4,0.2113159365206957,0.1991455426812172,0.042794741950929166,0.006861495757475495,0.0008636439449765021,0.013368401313200592,0.19555696595380914,0.1837750383196993,0.03771856206746653,0.008054529026923503,0.0011722426462671622,0.012870206405963511,0.09549240732102349,0.5683309191465378,0.03716989179597573,142.0529820919037,0.02522479735518202,0.02522479735518202,0.0024087766236313172,0.2830013632774353,38.6164530896126,1.1885811711879486,1.926709438258029,0.39009758100864733,1.2974579156713282,1.3300070463025824,0.0657135310602632,0.2595756628570404,0.0483959920488234,0.1573117441557189
5,0.2046194314211607,0.19292996868491172,0.040000456725247206,0.008577949381433428,0.001128973422305819,0.012263090563938022,0.18920217769497888,0.17718235133810245,0.03475454706758102,0.01065592739998581,0.0016390147467950312,0.012745123832149709,1e-06,0.5094380193948745,0.03790495231589104,141.49069619178772,0.02522479735518202,0.02522479735518202,2.522479735518202e-08,0.342634916305542,38.41997410388703,1.2589607720679425,2.283641718803568,0.41943150790447886,1.4580470405994577,1.45969018086474,0.07553671357875809,0.2861788812628452,0.05618709507598396,0.16711308636722413
