tag,axis,n_ep,planned_ep,Tp_ep,Tp,val_data@Tp,vb_ep,val_data@vb,spike_train,gn_max,hidden,lambda_sr,restart_T0,restart_decay,restart_warmup,restart_adaptive,expl_thr
R33_D2_A3_adaptive_thr10k,D_isolation,25,50,14,0.0650879219174385,0.1916358942918955,12,0.1702876831305788,0.10637484223653486,1.0672537597599769e+19,32,0.5,15,1.0,0,1,10000.0
R33_C1_A4_T12_fix,C_champion_fix,49,50,21,0.0641693174839019,0.1659875853938308,36,0.1588771700304239,0.11867424402981992,1.7809540664225833e+19,32,0.5,12,1.0,2,0,10000.0
R33_D1_A4_T15_thr10k,D_isolation,42,50,26,0.0635187476873397,0.1657262151624928,30,0.1649874082588135,0.10846429638044773,12104935607011.28,32,0.5,15,1.0,2,0,10000.0
R33_C2_A1_T12_fix,C_champion_fix,50,50,47,0.0518366396427154,0.1734970653271104,23,0.1654253637299258,0.1347682374991476,52.29707067869387,32,0.5,12,0.3,0,0,10000.0
R33_C3_B5_T12_fix,C_champion_fix,50,50,11,0.0492534190416336,0.1736034137850746,49,0.1695120755503786,0.1486231587618589,1276421.1512244618,16,5.0,12,0.3,2,0,10000.0
