epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std,val_v0_nrmse,val_T_nrmse,val_s0_nrmse,val_a_nrmse,val_b_nrmse
1,0.9046027907729148,0.75045075237751,0.6187584839016199,0.0035459764883853497,0.021971559361554684,0.006852333275601268,0.5094367019198043,0.4178611837486003,0.21157424793420163,0.002591031206588439,0.02171368361110155,0.005352933996386746,0.5,1121137048005616.6,0.07868308583868945,137.11668753623962,0.01719838926712258,0.01719838926712258,0.00859919463356129,0.00404193764552474,0.007286715786904097,28.16435313732066,1.0541163898528891,2.702742664103812,1.0358725402583466,1.4894578723197287,0.25430194240935305,0.04281368408788075,0.044774061811969,0.04521488898651714,0.05962531668867203,0.19989960174890137,0.15817768449976616,0.10820487507596814,0.13153694236138397,0.10220633712247866
2,0.3910393424332142,0.3083292753994465,0.10075753390789031,0.0026685606653336436,0.013045008103254076,0.005422956633847207,0.34685745177433847,0.2815456511650948,0.0876533683399333,0.00306818233505684,0.0029061386675532552,0.006114852045008794,0.49148145657226705,0.5681044451892376,0.07292794319305648,136.98508667945862,0.01719838926712258,0.01719838926712258,0.00845268940770225,0.05119673162698746,0.006018550135195255,30.48329503485497,1.1778856072020023,2.364030124025142,0.9144963679161477,1.2985049549569474,0.4565292639618224,0.041793796194202086,0.06893341813949828,0.043294864340110664,0.06229613745149146,0.21316242918603076,0.11721723741597541,0.07808630859020252,0.15277366650927754,0.1401395998868481
3,0.35768241465091705,0.29141270577907563,0.08864826310425997,0.0030789635237306358,0.0022286574843262486,0.005694497246295214,0.351228294458161,0.2710770817988731,0.0788013243730715,0.0028579872444598996,0.0007513740087782898,0.004889650700707979,0.4665063509461097,0.5368844993412495,0.08120441411007592,137.25153875350952,0.01719838926712258,0.01719838926712258,0.008023157819156093,0.08918105810880661,0.007882325910031796,30.716025727860472,1.0450967816596335,2.1571891383921846,0.8048265478078355,1.2137883175560769,0.6003364698683962,0.040734379591935495,0.07520777575592412,0.04128127140884704,0.05712390932789509,0.20796178714737795,0.14090238725425286,0.10363709886380425,0.18657153877348281,0.16269022955613824
4,0.3361914747953415,0.2752612464129925,0.07959850637242198,0.002789757662685588,0.001093656825033591,0.006231691727880389,0.3434018792307123,0.28149688596579625,0.08567422412415134,0.0024946075628828656,0.00044318849911705716,0.006686076571411909,0.42677669529663687,0.48471055522561074,0.06887581169684516,137.6959490776062,0.01719838926712258,0.01719838926712258,0.007339871735847723,0.08759747445583344,0.007919025607407093,29.209854156412977,1.2064912839138762,2.170380698873642,0.9914959025509814,1.3119059851829042,0.7799065293783837,0.039598741499271166,0.08367588448318396,0.03881914033851725,0.059170366264879704,0.17982224329500276,0.11919288135171796,0.10263616198704655,0.13669019327826376,0.13636509134040362
5,0.32201855883002284,0.2614011406898499,0.07187883049249649,0.002791934323031455,0.0009286568153811459,0.006211434807628393,0.3231013709718877,0.26424502854810117,0.07522795787279277,0.0036154522949413573,0.00046330729744834166,0.006209106367215157,0.375,0.5016410295665265,0.07202480002207325,137.60217475891113,0.01719838926712258,0.01719838926712258,0.006449395975170967,0.05879579856991768,0.0016349890502169728,27.767544442034783,1.2592771256223638,2.2062480322858122,0.9338427946922627,1.3136692173937534,0.8799168819442709,0.050202945841753735,0.08524623178341921,0.038710164381785594,0.05977353239630131,0.15691785542355588,0.13772150187787968,0.09567457908849046,0.14887093095125384,0.1396514064241683
6,0.3133142212033272,0.25630935534834864,0.06979381212964654,0.0035387166100554167,0.0011059394978383352,0.005572030474431813,0.322511918605008,0.24878617035264664,0.06760868994132714,0.0037758397334750663,0.0018467037617878766,0.00656317951445012,0.3147047612756302,0.8467116659879684,0.06992301864034318,138.05233645439148,0.01719838926712258,0.01719838926712258,0.005412414988635172,0.044149354100227356,0.0002490317856427282,26.216683387756348,1.3192445217294897,2.4422134160995483,0.9553892602945896,1.5313122659287555,1.1238348331857235,0.056556098044235656,0.08710258642330448,0.04007422585198854,0.05128469498471377,0.14694206940898852,0.1648014980886098,0.072590915547944,0.14417309563712813,0.10166137797984241
7,0.30021747559309003,0.2466111159324646,0.06639805885031819,0.0032602650369517507,0.00109398445080501,0.005698654556181282,0.30051012586881504,0.244588753525564,0.06621364748075684,0.0036450735308190293,0.0017704138999017397,0.0057819040511992385,0.25,0.8380226527154445,0.07521820036654776,137.98931550979614,0.01719838926712258,0.01719838926712258,0.004299597316780645,0.05644930526614189,0.006873680278658867,26.528411520288344,1.2653009853464492,2.4219833155895802,0.963737149187859,1.4209814610633444,1.219921997252931,0.05847143722658462,0.08274659443091839,0.03835317059519126,0.052059055167309784,0.14394779504823618,0.15819291748458444,0.07227610608773115,0.13911588864396643,0.10957839274434386
8,0.283773163408041,0.23098086200654508,0.05640068252570927,0.0033972796238958838,0.0012326683626179148,0.0055881016235798595,0.28955196541674594,0.23360153255944557,0.059540691483329904,0.003482715740671104,0.0006053204839272276,0.005422466620926726,0.18529523872436984,0.8514996932446957,0.0774969571131341,137.18595838546753,0.01719838926712258,0.01719838926712258,0.0031867796449261184,0.05061965435743332,0.002140707103535533,26.00409538187879,1.2435800591681867,2.3132851314037404,0.9320752050014253,1.3584863740078947,1.0698541234782402,0.053329846346156395,0.0939820674743424,0.03866032790392637,0.057474546154287265,0.1396534306496641,0.15788869136286768,0.09173899454984118,0.14795792985469225,0.12509550387040366
9,0.2957911433279514,0.24379857659339904,0.06290761910378934,0.003343412890098989,0.0007123593403991891,0.0053944414970465,0.279674587692035,0.2267016613499281,0.05651260278574092,0.0033016663863313723,0.0012028335334568153,0.005401349473841231,0.12500000000000006,0.8043582616746425,0.07784259761188259,137.14709281921387,0.01719838926712258,0.01719838926712258,0.0021497986583903232,0.04296545311808586,-0.0006397680845111609,26.18872225538213,1.235827568997728,2.351171004011276,0.9592393576464755,1.385979526220484,1.130726955355482,0.05334087720814538,0.08870091645958576,0.03859372459787955,0.0553092153029556,0.13814833598011797,0.1594717222979786,0.08615040338854689,0.13996834980715311,0.118837078418139
10,0.2929054567217827,0.23988886654376984,0.06273133167997003,0.0034513660543598235,0.0016935689887139914,0.005377041331958026,0.2802616213151115,0.2286704524638171,0.05808903520649418,0.0035554009967760994,0.000732403392795335,0.005327998586816396,0.07322330470336313,0.7881887170672417,0.07825834314002002,137.31806540489197,0.01719838926712258,0.01719838926712258,0.001259322897713567,0.04423081874847412,0.003130948403850198,25.878304593106535,1.2324464092863368,2.3458155051190803,0.9706582224115412,1.3617426252111475,1.1199505427416334,0.05346919455506066,0.093538789276747,0.03952897560009931,0.05551803052583908,0.13895673235522277,0.15774380234054997,0.08924162207743278,0.1362557396214838,0.12189155772978275
11,0.28166044637560844,0.23202879942953586,0.05682219866663218,0.003682941226288676,0.0002624914617081231,0.005224047692026943,0.27743382173332765,0.22520242342130936,0.056469935963445524,0.0035746067532021154,0.0010610200711875842,0.005262717430943009,0.03349364905389032,0.8353228528797626,0.07898509238866415,137.63054394721985,0.01719838926712258,0.01719838926712258,0.0005760368144051976,0.040705375373363495,-0.00024180176842492074,25.78126390944136,1.2801689245599381,2.388063501804433,0.9687706352548396,1.392058695250369,1.1400524263686322,0.05546891281103834,0.0925647888253344,0.03852867226096544,0.059717405072235046,0.13944624328116276,0.1749707134921865,0.08933740806506796,0.13730296199548464,0.11596841204681968
12,0.2927180457115173,0.24124450072646142,0.06148881908506155,0.0035051008802838624,0.0006074686652254968,0.005355933806858957,0.2774610603426365,0.22371347510117165,0.05583656628299108,0.0035570105438695308,0.0010474903784994394,0.005259762929896131,0.00851854342773295,0.7740778428316116,0.07901922012976509,137.0371766090393,0.01719838926712258,0.01719838926712258,0.00014650522585903995,0.04076075926423073,0.0010042216163128614,25.829834166993486,1.279217004776001,2.3856026758538915,0.9577811556927701,1.419233558025766,1.1408777871030442,0.05542856304252401,0.09268064305503318,0.03761607430320471,0.05638826582977112,0.13946440143727828,0.17453591421506473,0.08927944505177995,0.14020290466345037,0.11178805846193636
13,0.28946653291583063,0.23849933192133904,0.06022465026937425,0.003608838829677552,0.0010043889104606762,0.005177171661052853,0.28423198589936216,0.23024265400748303,0.05921425068988762,0.0037519106842042443,0.0008050242317659332,0.005359300119032033,0.075,0.7932803116738796,0.07831502475954116,137.34089922904968,0.01719838926712258,0.01719838926712258,0.0012898791950341933,0.04213910549879074,-0.0014733797870576382,25.814643261280466,1.3200445606353435,2.4216303153240935,0.9983106246019932,1.3581236169693318,1.1389248542329098,0.055611166568037045,0.09453024003813242,0.03819458773161503,0.06050182456903635,0.13979296161981158,0.18445252088177513,0.09006142251494989,0.1298976022588082,0.12518596736518978
