epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,0.38050699022909007,0.32332281852761907,0.16802820234559476,0.011280971627372006,0.024227503450606674,0.010531399545725436,0.21821707617887792,0.19815323521640707,0.044412881797278654,0.005870029818207184,0.002910961954652904,0.012020389680711037,0.9755282826193187,1.0054602034389972,0.04083818149693469,305.55396699905396,0.017393182814168275,0.017393182814168275,0.016967541759989425,0.1823045313358307,0.016493644565343857,36.49722185540706,1.1194509746546442,1.4223392536031438,0.3465470146942646,1.1952635037138106,1.7739438514443153,0.0564507343310942,0.14547182841503875,0.035091789952043366,0.11263547425574445
2,0.050515074382225675,0.04545970077315966,0.012459061816334724,0.0015605260350275785,0.0005791709383314962,0.0024006932382083807,0.2756436880123108,0.2545870090339412,0.08017776861658042,0.007389694581085697,0.00034289781218083007,0.009663628736273088,0.9045085926789765,1137475931763729.5,0.052449385942693084,304.7147397994995,0.04493382828751692,0.04493382828751692,0.04064303378802072,0.08529923856258392,0.011635597795248032,43.277485827182204,1.1058003353945753,1.0743746757507324,0.3305844951500284,0.6316396102626273,0.8066088384954864,0.06207713888997727,0.04366848734764759,0.023184979569013015,0.050830618825126836
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2756436880123108,0.2545870090339412,0.08017776861658042,0.007389694581085697,0.00034289781218083007,0.009663628736273088,0.7938928322536105,0.0,0.052449385942693084,305.090350151062,0.04493382828751692,0.04493382828751692,0.03567264420317421,0.08529923856258392,0.011635597795248032,43.277485827182204,1.1058003353945753,1.0743746757507324,0.3305844951500284,0.6316396102626273,0.8066088384954864,0.06207713888997727,0.04366848734764759,0.023184979569013015,0.050830618825126836
4,0.0,0.0,0.0,0.0,0.0,0.0,0.2756436880123108,0.2545870090339412,0.08017776861658042,0.007389694581085697,0.00034289781218083007,0.009663628736273088,0.6545088426789766,0.0,0.052449385942693084,305.0605962276459,0.04493382828751692,0.04493382828751692,0.02940958794959856,0.08529923856258392,0.011635597795248032,43.277485827182204,1.1058003353945753,1.0743746757507324,0.3305844951500284,0.6316396102626273,0.8066088384954864,0.06207713888997727,0.04366848734764759,0.023184979569013015,0.050830618825126836
5,0.0,0.0,0.0,0.0,0.0,0.0,0.2756436880123108,0.2545870090339412,0.08017776861658042,0.007389694581085697,0.00034289781218083007,0.009663628736273088,0.5000005000000001,0.0,0.052449385942693084,306.02549171447754,0.04493382828751692,0.04493382828751692,0.02246693661067261,0.08529923856258392,0.011635597795248032,43.277485827182204,1.1058003353945753,1.0743746757507324,0.3305844951500284,0.6316396102626273,0.8066088384954864,0.06207713888997727,0.04366848734764759,0.023184979569013015,0.050830618825126836
6,0.0,0.0,0.0,0.0,0.0,0.0,0.2756436880123108,0.2545870090339412,0.08017776861658042,0.007389694581085697,0.00034289781218083007,0.009663628736273088,0.34549215732102356,0.0,0.052449385942693084,304.34660053253174,0.04493382828751692,0.04493382828751692,0.015524285271746655,0.08529923856258392,0.011635597795248032,43.277485827182204,1.1058003353945753,1.0743746757507324,0.3305844951500284,0.6316396102626273,0.8066088384954864,0.06207713888997727,0.04366848734764759,0.023184979569013015,0.050830618825126836
7,0.0,0.0,0.0,0.0,0.0,0.0,0.2756436880123108,0.2545870090339412,0.08017776861658042,0.007389694581085697,0.00034289781218083007,0.009663628736273088,0.20610816774638968,0.0,0.052449385942693084,304.407653093338,0.04493382828751692,0.04493382828751692,0.009261229018171007,0.08529923856258392,0.011635597795248032,43.277485827182204,1.1058003353945753,1.0743746757507324,0.3305844951500284,0.6316396102626273,0.8066088384954864,0.06207713888997727,0.04366848734764759,0.023184979569013015,0.050830618825126836
8,0.0,0.0,0.0,0.0,0.0,0.0,0.2756436880123108,0.2545870090339412,0.08017776861658042,0.007389694581085697,0.00034289781218083007,0.009663628736273088,0.09549240732102354,0.0,0.052449385942693084,305.24720788002014,0.04493382828751692,0.04493382828751692,0.0042908394333244955,0.08529923856258392,0.011635597795248032,43.277485827182204,1.1058003353945753,1.0743746757507324,0.3305844951500284,0.6316396102626273,0.8066088384954864,0.06207713888997727,0.04366848734764759,0.023184979569013015,0.050830618825126836
9,0.0,0.0,0.0,0.0,0.0,0.0,0.2756436880123108,0.2545870090339412,0.08017776861658042,0.007389694581085697,0.00034289781218083007,0.009663628736273088,0.024472717380681387,0.0,0.052449385942693084,303.86910033226013,0.04493382828751692,0.04493382828751692,0.0010996528805124683,0.08529923856258392,0.011635597795248032,43.277485827182204,1.1058003353945753,1.0743746757507324,0.3305844951500284,0.6316396102626273,0.8066088384954864,0.06207713888997727,0.04366848734764759,0.023184979569013015,0.050830618825126836
10,0.0,0.0,0.0,0.0,0.0,0.0,0.2756436880123108,0.2545870090339412,0.08017776861658042,0.007389694581085697,0.00034289781218083007,0.009663628736273088,1e-06,0.0,0.052449385942693084,308.38136982917786,0.04493382828751692,0.04493382828751692,4.493382828751692e-08,0.08529923856258392,0.011635597795248032,43.277485827182204,1.1058003353945753,1.0743746757507324,0.3305844951500284,0.6316396102626273,0.8066088384954864,0.06207713888997727,0.04366848734764759,0.023184979569013015,0.050830618825126836
