epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,0.551672802194953,0.5025686985999346,0.36527651688084006,0.011149983298964798,0.005664636149947455,0.012708635032176972,0.24699555155127606,0.23382763865780323,0.06240557735548057,0.005789907314774996,0.0006047812965636081,0.01206615974908655,0.9755282826193187,2.1492553953826428,0.040435427888990086,149.58204627037048,0.0078047296620569,0.0078047296620569,0.007613734523534423,0.01623786799609661,42.25664270685074,1.2991598115322438,1.3179305176785652,0.4039798101529162,1.1758718794964729,0.7805379717908008,0.05245263866604643,0.07796892438559457,0.038060497207086576,0.10251575113928064
2,0.24264594659209252,0.2285238066315651,0.0556529351323843,0.005975938742049039,0.0019538183065211,0.012608459936454892,0.2205464695283073,0.20765663604152965,0.04992330440647028,0.007180801161782856,0.0011908768800141234,0.012695172147706468,0.9045085926789765,0.564766139164567,0.03763695293046693,151.02039194107056,0.0078047296620569,0.0078047296620569,0.007059445042866951,0.1601443588733673,40.35585837668561,1.1969816152085648,1.5451299123307491,0.3919883115177459,1.5089597942981314,0.9451650815441254,0.06255402289172436,0.1086787575102867,0.03303642101781542,0.11651956924098603
3,0.2255020884424448,0.21163918264210224,0.048203102126717565,0.007792494189925492,0.0018926147177603526,0.01352071324363351,0.21421536165190505,0.2017956547676883,0.04679523952840332,0.008378470103514004,0.0005511336555797398,0.013540250853575925,0.7938928322536105,0.5348882676661014,0.03385783216737686,149.6205542087555,0.0078047296620569,0.0078047296620569,0.0061961189363841165,0.2457660436630249,39.34510929026502,1.2424376175758687,1.5888425695135238,0.37084230907419896,1.6160191012189744,1.2664351926205006,0.0655994320367562,0.12228949031138674,0.04354965695126745,0.13281586132151016
4,0.20901538006961345,0.19638389475643636,0.04159797969274223,0.008367207804694772,0.001550063955474741,0.013006524490192533,0.23450925942272582,0.22109669549985134,0.05458068798117815,0.010926991832402951,0.0007236715629317664,0.013368947327414409,0.6545088426789766,0.7183295575529337,0.03462269433595715,149.40390515327454,0.011276012631087151,0.011276012631087151,0.007380249977206373,0.1720988154411316,41.12766480953135,1.4465024864419977,1.9557301655728767,0.373718095745178,2.406999588646787,1.4757104919470372,0.07701929836989717,0.16186870880266455,0.05730139440667235,0.13115400887352038
5,0.21628510907292367,0.2020974937826395,0.04363410424441099,0.01191793501842767,0.002149876771700292,0.014156860392540693,0.2106578910842221,0.19694310830945663,0.04453599516876993,0.010489849150775278,0.0012655226928835815,0.014942335906101669,0.5000005000000001,0.5368754621595144,0.027950585304581103,150.1407594680786,0.011276012631087151,0.011276012631087151,0.005638011953549892,0.28784963488578796,39.54566447278287,1.1830029671496534,1.7157246705065383,0.4369092022484921,1.0391455746077476,1.5137635849891824,0.07131744806278259,0.12397343811995172,0.06040529138563409,0.11610887647467724
6,0.21871829576790333,0.2046998892724514,0.04601708113215864,0.010326772821135819,0.0017846602705412805,0.01423139858059585,0.22917871906402262,0.21382639493713987,0.05031225494198263,0.00975929615533653,0.0020348547332589,0.015596559201862583,0.34549215732102356,0.8160319629311562,0.025326499457847564,150.96281242370605,0.01241679280491024,0.01241679280491024,0.0042899045331766025,0.2859082520008087,40.155211022559634,1.4383389556661565,1.8307619532372088,0.4644218139508937,1.7504615434940825,1.4171005311481497,0.06714724113253202,0.12959799241829426,0.05957847384567511,0.14106076745752325
7,0.20764465719461442,0.19395892195403575,0.04082581697963178,0.010104549550451338,0.001461572873449768,0.015272701997309924,0.19417104782893302,0.18025937363346842,0.03644156529558228,0.013879702094585654,0.0021113127079507936,0.0149244395025233,0.20610816774638968,0.6811470051854849,0.028066728288862617,150.27392983436584,0.01241679280491024,0.01241679280491024,0.0025592024143066042,0.3905879259109497,40.05466377988775,1.2610663378492315,1.7702448374413429,0.4053237942305017,1.307519534800915,1.5582113162951265,0.08162817022109285,0.13585307916745226,0.049757098621333345,0.1499984776799349
8,0.19007667332887648,0.17773616395890712,0.03416629540733993,0.01408232595771551,0.0009114851388949319,0.014616556735709309,0.194958184072946,0.1814550661105425,0.03723540076084356,0.015617277443488228,0.001380246166025236,0.015236937540008667,0.09549240732102354,1.1739578731358051,0.026832098889342966,148.33022618293762,0.01241679280491024,0.01241679280491024,0.0011857094361472432,0.4259762465953827,38.992799637165476,1.259893001394069,2.0836136994209697,0.46209081246497785,1.4349927813448804,1.7260259832156466,0.08541665353039478,0.1629960669323485,0.06352218798310012,0.16140097070564616
9,0.1896604149788618,0.17636408753693103,0.03530479201115668,0.017987382505089043,0.0018483372233106365,0.014036277811974286,0.20320675157486123,0.18793620145384302,0.04132187923297603,0.023351872441398493,0.0030230355882740986,0.013895464704391803,0.024472717380681387,73296614101389.42,0.03258302905398639,147.24736213684082,0.01241679280491024,0.01241679280491024,0.0003038726610890464,0.4214351773262024,39.26883164872515,1.2691284861970455,2.218469655260127,0.44973219851864144,1.5472462545049952,1.7134630956905001,0.1017679671380431,0.17372430385427273,0.06183625704423495,0.18678725601986368
10,0.19796417467296124,0.18374052830040455,0.04019949051551521,0.02230707719922066,0.002755224658321822,0.01266624229028821,0.19147454642076442,0.17655093761834692,0.03519799231373249,0.025056655622741328,0.003343306078680511,0.013615341693598857,1e-06,2.791451920847179e+17,0.03370711484805067,147.36963558197021,0.01241679280491024,0.01241679280491024,1.241679280491024e-08,0.42052021622657776,40.31421518325806,1.2647574664430414,2.1959346253821193,0.4157072075820984,1.528069959993058,1.771542302313003,0.1072242950148722,0.17082832729879846,0.05900581347579762,0.19027500956299456
