epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,0.9247498962283135,0.8083510416746139,0.7055727626383305,0.003490109429694712,0.04176184755226132,0.007810443023918197,0.3008135477120572,0.2771960582504881,0.08341269002375291,0.0008594072136707217,0.014990806734463367,0.00048488779442331916,0.48776415354553027,1.1308475643396378,0.14352679403221352,138.50888514518738,0.01973644897078211,0.01973644897078211,0.009626732326228089,-0.0021516308188438416,0.0064188833348453045,31.799890568915835,0.6633020382612309,2.162308224972258,0.4018864262294262,0.8542450241585995,0.3043055635024893,0.02012218673406367,0.03786767455451983,0.017782420291505913,0.04042714678662571
2,0.2652700363099575,0.2520808492600918,0.06915216162800789,0.0017114960828621406,0.004668443246530387,0.003039899163177324,0.22724309728104383,0.2188395630528635,0.054885475971844996,0.0023105232183762052,0.0010468913410775222,0.003505141089454868,0.4522543440852397,0.24300602868199347,0.09306336332984427,139.20579290390015,0.01973644897078211,0.01973644897078211,0.008925894783852868,-0.017541969195008278,0.004826818592846394,35.04122955241102,1.139676217703109,1.967297336522569,0.4152161583621451,1.2350930305237466,0.4386911577683814,0.033945963321689594,0.053572782612544424,0.023720220361707456,0.05462548227861841
3,0.2291158626228571,0.2209391313791275,0.051948565430939196,0.00260646891198121,0.0011349075484031346,0.0034332899551372973,0.21932174439759963,0.21111134970758824,0.049857961613328214,0.002955864461019952,0.0009942698587588528,0.004165070791907752,0.3969465191804922,0.2280620026215911,0.08890643816916867,138.4681589603424,0.01973644897078211,0.01973644897078211,0.007834314719935367,0.049377910792827606,0.010821597650647163,35.16605496913829,1.1946102843639699,1.9971328346019095,0.4857788104960259,1.4942701027748433,0.4757439697042425,0.038660086889533284,0.0648051852637783,0.03313620230480236,0.06173568484472468
4,0.22625238209962845,0.21844394378364085,0.05151614619418979,0.0028915900737047197,0.0014870546176462085,0.002050381865519739,0.21001849598944822,0.20135143755915316,0.04502374445028762,0.0029069000651980653,0.002853471429450516,0.0023317368845553253,0.3272545940852397,0.24310154512524604,0.11443950644040361,138.54552340507507,0.01973644897078211,0.01973644897078211,0.006458843596617347,0.18128928542137146,0.008523623459041119,36.95205837614993,1.128676583158209,2.036725507771715,0.4780428376286588,1.3547568790456082,0.5092248629699362,0.041166882129742746,0.07007228008451614,0.031929931288957845,0.06362594493684616
5,0.21924181774258614,0.21234808668494223,0.04883899673819542,0.0023424313531722873,0.0011047508517265214,0.0015759172411276268,0.2104221896882704,0.2024738994090164,0.046603732347300156,0.0027992131096865745,0.002000101760463646,0.002295709119678823,0.25000050000000007,0.32508464507758617,0.11643249412721142,138.51379871368408,0.01973644897078211,0.01973644897078211,0.0049341221109200145,0.23258674144744873,0.007716791238635778,37.8921144363728,1.2383202542649938,2.221391020937169,0.39995846929068263,1.4536451418349083,0.590778573871927,0.03944910626779211,0.07360475569804932,0.027016932791779486,0.06805962284511709
6,0.20787965908646583,0.2014443738013506,0.04454568185843527,0.0025442535895854237,0.0013279467886604835,0.0010511145451963344,0.19433153180920698,0.18786063215675505,0.03922885690786024,0.0030618447542903903,0.0013660240832440809,0.002057794580093862,0.1727464059147604,0.36628969848155973,0.1289189685572018,139.02740049362183,0.01973644897078211,0.01973644897078211,0.0034094006252226817,0.37884509563446045,0.02078850567340851,38.717160103168894,1.2199193873304002,2.3028719843702112,0.4383170821882309,1.4113587014218594,0.6634439540670273,0.041927520007370635,0.0812868604713932,0.03690036414983742,0.0673773954919678
7,0.18998561590909957,0.18485339157283306,0.037463807039894166,0.0033027672907337546,0.0009517580674184955,0.0005378936836336834,0.19299912547811549,0.18553517465578748,0.03718239799181514,0.003893275613316949,0.0026508636559474615,0.0018003660356459355,0.10305448081950792,0.4359464566037059,0.14370650269011867,138.95746278762817,0.01987973181188202,0.01987973181188202,0.002048695440704557,0.40686434507369995,0.03507475182414055,39.416703061854584,1.0815790422419285,2.2552746965530073,0.42511775265348717,1.2423655536580593,0.806635284360419,0.04876952251776102,0.07810204412708892,0.047990354629640006,0.08121522951950418
8,0.1945666590332985,0.18848784796893597,0.038482131008058786,0.0037355089630000293,0.0016642447705231072,0.0007591571955290455,0.18964417278766632,0.1822497973099668,0.03721674152976893,0.0038708472572405762,0.0025096522142863844,0.0019390154484804551,0.04774665591476037,0.7177996104955673,0.13309450946906778,138.31591391563416,0.01987973181188202,0.01987973181188202,0.0009491907144996466,0.47509071230888367,0.03354087099432945,39.294755955959886,1.2514012354485533,2.4357536194172313,0.47093273952920384,1.3665702381032578,0.812775249493883,0.04692721426328446,0.0827376376837492,0.04923589712555614,0.07463321781301117
9,0.18969524189829826,0.18422101959586143,0.03769693348091096,0.004230326632969081,0.0011865396653863059,0.0006129470974991591,0.1823672223439876,0.1765289085501052,0.03421448446324769,0.004704409309890755,0.0014173312185449048,0.0015286254619609504,0.012236846454469768,0.9960657957941293,0.14306260472995805,137.83651614189148,0.01987973181188202,0.01987973181188202,0.00024326522573803837,0.49672070145606995,0.03781632333993912,40.47702620891815,1.1803847405504673,2.3442432474582753,0.44742656847897994,1.3268180026652965,0.9310918951288183,0.0532961618155241,0.08319854906740341,0.05505720415907916,0.08567460079459434
10,0.18354037299752235,0.178407069966197,0.03461588015314192,0.004922918123193085,0.0012146036502963399,0.00042193210384287025,0.18707186031214734,0.1809070058008458,0.035974146748714624,0.005266245275592193,0.0015377886476126087,0.001532678586659917,1e-06,1.6662778040766717,0.15005565355432796,137.73104810714722,0.01987973181188202,0.01987973181188202,1.987973181188202e-08,0.4570600092411041,0.04070517048239708,40.766921510087684,1.1248548928093403,2.3317671012371144,0.4537696553037522,1.0985228381258376,0.9685867722047136,0.05920189989611824,0.08317671700360928,0.05673561870354844,0.11143449551247536
