epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s
1,0.644122198851485,0.644122198851485,0.44616529537658944,0.5226263993125605,0.0,0.002629806791814067,0.46606883977321867,0.46606883977321867,0.22368441815388965,0.06257575782055551,0.0,0.006378855515221974,0.001,910.4917749404907,0.1958038642051372,6.224247694015503
2,0.3941454808178701,0.3941454808178701,0.16361205393546505,0.045057357494768344,0.0,0.008795534284171793,0.3711140865975238,0.3711140865975238,0.1417944906081291,0.04405051152756874,0.0,0.018618395161011304,0.001,96.9543676275956,0.2697326564725409,5.7685387134552
3,0.3433788854824869,0.3433788854824869,0.12342133396550228,0.031548100141318224,0.0,0.017030380506950774,0.34320025970327095,0.34320025970327095,0.120568268872956,0.021421399700673336,0.0,0.026503729703882584,0.001,200.79116401295911,0.2991628922680591,5.814539670944214
4,0.33106461175178226,0.33106461175178226,0.11434081153650033,0.020557443150564243,0.0,0.027740033565236157,0.33306506291982974,0.33306506291982974,0.11352516195558487,0.018977609542297557,0.0,0.03622580130777738,0.001,425.7335854461319,0.3285944426947452,6.098517179489136
5,0.31441373236869513,0.31441373236869513,0.10213869819907766,0.019644366577267647,0.0,0.03567149541340768,0.3286834956800684,0.3286834956800684,0.1107454035985977,0.020299164479241728,0.0,0.045177648795094894,0.001,589.1501803611454,0.3523464166420571,5.785691499710083
