epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,marginal_frac,mean_spike_margin,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std,val_v0_nrmse,val_T_nrmse,val_s0_nrmse,val_a_nrmse,val_b_nrmse
1,0.4557969009876251,0.42225992515683175,0.19662098783999682,0.021786868991330265,0.012470456790761092,0.0006301544931285008,0.3854563898862676,0.3673587500890519,0.1503108426175536,0.010386500618280595,0.0014317777580645076,0.002230904804051052,0.0019659428633759237,1.2308341878652573,0.17607456029571117,78.16066694259644,0.001428509596735239,3.5944912433624268,nan,nan,nan,-0.014297309331595898,0.006574240513145924,31.036561752887483,0.7215974286515662,1.150112841357576,0.4560427431096422,1.0483927419211,2.987070301428754,0.07091293856006195,0.07156891076072575,0.05739203005090376,0.1470381164962941,0.242867409450042,0.29087189892238147,0.34374545560656466,0.32464649766518555,0.22756821375754646
2,0.40084270998835564,0.3827142460644245,0.15358137361705304,0.013284960235469044,0.0006593169580901303,0.002893521324816675,0.3779058740969668,0.3591564440346779,0.14453113165267922,0.009841636777174303,0.0004147843370988762,0.006778902780873048,0.0018660923910825465,95.03157723456621,0.21936463251551416,76.40664505958557,0.0010215584188699722,5.9980621337890625,nan,nan,nan,-0.019406551495194435,0.000303228065604344,39.690596489196125,0.7611548786467695,1.0652847733903439,0.35245798972058806,1.5665124103109886,1.8010124811664858,0.07318875475964964,0.038025444926461205,0.027016505148841387,0.21624954972178378,0.41097239562323995,0.26918316463709485,0.35984433474962485,0.36411241869545147,0.17604821223917233
3,0.41049320980906484,0.3901314462721348,0.16108476735651492,0.017011456615291534,0.00036945891915365794,0.006066508739240817,0.3841086075978076,0.3625451695728809,0.14884241016462763,0.016553239683878233,0.0003866876529331605,0.010929695172566343,0.001707253227795954,454.62855683147905,0.24294846754600394,75.68788480758667,0.000660918653011322,7.132099151611328,nan,nan,nan,-0.009567013010382652,0.0009060798911377788,41.79473592879924,0.8188429294114418,1.047735887639066,0.33906383542938434,1.4068877164353715,1.2594464505190386,0.09181442428776558,0.030607484420544735,0.0224572861619929,0.20579732597825376,0.4659459781979493,0.2394496825264516,0.36341630043212764,0.3701015706489562,0.1599165759800181
4,0.41009204760193824,0.38762621745467185,0.1577767012268305,0.020535074025392532,0.00057508669867957,0.010172639272641391,0.37686622047677953,0.35273726506436126,0.14254301060189276,0.02680865795093965,0.0006693898591120547,0.01572966363261351,0.0015002499999999998,1855.3232405135036,0.2642468303204217,76.05075788497925,0.0015162479830905795,6.247264385223389,nan,nan,nan,-0.005662472452968359,-0.0013985958648845553,41.56831768725781,0.9310167171853654,1.0614128550316424,0.33745974064507384,1.508064310601417,1.3459546201010333,0.11606238033384719,0.040045837140419184,0.022853806659847403,0.22527723696003568,0.4602922847904308,0.19749546354100272,0.36129237879197046,0.370863308972951,0.17010756335188218
5,0.41030639201402663,0.3858798609673977,0.15522803727537393,0.02361471745185554,0.000999504800010982,0.013446978093124926,0.3857232329059154,0.361146660442365,0.1476289831012725,0.01660527534872056,0.0004933636293494504,0.016980095911462063,0.0012591896355799695,1690.5138402867317,0.26935766161756314,75.97205853462219,0.000827007694169879,8.016340255737305,nan,nan,nan,-0.011952806264162064,0.003055931767448783,41.97334707544205,0.8111312509851253,1.049542856977341,0.33298465244947595,1.5131785210142745,1.2429761837355475,0.09312520156356882,0.034575032048606055,0.022852469135372342,0.22560533461101512,0.47214464618864244,0.24340433152710758,0.3635157373895798,0.3731068671440593,0.17547907136196994
6,0.4288796062767506,0.40207514896988866,0.17231113530695438,0.014206799641251565,0.0007067839386036213,0.016312435439322145,0.44717072822312093,0.4154615341190328,0.1995439465910672,0.016801442093949053,0.001088911715645194,0.019651630349200904,0.0010004999999999999,2979.748095933199,0.2794305293008368,75.67121362686157,0.00017917936202138662,8.807845115661621,nan,nan,nan,-0.009170263074338436,0.0018986922223120928,42.07112391451572,0.8158614226478211,1.0514993160328967,0.3302891179919243,2.2289867604032474,1.2378761412655102,0.0948231859687478,0.03618889955736875,0.02249469952358653,0.1878221867249367,0.47618188710583026,0.24289979378558213,0.363807247730045,0.3743858464148512,0.3445219134870656
7,0.4469081610441208,0.4181914283335209,0.18253084883093834,0.017310214666649698,0.0013006039408586644,0.01659506977070123,0.41025689268048776,0.3811865750145405,0.16506121238257657,0.017070703768230815,0.001959070472250769,0.019503183864450893,0.0007418103644200306,3743.1453604412077,0.2786468872206008,75.62305212020874,0.0007513365126214921,7.895413398742676,nan,nan,nan,-0.013075204566121101,-0.0007774973637424409,42.012167230565495,0.8147528282505401,1.0554108746508335,0.3328011230902469,1.8590289392369859,1.267243031199348,0.09563408855428086,0.039479486102441404,0.024725463697847016,0.2295313206441859,0.47530512701033883,0.2459544874907187,0.3636114261943219,0.3734841744196585,0.23305175398559827
8,0.4534676906466484,0.42312816947698595,0.18984073005616664,0.019239143431186677,0.00216298311904211,0.016461015567183494,0.40834526250019987,0.37898909760282395,0.16391180703376837,0.020484366927276107,0.002311338830371282,0.01925885524310325,0.0005007500000000002,3689.831595878601,0.27763406853092476,75.86591744422913,0.0008341314387507737,6.838099479675293,nan,nan,nan,-0.013744375668466091,-0.00043998582987114787,41.959961515791875,0.8543188096360957,1.0561859575991934,0.334119588136673,1.8768363005303321,1.2947243065573275,0.10477971196412406,0.04070033557512401,0.026011317362035505,0.22892023408983617,0.47408818886436127,0.23072318304884937,0.3636641077311411,0.373029440818659,0.23774607747573462
9,0.4189105147123337,0.39042617872357366,0.16177697321400047,0.02308011396788061,0.0027215862327011563,0.016862096997210755,0.3975682162699547,0.36921709090312743,0.1562109428675885,0.025465685943577517,0.0025911380834769417,0.017731219428938818,0.0002937467722040458,3640.2565802402796,0.27168064382165036,74.71709966659546,0.0004448530380614102,6.780869960784912,nan,nan,nan,-0.009734961204230785,-0.002159897005185485,41.65710650099085,0.9160955177342638,1.06570865372394,0.33768924848830445,1.8134858671655045,1.3711838210645588,0.1162817082665068,0.04496374135116175,0.02749455452162015,0.22794890831759634,0.4657264625302931,0.2087822703074461,0.36209723631068913,0.3715486356803872,0.22205886913943773
10,0.4239469733834267,0.3964121609926224,0.16316015370190143,0.02529704033397138,0.0027766010822961105,0.014354687087470666,0.3975470693821603,0.36908815713956,0.15614407772119057,0.02597826984314684,0.00275983568109377,0.01757151049195214,0.00013490760891745352,3154.096024093628,0.2710305637818702,74.6364974975586,0.000353991927113384,8.368889808654785,nan,nan,nan,-0.00843865517526865,0.004481852520257235,41.62190366298594,0.9212866561843994,1.067012143261889,0.3383831048899509,1.8141023446904851,1.3790110380666212,0.11751535895498509,0.0459997278791134,0.027975118712365268,0.22900218968378735,0.4648127628778794,0.20712032590888765,0.3619506999388648,0.37129546812493947,0.22260324453589242
11,0.4275677290558815,0.39826266944408417,0.16791584121063352,0.02643126927316189,0.003776876179254032,0.01483007412403822,0.3975208045795877,0.36897384716158216,0.15606968358971496,0.025903897563074815,0.0028824702503117534,0.01752464665882376,3.505713662407634e-05,3032.54351398468,0.270838824556546,75.69655919075012,0.001239877543412149,5.544676303863525,nan,nan,nan,-0.00864124484360218,8.557046385249123e-05,41.608388525374394,0.9224682215680468,1.0675911028334435,0.33859709190561416,1.8125540335127648,1.388048606756282,0.11772547416547512,0.04643712370291704,0.028130847123240064,0.22840393294996403,0.4645069209612596,0.20688065535337594,0.36191168590894723,0.37122829058934587,0.22174847617550514
