epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,0.6642062316834927,0.6003170870244503,0.5493484029080719,0.021261613585520537,0.006886794003498835,0.002008855520398356,0.2467606117592213,0.236351290400675,0.06704133490417549,0.006288733003918637,0.0021364214267824786,0.0025086589173884508,0.9755282826193187,1.91218470685184,0.10353459897352026,140.7190284729004,0.019206040853827346,0.019206040853827346,0.018736036050050663,0.00475666020065546,41.53915387011589,0.7692344391599615,4.016856727447916,0.3957656791552584,0.9880954848324999,0.8679675891044292,0.057212889590796005,0.1474197130610651,0.03633352737109662,0.09535454189840784
2,0.24725466802716256,0.235653932467103,0.06710357142612339,0.00861929366365075,0.002984691368516792,0.0029494436888489873,0.23282066982318747,0.22291762885102567,0.06447045356679232,0.009330602778874814,0.0016205218216371236,0.0027378851253032775,0.9045085926789765,0.33851555194705724,0.10156181934190557,141.10790920257568,0.019206040853827346,0.019206040853827346,0.017372028983630303,0.17998920381069183,35.731452343311716,0.9659180698242593,4.368607347315931,0.3404960901813304,1.0573727228540055,1.7357908507927935,0.06699708456847261,0.11049382281588747,0.020935640420419833,0.0946565164213485
3,0.2319876728206873,0.22165215827524662,0.05595831118524074,0.00917327514383942,0.0017355763442620286,0.00509088252671063,0.2552826999032751,0.24304820846845496,0.07103759606190502,0.0074613737660717775,0.0013369694700777,0.006841387593514345,0.7938928322536105,0.36275478765368463,0.06810121174822463,141.20656657218933,0.019206040853827346,0.019206040853827346,0.015247538169823544,0.18731717765331268,31.538110281558748,1.248898687514853,4.003853365461877,0.40976388625642085,1.0115000668992387,2.2789964815403554,0.06153259154884739,0.14940005496263187,0.0463005250565673,0.07448094673058454
4,0.20973136551678181,0.20067299969494343,0.04311045754700899,0.009762450163252652,0.0015473679786805405,0.005423658445943147,0.2293907900122886,0.2191461210951526,0.05430028221490694,0.01136309094231655,0.001727935696371884,0.005037101873622692,0.6545088426789766,0.39587752752006056,0.08200097805325021,141.7127115726471,0.019206040853827346,0.019206040853827346,0.01257052357168368,0.31255292892456055,41.5151701582239,1.2808118564017275,4.390217660589421,0.35830486010997853,1.6050477503462042,0.8599949221849996,0.07884336940627149,0.1122505276518418,0.028526928844741554,0.1054456132523557
5,0.20574673116207123,0.196687416061759,0.04231105073355138,0.010014435006305576,0.0016416369611852134,0.005371702371921856,0.22853687207432502,0.21045615096041498,0.05247610632300456,0.013821322022580561,0.008188713438304594,0.007906661617217902,0.5000005000000001,0.4676954983174801,0.06416441928198997,141.4914927482605,0.05583676361554148,0.05583676361554148,0.027918409726152553,0.2816939353942871,33.42773528809243,1.1118498666489378,4.156798674705181,0.45950169243077016,1.1921054067763877,2.4990254754715777,0.08431447396411541,0.15009275158034993,0.056187000384871934,0.15247243833034596
6,0.21408841967582704,0.20428537726402282,0.046488504763692616,0.01242420063354075,0.0012565315082883899,0.006552901333197952,0.20915192643061598,0.19718026678929937,0.04490355358142009,0.013872421210374129,0.0030678619410032734,0.007439645422756315,0.34549215732102356,2863698972518.726,0.06653842179382101,141.38188123703003,0.05583676361554148,0.05583676361554148,0.019291163919357462,0.3278172016143799,36.948052822275365,1.183612033090693,3.9185604224813746,0.47632107709316496,1.2630581110715866,1.4548052423930866,0.08819138373624771,0.14925082151262842,0.058454290512609655,0.18591938132142766
7,0.21740269519388675,0.2064559095352888,0.04711015516892075,0.014882532311603427,0.002266560878698173,0.006450162524124607,0.19764112320510632,0.18847470290641835,0.04004985721970096,0.015490794232352934,0.0016998631191922685,0.005374063029290831,0.20610816774638968,7955982655160.943,0.0794006434090911,140.87020468711853,0.05583676361554148,0.05583676361554148,0.011508413041687532,0.3248741626739502,36.820036735940484,1.058324858546257,4.1005332469940186,0.35287576216332456,1.526080960288961,1.622689136185069,0.09160252914149711,0.16520505347982684,0.02778044872883719,0.24069042638578314
8,0.19621039010584354,0.18744610428810118,0.037599442722275854,0.019247743217274547,0.0013724224317911648,0.005339062904240564,0.18555541627822406,0.1787693659834405,0.036069045931923185,0.01624751653264653,5.2898774383081104e-05,0.004627742627254771,0.09549240732102354,0.6579674127325416,0.08640486071322193,139.55689978599548,0.05583676361554148,0.05583676361554148,0.005331986974662995,0.23962073028087616,38.10779184990741,1.170311858045294,3.9906969565026302,0.36623235348057237,1.173738494515419,1.9251679667529273,0.11413190204729425,0.17447247700963883,0.03564398458409298,0.2025274940706948
9,0.19474864803254605,0.18707238785922528,0.03770750825293362,0.01605655832681805,0.0007395662848081485,0.004726229428779333,0.18232118173878878,0.17599481177773882,0.03512951036162199,0.012954989564605057,0.00023363967827805254,0.003864061039234428,0.024472717380681387,0.6012660075724124,0.09200045997475056,139.3448474407196,0.05583676361554148,0.05583676361554148,0.0013664773354150601,0.28684672713279724,35.399836317021794,1.1339132554353553,4.047753326436307,0.3722928559526484,1.1286262692289148,1.9836549906040284,0.09628897788439025,0.16108603478270642,0.03521878484227703,0.17968339881205814
10,0.18222056411206722,0.1755770565569401,0.032792876278981566,0.01407902459613979,0.0008413833651102465,0.00363777099235449,0.1780522140139278,0.17088053639027032,0.03259941039884344,0.013165472952173428,0.0012605025987585984,0.003985919536605852,1e-06,0.5623512859269977,0.09122573441647469,140.11208248138428,0.05583676361554148,0.05583676361554148,5.583676361554148e-08,0.28273990750312805,37.63296760396754,1.160084753911546,4.172035659881348,0.3767833876165938,1.3788165332789117,1.8542881132044056,0.09763251615569313,0.147159443963864,0.03868284600061417,0.19025355248533665
