epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,0.7080512167513371,0.5724903847277164,0.48834299320355057,0.022472795671783386,0.08560288975067579,0.0021670225060370285,0.2754239934952335,0.26599041324980716,0.0881196045752694,0.01243237989082774,0.0,0.002924009397876479,0.9755282826193187,7710595.4271562025,0.09853167744710091,221.4318790435791,0.012677328139401341,0.012677328139401341,0.012367092148031753,0.015137306414544582,31.41599912846342,0.9318942823942672,1.0560063827545085,0.3093415864921631,0.5515029940833437,1.8172750263772113,0.11702502257329353,0.03677053872416628,0.022075337365249845,0.031280821456791875
2,0.2640652094781399,0.25501423217356206,0.07645333058200776,0.010475207385607064,0.0008818830932796118,0.0053352639975491915,0.26582102584553524,0.25736182254362616,0.08101463286414187,0.007126417580714568,1.4185533947308245e-06,0.008816175877384128,0.9045085926789765,0.42320251047611235,0.057043852938458005,219.38093066215515,0.012677328139401341,0.012677328139401341,0.011466752234299495,0.02523360215127468,29.161818068078222,1.2371827024728694,1.609232336916822,0.4578896905196474,1.1426227704641667,1.799439437528874,0.06467479512967328,0.14722718266730614,0.04196297309232598,0.10179987823233959
3,0.25581552386283873,0.24678608939051627,0.06815087042748928,0.004696205714717508,0.0019795366889398735,0.009270531102083623,0.23945774098343037,0.23222237785762928,0.0647050972255145,0.005888380727017338,0.0004704350387625825,0.009074152789098467,0.7938928322536105,0.4786348392814398,0.055158776132033224,219.85321354866028,0.019885650782254752,0.019885650782254752,0.01578707562073045,0.06927243620157242,23.82472112838258,1.0313761681318283,2.133369785039983,0.3223458048194013,0.7813070736666943,2.7095517807818474,0.07703526932349865,0.29191112260710683,0.015245073688113715,0.07375985362190515
4,0.21518662117421627,0.2091077195852995,0.04808742728549987,0.006275254492647946,0.0009563974817433518,0.012283287043683231,0.20480751670262914,0.19927537805856543,0.04458402765498675,0.005055837361686962,0.0008209439525584689,0.014583671014716333,0.6545088426789766,0.39719516336917876,0.029462621438297185,220.93089652061462,0.029886267193953226,0.029886267193953226,0.01956082615310899,0.1902402639389038,34.48817743139064,1.0600853514798143,2.4427172199208687,0.41272104499821965,0.9352762375740294,1.5617926485360938,0.05548751790155756,0.2562840592036856,0.05021550342566928,0.10787385278084177
5,0.21670409753918649,0.21030961975455284,0.04769028994720429,0.0060682872915640475,0.0013220346222533408,0.014288721671327949,0.1948774999126475,0.18920318814034157,0.038842586327363995,0.007921058071549348,0.0013940000638239902,0.013508356329885887,0.5000005000000001,0.4382742136716843,0.034154619377582,219.5662648677826,0.029886267193953226,0.029886267193953226,0.014943148540110212,0.2369021326303482,36.87946051739632,0.9874112457036972,2.6645060365504407,0.39147078531219603,0.9683961043966577,1.4241186767182452,0.06770890889728957,0.36814381586427386,0.040916558026533205,0.13981907287652187
6,0.19585754498839378,0.19031756192445756,0.038652838524430994,0.008180517349392175,0.0012656731443081526,0.014284098139032721,0.18803062127467166,0.18354886009338053,0.03792846087921173,0.012477902683152005,6.502058925390055e-05,0.01407500318291181,0.34549215732102356,1152769638.8375084,0.031640324632617386,218.15104293823242,0.04116148027326332,0.04116148027326332,0.014220968618136499,0.2730858325958252,40.98936074845334,1.1538921106368938,3.0959877149855837,0.3833428093410553,1.0763477188475588,1.1244713674755173,0.07561321146389906,0.33288456206309036,0.04155186895552609,0.15808309333280046
7,0.21647550329566,0.20504367671906948,0.04548427975736558,0.009607438459061085,0.00640302585324946,0.014875215357169508,0.1928507165705904,0.18719966194414078,0.03960944932855745,0.009292452411597317,0.0012254867778406539,0.0158712735964342,0.20610816774638968,67080.52399705916,0.02422546197541375,218.20160627365112,0.05081014995899505,0.05081014995899505,0.010472386910967767,0.32133957743644714,37.96208503398489,1.1150697314358773,3.710987863388467,0.3899763900231808,1.2379402080748945,1.6473225978936286,0.06833343532808284,0.30315002997187857,0.04250472638045238,0.16472120254122197
8,0.19065096825361252,0.1851388420164585,0.03661537640262395,0.010822657844983041,0.0013094559010642115,0.015052192499861122,0.18769062540315568,0.1825635068594141,0.03686872787991578,0.019333095710843483,0.0004735912413766068,0.015721075038643593,0.09549240732102354,0.4323622855171561,0.024783619412003046,219.39084315299988,0.05081014995899505,0.05081014995899505,0.004851983535926643,0.3000703454017639,39.079112621063885,1.091325934262986,3.668289618289217,0.3808817016951581,1.3312262670790895,1.8064308764135584,0.10026213106639842,0.2694187697340199,0.04806002191802923,0.16737881873516328
9,0.1890558847784996,0.18340387150645257,0.03598436945583671,0.01766872410196811,0.0011701389019663111,0.015504368683323264,0.18885089060727586,0.18203303707327614,0.036672399780574315,0.02493101905565709,0.001904062205191641,0.014751481803807807,0.024472717380681387,0.48519474260509016,0.028732028086372513,219.40459275245667,0.05081014995899505,0.05081014995899505,0.001243462440016526,0.29436975717544556,40.95078652970334,1.0482598692178726,3.864463248151414,0.3682455468050977,1.0736219797362672,1.4860907519592883,0.10232031174955215,0.24077892440192877,0.040963739592661245,0.13845826800357788
10,0.1887833172082901,0.1829779674857855,0.0364066927973181,0.018392557762563228,0.001245053496175892,0.015031491396948695,0.18072390952642928,0.1755992429370576,0.03465488919383906,0.02140471029115167,0.0005889429109376647,0.014956735465873746,1e-06,0.6412647758424282,0.027893379152296706,218.70018100738525,0.05081014995899505,0.05081014995899505,5.081014995899505e-08,0.2684962749481201,40.25654502625161,1.1600966171381322,3.9080072577963483,0.39324357471567517,1.2607208122598363,1.6993924242622676,0.10574079079038286,0.24736517180312187,0.05079929250420738,0.16790570072988245
