epoch,batch_idx,loss_total,loss_data,loss_phys,loss_ou,loss_bc,loss_sr,spike_rate,gn_total_preclip,gn_total_postclip,gn_hidden_fc,gn_hidden_recU,gn_hidden_recV,gn_hidden_base_threshold,gn_hidden_thresh_jump,gn_out_fc,weight_max_abs_global,lr,prodigy_d,prodigy_d_max,prodigy_lr_eff,is_nan_loss,is_inf_grad
1,1,0.7732563614845276,0.7214918732643127,0.5176445245742798,9.965203844330972e-07,0.0,0.02250000089406967,0.0,16.326990364206534,16.326990127563477,nan,nan,nan,nan,nan,0.0,1.5002000331878662,0.0002000060897018193,nan,nan,nan,0,0
1,2,1.4739357233047485,1.3024300336837769,1.7150568962097168,9.965203844330972e-07,0.0,0.02250000089406967,0.0,21.284811723839656,21.28481101989746,nan,nan,nan,nan,nan,0.0,1.5003998279571533,0.0002000243587248667,nan,nan,nan,0,0
1,3,1.125740885734558,1.0210322141647339,1.0470870733261108,9.965203844330972e-07,0.0,0.02250000089406967,0.0,20.812590297914074,20.812589645385742,nan,nan,nan,nan,nan,0.0,1.5005996227264404,0.00020005480682191382,nan,nan,nan,0,0
1,4,1.4383797645568848,1.2737025022506714,1.6467732191085815,9.965203844330972e-07,0.0,0.02250000089406967,0.0,21.913829785524328,21.913829803466797,nan,nan,nan,nan,nan,0.0,1.500797152519226,0.0002000974335809164,nan,nan,nan,0,0
1,5,1.1191201210021973,1.0155844688415527,1.0353564023971558,9.965203844330972e-07,0.0,0.02250000089406967,0.0,17.890460705988577,17.890460968017578,nan,nan,nan,nan,nan,0.0,1.5009955167770386,0.0002001522384250205,nan,nan,nan,0,0
1,6,1.0535032749176025,0.9615221619606018,0.9198114275932312,9.965203844330972e-07,0.0,0.02250000089406967,0.0,17.508600593601532,17.508602142333984,nan,nan,nan,nan,nan,0.0,1.5011944770812988,0.0002002192206125705,nan,nan,nan,0,0
1,7,1.1125831604003906,1.0109670162200928,1.0161619186401367,9.965203844330972e-07,0.0,0.02250000089406967,0.0,14.425635255404744,14.42563533782959,nan,nan,nan,nan,nan,0.0,1.5013941526412964,0.00020029837923711828,nan,nan,nan,0,0
1,8,1.0846420526504517,0.9873795509338379,0.9726245403289795,9.965203844330972e-07,0.0,0.02250000089406967,0.0,17.355308184862935,17.355308532714844,nan,nan,nan,nan,nan,0.0,1.5015937089920044,0.00020038971322743656,nan,nan,nan,0,0
1,9,1.082435131072998,0.9853206872940063,0.9711449146270752,9.965203844330972e-07,0.0,0.02250000089406967,0.0,16.64332975516654,16.643329620361328,nan,nan,nan,nan,nan,0.0,1.501793384552002,0.00020049322134753204,nan,nan,nan,0,0
1,10,1.4185407161712646,1.260023593902588,1.5851706266403198,9.965203844330972e-07,0.0,0.02250000089406967,0.0,23.002988058760984,23.002988815307617,nan,nan,nan,nan,nan,0.0,1.5019922256469727,0.00020060890219666364,nan,nan,nan,0,0
