epoch,batch_idx,loss_total,loss_data,loss_phys,loss_ou,loss_bc,loss_sr,loss_T_aux,spike_rate,gn_total_preclip,gn_total_postclip,gn_hidden_fc,gn_hidden_recU,gn_hidden_recV,gn_hidden_base_threshold,gn_hidden_thresh_jump,gn_out_fc,weight_max_abs_global,lr,prodigy_d,prodigy_d_max,prodigy_lr_eff,is_nan_loss,is_inf_grad,gn_out_fc_v0,gn_out_fc_T,gn_out_fc_s0,gn_out_fc_a,gn_out_fc_b,gn_decoded_v0,gn_decoded_T,gn_decoded_s0,gn_decoded_a,gn_decoded_b,grad_dir_v0,grad_dir_T,grad_dir_s0,grad_dir_a,grad_dir_b
1,1,0.9173340201377869,0.8412675857543945,0.7084615230560303,0.029366999864578247,0.0,0.00750389089807868,0.0,0.06337500363588333,1.2146600200045157,1.2146600484848022,0.7043221592903137,0.05660261586308479,0.03949149698019028,0.0638100802898407,0.0650608167052269,0.9829858541488647,1.5000009536743164,1.0,1e-06,1e-06,1e-06,0,0,0.6134393215179443,0.563437283039093,0.09013041108846664,0.29573139548301697,0.42060813307762146,1.9073842850048095e-05,0.00040578460902906954,3.559747347026132e-05,0.0001825314393499866,0.0009146388038061559,-0.3174999952316284,0.39250001311302185,0.4762499928474426,0.7325000166893005,0.518750011920929
1,2,0.9269608855247498,0.8503034710884094,0.7191824316978455,0.029810462146997452,0.0,0.00649724155664444,0.0,0.0693945363163948,3.53698028731899,3.536980152130127,2.0494606494903564,0.14982613921165466,0.12036982923746109,0.10660873353481293,0.17354100942611694,2.869062900543213,1.5000019073486328,1.0,1e-06,1e-06,1e-06,0,0,2.6241226196289062,0.628287136554718,0.05370081588625908,0.7685062289237976,0.5977221727371216,6.212922016857192e-05,0.0003619413182605058,2.1037372789578512e-05,0.00035251479130238295,0.0009069301886484027,-0.5712500214576721,0.44999998807907104,0.6087499856948853,0.8399999737739563,0.6412500143051147
1,3,0.8549337983131409,0.7880043387413025,0.6207517981529236,0.02905500866472721,0.0,0.006803027354180813,0.0,0.06751953810453415,1.4351581368002735,1.435158133506775,0.8422478437423706,0.05982452258467674,0.048411108553409576,0.05414383485913277,0.08910432457923889,1.1547743082046509,1.5000028610229492,1.0,1e-06,1e-06,1e-06,0,0,0.8469428420066833,0.2557745575904846,0.031160715967416763,0.3386400043964386,0.6596382856369019,2.7855270673171617e-05,0.0002734930894803256,1.9144759789924137e-05,0.00017743377247825265,0.0008864538394846022,-0.3687500059604645,0.2775000035762787,0.35624998807907104,0.8550000190734863,0.48875001072883606
1,4,1.124207854270935,1.0164060592651367,1.0261160135269165,0.029239224269986153,0.0,0.00745659414678812,0.0,0.06364843249320984,4.811609720035392,4.811609745025635,2.7099647521972656,0.2010427564382553,0.17042276263237,0.15045636892318726,0.259042888879776,3.955815553665161,1.5000038146972656,1.0,1e-06,1e-06,1e-06,0,0,3.7218375205993652,0.6105000972747803,0.11566121876239777,1.0483003854751587,0.5580149292945862,8.098721446003765e-05,0.0004270841891411692,5.372568921302445e-05,0.0005013032350689173,0.000837974832393229,-0.5649999976158142,0.4350000023841858,0.6312500238418579,0.8849999904632568,0.7487499713897705
1,5,0.7621623277664185,0.7065477967262268,0.4977201819419861,0.03287692368030548,0.0,0.00839728768914938,0.0,0.058363284915685654,1.2683177500173137,1.268317699432373,0.7259703278541565,0.06621891260147095,0.05527264252305031,0.08445187658071518,0.07961201667785645,1.0298964977264404,1.500004768371582,1.0,1.0792291944162972e-06,1.0792291944162972e-06,1.0792291944162972e-06,0,0,0.19549448788166046,0.8475418090820312,0.15350279211997986,0.32181626558303833,0.42072856426239014,9.650962056184653e-06,0.0006480548763647676,6.174462760100141e-05,0.0002013127668760717,0.0008271016413345933,-0.14124999940395355,0.5350000262260437,0.5687500238418579,0.8475000262260437,0.4424999952316284
1,6,1.7332663536071777,1.208824634552002,1.454725742340088,0.02938859350979328,0.37358948588371277,0.007820500060915947,0.0,0.061566416174173355,7.182941028210204,7.18294095993042,4.1884002685546875,0.33204010128974915,0.24957603216171265,0.2651759088039398,0.3912990093231201,5.801376819610596,1.500005841255188,1.0,1.314939499262103e-06,1.314939499262103e-06,1.314939499262103e-06,0,0,5.307699680328369,0.8294921517372131,1.4283342361450195,1.4392744302749634,0.8274005651473999,0.0001260021235793829,0.00044905487447977066,0.0005845640553161502,0.0006351072806864977,0.0008844052790664136,-0.4362500011920929,0.4749999940395355,0.7262499928474426,0.8725000023841858,0.6800000071525574
1,7,1.654521107673645,1.3479061126708984,1.796515703201294,0.0295200664550066,0.12153302878141403,0.007908488623797894,0.0,0.06107031926512718,11.508258636918018,11.508258819580078,6.271352291107178,0.4448258876800537,0.37854400277137756,0.329772025346756,0.5925284624099731,9.607765197753906,1.500007152557373,1.0,1.6061147864453786e-06,1.6061147864453786e-06,1.6061147864453786e-06,0,0,9.174661636352539,0.9972286224365234,0.5770115852355957,2.565744638442993,0.4735720753669739,0.0002165466867154464,0.0005420150700956583,0.0002469052851665765,0.001140241394750774,0.0006806487799622118,-0.3737500011920929,0.5024999976158142,0.5687500238418579,0.875,0.5612499713897705
1,8,1.156243085861206,1.0151392221450806,1.0374388694763184,0.0333184152841568,0.03224882483482361,0.006890298333019018,0.0,0.06699218600988388,1.8218279174894745,1.8218278884887695,1.0736678838729858,0.0800500214099884,0.057186298072338104,0.08497091382741928,0.10708072781562805,1.4621660709381104,1.5000087022781372,1.0,2.0466794502581994e-06,2.0466794502581994e-06,2.0466794502581994e-06,0,0,1.1087582111358643,0.4485144317150116,0.21253937482833862,0.2762257158756256,0.7654712796211243,2.9222501325421035e-05,0.00026652985252439976,9.312993643106893e-05,0.00013272148498799652,0.001023497898131609,-0.550000011920929,0.550000011920929,0.7437499761581421,0.8824999928474426,0.5849999785423279
1,9,0.7014344334602356,0.653405487537384,0.42124462127685547,0.035740990191698074,0.0,0.00823485292494297,0.0,0.059253912419080734,1.1153335736018875,1.1153335571289062,0.6038414239883423,0.05090699717402458,0.03646251559257507,0.06971902400255203,0.07080128788948059,0.9303493499755859,1.5000107288360596,1.0,2.584045445919814e-06,2.584045445919814e-06,2.584045445919814e-06,0,0,0.26518917083740234,0.44651785492897034,0.10075046122074127,0.28598451614379883,0.7098652124404907,1.1101854397566058e-05,0.00036753565655089915,4.0255697967950255e-05,0.00016704603331163526,0.0008591230143792927,-0.10000000149011612,0.4449999928474426,0.48750001192092896,0.8299999833106995,0.45750001072883606
1,10,0.8295800089836121,0.7618599534034729,0.5798494815826416,0.029821477830410004,0.003978172317147255,0.00853169709444046,0.0,0.05763281509280205,2.3161233295072288,2.3161234855651855,1.386388897895813,0.10022693127393723,0.07860255986452103,0.10128398984670639,0.12202611565589905,1.8441747426986694,1.5000132322311401,1.0,3.2618232286906387e-06,3.2618232286906387e-06,3.2618232286906387e-06,0,0,1.543875813484192,0.4795664846897125,0.12497930973768234,0.3342033624649048,0.8124852776527405,4.2827836296055466e-05,0.000374367373296991,5.603562021860853e-05,0.00018932129023596644,0.0008241744944825768,-0.39750000834465027,0.45750001072883606,0.47749999165534973,0.8224999904632568,0.7325000166893005
