epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,marginal_frac,mean_spike_margin,mean_vth_at_spike,rec_spectral_radius,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std,val_v0_nrmse,val_T_nrmse,val_s0_nrmse,val_a_nrmse,val_b_nrmse
1,0.3982599824666977,0.37349322155117987,0.15793168641626834,0.03067957669030875,0.0070865371927209255,0.0007061568660215301,0.304846455362883,0.292661975276597,0.09072514573865115,0.030070148383643715,0.0006894358837289087,0.0018380472841355872,0.002997041079278193,1.1495069029927254,0.16925404074185707,76.81061673164368,4.559547596727498e-05,1.5096876621246338,2.219420909881592,0.41936230659484863,nan,nan,nan,0.00478391582146287,0.004700578283518553,34.13020990249959,0.9692039324882182,1.3568363183356347,0.5688792172264545,1.4811209015389706,2.7227224266909538,0.12171048663081006,0.1436486452659394,0.0810352423367031,0.18834569233846157,0.28728063499081835,0.1861446149037266,0.29324454159756436,0.27578291183963566,0.17321571902973013
2,0.32001949951052666,0.306515940874815,0.09813235435634851,0.03479570772498846,0.0016318796822497462,0.000637314734227914,0.29196966344371755,0.27967228423407736,0.08451674544708208,0.036805041649557176,0.0010802639264966274,0.001850376262956236,0.0029881759946210596,1.110365580022335,0.1638973777757046,76.68861269950867,0.00014406454283744097,1.4706778526306152,2.234873056411743,0.49463462829589844,nan,nan,nan,0.0333838164806366,-0.000712613807991147,33.13554130716527,1.381674220587345,1.5265120432731953,0.5349423268691023,1.6471375036746898,2.6698428373387517,0.14213233682861987,0.18776666999180266,0.08229026424282408,0.16693866704689694,0.26323973783257115,0.1786859224993982,0.2575005285942156,0.29219398516174744,0.20493594722044706
3,0.29300175338983536,0.2809848219156265,0.08248554732650519,0.034878669492900374,0.0018331152645441762,0.00038265940980124923,0.2788995143343159,0.26741814260628627,0.07760345149646572,0.035090469700740055,0.001318537651697741,0.0012959298013331176,0.0029734397324676686,0.951090886592865,0.14417505410915993,75.01553130149841,0.00034768786281347275,1.4692829847335815,2.2795231342315674,0.4955647885799408,nan,nan,nan,0.04657594487071037,0.0019720932468771935,32.888953391541826,1.476539912375998,2.5436493532454714,0.5425834224579182,2.1342254845385855,2.5965744256973267,0.14815068744281504,0.3237249909087698,0.0867639262169758,0.1399423693049144,0.24596661061370434,0.2795034641134484,0.18649812113447456,0.29212508220931294,0.32789539590769806
4,0.29651297807693483,0.2845601023733616,0.08412097219377757,0.029919486846774816,0.0018383629939125968,0.0004128840630527009,0.2664913661143881,0.25630918406742687,0.06991133649159778,0.02525661112443405,0.0011843675088075687,0.0014876978824584863,0.002952890450112382,0.9760906487703324,0.15530911325774294,77.44483280181885,0.0002317631442565471,1.440231442451477,2.2006866931915283,0.5889739990234375,nan,nan,nan,0.060118675231933594,-0.0012761555844917893,40.8651504719511,1.5048069452985804,1.5038608585266358,0.5597689744639904,1.76346843737237,1.2419930814587055,0.1317182868085009,0.1620673424504856,0.08244939270290605,0.14581130417261987,0.4364211132378823,0.2586472809589313,0.2650024354840107,0.28535660474014046,0.22215516673156846
5,0.29177948489785194,0.28067391365766525,0.0818993149511516,0.024063645554706456,0.001253116872976534,0.0009186800065676692,0.2633852754977155,0.2536200816802522,0.0676923616234451,0.0255370341548498,0.0003443935139339954,0.0027494237261074866,0.0029266092461845824,1.0998607948422432,0.18099485769709375,78.78175020217896,0.00029640921275131404,1.462459921836853,2.341080665588379,0.5345361232757568,nan,nan,nan,0.05330320820212364,0.002597350627183914,37.355444674796246,1.4313130727473726,1.3199350973393054,0.6413454552914234,2.14640929787717,1.9412398610184802,0.13086738532527964,0.10984216514538894,0.09663238513105094,0.15470696226792766,0.34824682515911887,0.22976720680313825,0.3012362544192979,0.2559404576564117,0.34534761888946897
6,0.2814507460594177,0.2700375545024872,0.07769418815150857,0.021387142166495322,0.0015830198749335978,0.001982794046394929,0.25974054313562017,0.2493765968433086,0.06777801547457088,0.023149796127480395,0.0009156803791987105,0.0030259526581050073,0.0028946998405894324,1.1215850049257279,0.18457589235077512,76.42685103416443,0.00042394112097099423,1.4308031797409058,2.3147244453430176,0.5671190619468689,nan,nan,nan,0.0560351125895977,-0.002575050573796034,31.840019185492334,1.5783871095231239,1.541951190283958,0.5486706355784802,2.0205450869621115,2.4393655955791473,0.12126225058702712,0.17106249005078,0.07445179960353578,0.15024820485330642,0.22597038542755454,0.29392750556377495,0.25304162336866554,0.28765777178025187,0.29580430068152797
7,0.2943679602444172,0.2816221082210541,0.08439065912738443,0.020865369653329253,0.002290566505980678,0.0019459017393430144,0.29489434284574173,0.28184650660036725,0.08488299444496156,0.022324307593814235,0.0015121652525599625,0.003862314444980209,0.002857288165172796,1.4335776060819625,0.19416842649274685,75.43578886985779,0.00037716873339377344,1.4264202117919922,2.3007664680480957,0.5273630619049072,nan,nan,nan,0.07600979506969452,0.00130639155395329,36.94691911656806,1.5796463889010408,1.2978281150472926,0.7588759927039451,2.2796471784723567,2.0427159865168814,0.1161191426217556,0.09734065965452093,0.10700964674036553,0.1460897943222935,0.3376372272763877,0.27493796857880726,0.3103095191844918,0.22002052248209206,0.3895167008767697
8,0.28226338177919386,0.27086682990193367,0.07751498881727457,0.02063387299887836,0.0019014989779793723,0.0014237224349260024,0.25784477932339017,0.24618341068321087,0.0655178423931307,0.020534440330130622,0.0026199326860071952,0.002925856878233962,0.0028145218667257727,1.5647272974252702,0.18283403621233524,75.07244443893433,0.0004823693889193237,1.4007799625396729,2.1844093799591064,0.5227536559104919,nan,nan,nan,0.054854605346918106,0.00042149817454628646,34.299241918198604,1.5518374265508448,1.242737151206808,0.591806412852825,1.9571830681029787,2.3324408166586084,0.11347939932045151,0.08509401310770277,0.07776645023098334,0.15080292677467175,0.27873474461515674,0.2941843885844376,0.32501686008434855,0.2706843917597769,0.2810234554758839
9,0.26769441857933995,0.2581074553728104,0.07027661925181747,0.018758740676566958,0.0009513383128432906,0.001340048087250274,0.25139035946352684,0.24253500411485104,0.06205912568963113,0.018082455325713183,0.0005011409609573035,0.002488358422478476,0.002766569724290271,2.991151527762413,0.17840951169900438,75.243896484375,0.00023494032211601734,1.4096640348434448,2.1127679347991943,0.52020663022995,nan,nan,nan,0.05150109529495239,0.003410537261515856,37.54247591343332,1.5055069219558797,1.2990486095560358,0.6505076140165329,1.9570141618556165,1.9359343676490988,0.10880023724538215,0.0955409104836748,0.08694084464235509,0.145617770585925,0.35474552936981885,0.26579066711502397,0.3097605235579706,0.2502510170956262,0.2643750301702099
10,0.2837971141934395,0.27337284296751024,0.0786138267442584,0.019104204727336763,0.0010224626730450837,0.0011704281462876253,0.28280974445032314,0.2721009244944187,0.08075065246505782,0.017649287521403205,0.0007418245649782247,0.002018932795865107,0.002713620983065233,1.3455857783555984,0.1698635218942419,75.55764484405518,0.0002500521077308804,1.4026029109954834,2.298539161682129,0.5329684019088745,nan,nan,nan,0.060370028018951416,-0.000483193201944232,32.391072658782306,1.3872818997565737,1.27292792213724,0.5911212049900217,1.7990799305286813,2.5399526801515133,0.10688502349435015,0.0894855062843875,0.08022013022267122,0.15105133277780197,0.23318660484009004,0.24104985938149354,0.31897317250759716,0.2711565356381364,0.24083154639533982
11,0.28583528503775596,0.2744476227462292,0.08097132373601199,0.01695465330965817,0.0018128528460511007,0.001259884997967975,0.2830361574491922,0.27215955870107134,0.0777821795509613,0.01736656893936402,0.0009282663617960543,0.002603570345383225,0.002655884607542295,1.458210236132145,0.17862142630397004,77.00828194618225,0.0002382086677243933,1.3710542917251587,1.9872993230819702,0.5659068822860718,nan,nan,nan,0.06461071968078613,0.0028928525280207396,34.67502232815357,1.4482768964260182,1.1211244406852316,0.7669437339014196,2.00263600844018,2.3914723719688173,0.11007213057514201,0.04882497687457486,0.11190159989402015,0.141826375387609,0.3113228506307182,0.25141658746233064,0.34889196908463854,0.22288564636108604,0.3141098292422273
12,0.26865956380963324,0.25965611666440963,0.0725905341655016,0.017075166823342442,0.00030479608529731194,0.0011716807193694124,0.2693177120007099,0.2572521707637513,0.071521836991838,0.014277569867888504,0.0029631640873387676,0.002472627815237312,0.0025935884568184056,1.482006964981556,0.17607359516810864,75.09946322441101,0.0003478260769043118,1.3696762323379517,2.107666492462158,0.548099160194397,nan,nan,nan,0.0758829191327095,0.003965070471167564,31.37832735954447,1.4624088387540046,1.2220420222333137,0.645566167666557,1.8802174481939762,2.5899225181721626,0.10038128685443959,0.07555339484911491,0.0907482283308785,0.14217899325600963,0.23459168391389765,0.25564676657367125,0.3330536232416744,0.25702568406724774,0.29198549064040835
13,0.28496094480156897,0.2748845914006233,0.07957486346364022,0.015310097774490715,0.0009015034985759484,0.0009037157784419581,0.2556343894214072,0.2440028140281743,0.06290073058211264,0.015878795181708212,0.003268022886875266,0.0025590801063518323,0.0025269783853400676,1.3210532815754414,0.176256139306946,75.29094552993774,0.0006091006798669696,1.3661874532699585,2.362462043762207,0.528224527835846,nan,nan,nan,0.065312460064888,0.0044755213893949986,37.122226167232434,1.6542935631376632,1.2680922118907278,0.6171752739142864,2.04021507121147,2.042723906642579,0.11017735375765156,0.08659496346855179,0.08645935848038247,0.13359711782887895,0.3565597224652487,0.33307333702999287,0.32582562140056365,0.26563508840718003,0.3113565550001422
14,0.27129833444952967,0.2614975669234991,0.07184305214323103,0.014511853521689773,0.0015422104617664445,0.0006973193044305504,0.2407724250187265,0.23299572339400332,0.057498288390405,0.011019705535913322,0.0006689194447110996,0.0016139352016787093,0.002456317272628159,1.2455124124884605,0.15802256438009282,74.21933197975159,0.0003295435744803399,1.3544297218322754,1.9692022800445557,0.5737419128417969,nan,nan,nan,0.07224075496196747,0.0035108907613903284,34.97968682836979,1.516356404791487,1.1755687651482034,0.640080341474807,2.1755624432513057,2.287930397911275,0.09851546700489014,0.06092607269578792,0.08861648134807958,0.1271576216701973,0.3130268391711464,0.27180482100798026,0.33856375225301955,0.25815237467071545,0.3563442648950539
15,0.2599843579530716,0.2511751993000507,0.06653548488393426,0.011350938752293586,0.0012695412658800364,0.0006370406312112209,0.254282540423756,0.24224291412912785,0.06461246836276606,0.011772059540120648,0.0041343371541464145,0.0017108760829204666,0.0023818839858125627,2.722211434692144,0.16152942148928948,75.84429216384888,0.0005934969522058964,1.3485840559005737,2.241307497024536,0.5379347801208496,nan,nan,nan,0.05757683143019676,0.002350396243855357,33.90407000196741,1.610349064811747,1.4100505297488355,0.5627324614436069,2.0506042394232242,2.151643985129417,0.09759231273362294,0.11423927112581565,0.06600319773473955,0.13141036643943887,0.2681602628532592,0.31785715747155263,0.29569047741729726,0.28101967619604057,0.3269013478141593
16,0.2639770436286926,0.255412889868021,0.06902591595426202,0.011842449777759612,0.0006005398120726113,0.0009377988482489741,0.2627376731722913,0.2534166647002418,0.0707608456946315,0.010517968565220647,0.0007255756434925059,0.001986894364090877,0.002303972279071004,1.2083318108320236,0.16934225414978696,75.58335638046265,0.0007524832035414875,1.3193432092666626,2.0712549686431885,0.5143454074859619,nan,nan,nan,0.04933283105492592,-0.00034537145984359086,40.31056627314141,1.6145046809886365,1.3381885112600123,0.5571003232864623,1.9697746995915757,1.2328288467165003,0.09927440418841992,0.10352058856787676,0.07328051058179204,0.13499061456148295,0.42407478397543635,0.3282401628266832,0.3066848440384263,0.2854913772093578,0.3047971281340645
17,0.27277009531855584,0.26182167142629625,0.07231375824660063,0.011029702387750149,0.002834610360056331,0.000661906639507146,0.24334694005231908,0.2356884453762719,0.05910556160527816,0.011487559077919441,0.0002078022035394942,0.0019315143543975604,0.002222889634315521,1.6502677582204341,0.168024516961676,74.69412803649902,0.0001714775717118755,1.2687935829162598,1.762241005897522,0.5295124053955078,nan,nan,nan,0.04927958548069,-0.0013689406914636493,38.17065667091532,1.6102292455257254,1.1633053390269583,0.5953241398042821,1.9850030116578365,1.643292412161827,0.10234689047718619,0.0568726624478586,0.08067444993301909,0.12937614302884073,0.37133177320118643,0.32786091863674627,0.34015429140218595,0.27253293781780974,0.30472318941271925
