epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,0.6393920235335827,0.5301707960665226,0.398204087857157,0.019743712530471386,0.06841363277308382,0.008318394452799112,0.2387578380393221,0.23047213991509474,0.06351863103175655,0.007339243358496497,0.0015668734332674084,0.012028198637206979,0.9755282826193187,1.9680641905218363,0.040904660847909904,142.00424695014954,0.017422360897218006,0.017422360897218006,0.016996005805237052,0.008744128979742527,36.11483778852097,1.2175053808283298,1.3307281320399427,0.4382278245497257,1.0004249319751213,1.866146446542537,0.06373575833091076,0.09350361158833542,0.04499211317384021,0.09586019076882525
2,0.2316325518488884,0.22438465639948846,0.05811770418658853,0.007773512147832662,0.001047449162683005,0.011107786549255252,0.22882287232007117,0.22220358862838846,0.05695329281065534,0.007271768540104336,0.0005603659037162933,0.01242745798229775,0.9045085926789765,0.4021739214658737,0.039435723964917534,141.97431135177612,0.017422360897218006,0.017422360897218006,0.01575867513628789,0.11218763142824173,38.597049723280236,1.2335549478835248,1.316077638179698,0.5268530148140927,1.3466311338100028,1.1310323552882418,0.06580927349785541,0.09771909669754987,0.06340005473194128,0.1257018396194945
3,0.21949947014451027,0.2127737857401371,0.0534621540736407,0.0063250885193701836,0.0010632135842570279,0.010746069382876158,0.24123008949483962,0.2334371075588972,0.062133172715201655,0.008587731083141679,0.001150278396732545,0.014759806713010085,0.7938928322536105,2456448.346122226,0.02877595245917427,142.99831914901733,0.027491847684094874,0.027491847684094874,0.021825580821810943,0.21574589610099792,38.37016988307872,1.1754908390501713,1.5706547492362084,0.5228408850887989,0.8540706999124364,1.8861913338620613,0.06625178042165142,0.13462224642330028,0.09171400720902541,0.11607866409294149
4,0.22857569962739943,0.22172451853752137,0.0556373620312661,0.007598872538655996,0.00090750178291092,0.012927065901458264,0.21175083521991334,0.20397631942908814,0.04755655538657323,0.011150407855042276,0.0024613394003425012,0.014521572610085949,0.6545088426789766,653658399.2091765,0.029840810729705906,142.7148711681366,0.027491847684094874,0.027491847684094874,0.01799365741082364,0.20291906595230103,38.81226431055272,1.3186594919955477,1.3831771180984822,0.4247869476675987,1.1460127082276852,1.3772863485711686,0.07568231605468913,0.11116942778190082,0.05241775103956783,0.17264287918806076
5,0.213853644952178,0.2075034911930561,0.046699711997061966,0.014938019742257893,0.0009332815700363995,0.014673155723139644,0.2268197192077307,0.20934487459190348,0.0514079874475546,0.009571046372776495,0.01185549305862762,0.015311137490727484,0.5000005000000001,0.4034503698348999,0.026543280922193477,142.2830786705017,0.027491847684094874,0.027491847684094874,0.01374593758797128,0.39752617478370667,34.589375495910645,1.186477559678098,1.4824741178370537,0.510053591525301,1.2353519540517888,2.2394963421640877,0.06588167120563856,0.12893732230951813,0.06175353877474566,0.1532997495712752
6,0.2076862894743681,0.20152398012578487,0.04465196831151843,0.010329894237220288,0.0011806170913924374,0.0146220809686929,0.1963993830487449,0.19055717878360698,0.039683308828859884,0.0145857651554484,0.0011445855021749286,0.015380433785352619,0.34549215732102356,0.4034233085811138,0.02623677555907597,142.2141513824463,0.027491847684094874,0.027491847684094874,0.009498217765118923,0.2099698781967163,39.971225637070674,1.2277405135175015,1.355335125897793,0.42470322834684493,1.044100267455933,1.4821380869029683,0.09754258744973451,0.13037299862171106,0.05898607975850997,0.149914862112479
7,0.2080731411278248,0.20203619979321957,0.04519469426944852,0.01242850192822516,0.000896047030569207,0.01492333758622408,0.18896995167782965,0.18450352557479066,0.038313442194695645,0.009596879623751057,0.0001552382841723744,0.015549368447961008,0.20610816774638968,2592.4742675739153,0.025553056999961746,142.5033118724823,0.03827819810141381,0.03827819810141381,0.007889449275315732,0.3413350284099579,39.30258639315341,1.344467411649988,1.3838523937032579,0.40236968420287395,1.7736476811956852,1.5602161046513852,0.07483954337286822,0.12426361273181566,0.06279866647023578,0.1677358069635452
8,0.19557562440633774,0.19053220599889756,0.03933978074695915,0.00959305910160765,0.0006297868605561519,0.01499451375566423,0.1857983345918833,0.18149906297788976,0.036441369415657156,0.010484068468708465,0.0001309317073532843,0.015993173149949375,0.09549240732102354,0.38570287466049197,0.023652021931682494,142.70840406417847,0.03827819810141381,0.03827819810141381,0.0036552772846150374,0.29974600672721863,36.58550042294441,1.2137396316579048,1.4475180937888774,0.40012991032067763,1.197127547352872,2.2802464418271753,0.08519360841192464,0.15356745341039718,0.06038049360807797,0.13112590493673973
9,0.18827285058796406,0.1832243384420872,0.03675633531995118,0.009976610781159252,0.0008740467040843214,0.016144010620191693,0.19059076643687614,0.18605328818902056,0.03846367530554454,0.011999655462940163,9.112783343385438e-05,0.01657973963549321,0.024472717380681387,0.35378675039857627,0.02134822800438455,142.6157741546631,0.03827819810141381,0.03827819810141381,0.0009367715239776349,0.2737235724925995,35.208251719779156,1.3601773171982867,1.531724273524386,0.4585012029460136,1.280461348434712,2.4174121624611793,0.0980842257156334,0.16418197996755865,0.08397956843614242,0.1372087286745614
10,0.1897686366736889,0.18473793841898442,0.03789352661930025,0.013394905352033675,0.0005715995811851827,0.016394088435918094,0.18192495758387636,0.17527906136943938,0.03398515219909159,0.013619843990532086,0.0025663885997133508,0.016187353366787765,1e-06,0.4864053585380316,0.022908442633900235,142.13264226913452,0.03827819810141381,0.03827819810141381,3.82781981014138e-08,0.44042760133743286,35.97348441468908,1.2913121885441718,1.636077494697368,0.4341130989029052,1.38810381673752,2.199940933509076,0.07956986999178821,0.16985508973928207,0.07377177111923996,0.15797306593269744
