epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,0.9446572497487068,0.8177327230572701,0.7201503767818213,0.0035273146885447205,0.05075397422639071,0.007958288020454347,0.29909140363018566,0.2770776274673482,0.08093445334940198,0.0020624436896314173,0.011848570501734549,0.00393727734046208,0.49950668309370366,1.361174457371235,0.08957442742316647,141.56087398529053,0.017363381942694576,0.017363381942694576,0.008673125321484476,-0.011412282474339008,0.007779780775308609,32.884678465254765,0.8869385570287704,1.883281648159027,0.653422345506384,1.1103449346537286,0.47836690348513583,0.03390490548051101,0.060434163686759926,0.03754121022536717,0.05516807079077401
2,0.2575676292181015,0.2463172733783722,0.06539426794275642,0.0020798795321024955,0.002847366391019932,0.0035191424889865174,0.22495751510909262,0.21615480778223656,0.05262438886541319,0.0022466872834868016,0.001360428755789765,0.004135011926840153,0.4980286792712688,0.2667090854421258,0.08816566330162769,142.39080619812012,0.01763851327757739,0.01763851327757739,0.008784485471940606,-0.023644844070076942,0.006841585505753756,35.86635824974547,1.1355066343824913,1.7599670449469953,0.4530773880950948,1.340796265830385,0.5336104135246987,0.033253407868695385,0.06488356051689133,0.030853792195248,0.058372702806236895
3,0.23125121727585793,0.223404138982296,0.05334385639987886,0.0019036497862543911,0.0008140718980894234,0.0032068801834248006,0.21837788400180796,0.2097165830869307,0.04937312210924884,0.002257419703652131,0.0016160924805349846,0.003990050251094873,0.4955718215385468,0.23999163903295995,0.08998479180909852,141.46520161628723,0.01763851327757739,0.01763851327757739,0.00874115015420087,0.03663965314626694,0.009198229759931564,37.22762643530014,1.1663606623385816,1.8429099575002144,0.47733480435736636,1.4199578406962943,0.5914792491400496,0.036498732666702983,0.06893045990232458,0.032999807950158784,0.057652831533329285
4,0.22877492181956768,0.22096413478255272,0.05259977643378079,0.0020820254849968477,0.0012598090414348917,0.002373798751623326,0.21370130052116323,0.20517834616785355,0.04656901159026521,0.0017839335515089532,0.0019590247873667705,0.0036356629830864187,0.4921458059905771,0.23937498468905688,0.09668227552654261,141.62481427192688,0.01763851327757739,0.01763851327757739,0.00868072033346882,0.20404067635536194,0.010019962675869465,37.17677047404837,1.1283198106796184,1.7210802106147116,0.46870481809403036,1.4581643691722384,0.6477560285241046,0.03441097377304067,0.0695183377395919,0.02725038781407304,0.0593888720180443
5,0.22259264051914215,0.2155792661011219,0.05033158581703901,0.001995949377305806,0.0008541516443717256,0.002052532605819124,0.21669776099634933,0.20450257307830008,0.048410022050449426,0.0021240316434178817,0.00610872435622986,0.0022785153205286722,0.48776415354553015,0.27136467199772596,0.11322753028349673,141.08121705055237,0.01763851327757739,0.01763851327757739,0.00860343449863913,0.2564646601676941,0.01347851287573576,39.16730787398967,1.2062834450539122,2.08524145851744,0.3989638754345001,1.4657547778271613,0.6328967367397978,0.03526302819397855,0.07160881102243637,0.025854776901666054,0.08026712574064732
6,0.20788221091032028,0.20128637596964835,0.04505337066017091,0.0024821600771974773,0.00135557237028479,0.0012216358211323808,0.1983761762843487,0.19083610866615114,0.04096348831638139,0.003330897547284815,0.002180052462323785,0.0021942431501487396,0.4824441565838198,0.30838737078011036,0.1165477812409084,141.1262903213501,0.01989692473735269,0.01989692473735269,0.009599155073523859,0.34845682978630066,0.015733269974589348,38.85820318790192,1.244789257328561,2.659133779241684,0.43299131349046177,1.5717267070678955,0.69928427627112,0.042317686126904286,0.12445966170189228,0.03280461889269336,0.09091595261100124
7,0.1922858064621687,0.18636864580214024,0.03806309594772756,0.0026418733492027968,0.0014246053512874824,0.0011083061800013637,0.1941831621163069,0.18580403377084023,0.03775160125347766,0.0017796816202772267,0.0022911906044372882,0.004447586078341943,0.4762068107029786,0.3128977704793215,0.08947411238988663,143.15067315101624,0.02055919795434302,0.02055919795434302,0.009790430088448892,0.3972184360027313,0.03514022007584572,37.71403367468651,1.139132505401652,2.2777799482041217,0.48127455216773013,1.6000484272520592,0.7957276299278787,0.032999610736411306,0.10622847777731875,0.039919106497805806,0.07892595572357482
8,0.19765785798430444,0.1914314828068018,0.03983358663506806,0.002765730037353933,0.0013209718548023374,0.0015675165135132828,0.19321782058699333,0.1862021939472315,0.038183895568858754,0.003890979727309078,0.0015198141840420687,0.00296574747345709,0.4690767318576258,0.4604376117140055,0.10424041216994853,140.47933793067932,0.02055919795434302,0.02055919795434302,0.00964384138603721,0.4348532259464264,0.04006606340408325,39.55892727222849,1.0961049214956609,2.4319528518839086,0.4144131679167139,1.5376490868152457,0.9157771911234298,0.04995986975808727,0.12212396587463135,0.03785004747420859,0.08566535579318062
9,0.195614318177104,0.18838373698294164,0.03978853668086231,0.004030207491014153,0.0017020909031248265,0.002696248573702178,0.18823325558704265,0.17963666480747945,0.03544521105644154,0.005907533331179714,0.002393509836868009,0.0047263667496194334,0.46108205921154094,0.391912734657526,0.08538576387899353,140.5544822216034,0.036649611934831246,0.036649611934831246,0.01689847854021586,0.46010223031044006,0.037798572331666946,39.560863149927016,1.188944471009234,2.6552165176006075,0.4859104378426329,1.4271816237175718,1.0699779141615047,0.05917815780861581,0.15879584476351738,0.04565031924551264,0.10491456051773214
10,0.20785159081220628,0.19960339479148387,0.043717484711669384,0.003921317183412611,0.0016739399071502702,0.004012886126537722,0.1923264034013165,0.18533138560250084,0.0396044978096665,0.0047933535236726575,0.0007238390616802901,0.004142124108352134,0.45225434408523957,0.3587068570777774,0.08975355356852426,140.1047718524933,0.036649611934831246,0.036649611934831246,0.016574946206565674,0.44498878717422485,0.03106335550546646,38.38227766118151,1.1515667765064443,3.4316578304513974,0.35914907509342153,1.2416762760344973,1.1623383853980835,0.05440405770105884,0.17081326931873533,0.02520730060410023,0.10361289096243204
11,0.20876442313194274,0.2002630680054426,0.04443867519497871,0.0038566810730844736,0.001661954027945285,0.004405399161478272,0.18239728729934135,0.17459162386094637,0.034270455909674945,0.003519479781661698,0.001815113887586949,0.004775059469300824,0.44262842543732583,0.4613987648114562,0.08950763884337341,140.16709923744202,0.036649611934831246,0.036649611934831246,0.01622216002360338,0.5334146022796631,0.04619204252958298,35.88146033185593,1.1942854355624382,3.7124983046917204,0.5053842036013908,1.6089978065896542,1.2619077734490658,0.04477451177948016,0.16390490510124475,0.03811246377721003,0.10432593655237492
12,0.2000134702026844,0.19241902515292167,0.04174142631236464,0.0044217707414645705,0.0015673960678485343,0.003263639103306559,0.23093646166330956,0.2231437605112157,0.0576711449440212,0.00279366246119954,0.0008737030942577705,0.002024401878564959,0.43224229237103906,0.5269116764143109,0.17779702288990326,141.11590266227722,0.036649611934831246,0.036649611934831246,0.01584151227722045,0.1955239325761795,0.023029105737805367,43.37334367062183,0.8310604580539338,4.337446668046586,0.32234343965636925,0.8694197082139076,0.5801265826250644,0.05640625868468208,0.12430306736062816,0.013217482034288056,0.07596136102492505
13,0.19711498469114302,0.18904404126107693,0.03812510128132999,0.00445313242264092,0.002136217577146908,0.003799117351344421,0.17918467394849089,0.17316343044822521,0.03384594393874261,0.003687052020897217,0.00034990452045045357,0.0042047838753055755,0.4211369342086191,1.0325108116865158,0.09220880981376196,141.46104645729065,0.036649611934831246,0.036649611934831246,0.015434505210170446,0.4756336510181427,0.045804835855960846,37.5092943678511,1.1872224776034659,2.8768126723614147,0.4214259292534057,1.315374643561688,1.3599229065820257,0.0483695541785911,0.14224730578667305,0.04302623756148797,0.1033587542937157
14,0.21049220107495784,0.20306241303682326,0.04596881187520921,0.0035475987417157738,0.0009547722898923894,0.003401511179290537,0.20244744663780673,0.1965950626800669,0.04456840289206779,0.004925465079376157,2.4000573097040653e-05,0.0022505393736862445,0.40935617872517743,0.45152231931686404,0.10989604026396224,141.32424688339233,0.036649611934831246,0.036649611934831246,0.015002745093403175,0.11116410046815872,0.008652045391499996,41.116269700070646,1.1789988545661276,3.999446578482364,0.3369408560560105,1.2272220634399575,1.3028065763770582,0.0783790671563846,0.1331110761124403,0.024019646132109437,0.09404227684469933
15,0.1872914120554924,0.18098173938691617,0.03525739887729287,0.005363767051603645,0.000968739469508364,0.003094012308556557,0.19849023932313664,0.19237846992117294,0.042235932478859546,0.007205847249505051,0.00036441427034739543,0.002326939618883516,0.39694651918049206,646356801.6616559,0.10978978127241135,140.9431393146515,0.036649611934831246,0.036649611934831246,0.014547935886847082,0.35248109698295593,0.0042439294047653675,39.31155830748538,1.2354742707090174,3.8101446476388485,0.37575658331526085,1.5312447484503402,1.6804690836591925,0.06799352670365826,0.1786742581728291,0.03634412197338184,0.1196025135590041
