champion,var_vl->T,var_vl->s0,var_vl->b,mean_absdv->T,mean_absdv->s0,mean_absdv->b,mean_absal->T,mean_absal->s0,mean_absal->b
Raffaello,0.6153846153846153,-0.021538461538461538,0.6292307692307691,0.7776923076923077,0.04230769230769231,0.7853846153846153,0.6553846153846155,0.01923076923076923,0.6638461538461539
Leonardo,0.6007692307692307,-0.17923076923076922,0.32076923076923075,0.7753846153846154,-0.2323076923076923,0.48538461538461536,0.6461538461538462,-0.15153846153846154,0.3807692307692308
Donatello,0.6092307692307692,-0.6446153846153846,-0.4807692307692307,0.6453846153846153,-0.7976923076923076,-0.7146153846153845,0.5938461538461539,-0.6784615384615386,-0.5276923076923077
Michelangelo,0.45692307692307693,-0.16538461538461538,0.31846153846153846,0.7115384615384615,-0.04461538461538461,0.5499999999999999,0.4976923076923077,-0.13384615384615384,0.37
