epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s
1,1.0611410125305778,0.9622017855706968,0.9815975173131416,0.015589832450456542,0.0,0.022392293291264458,0.4811425012476901,0.45619678972883426,0.22348768929851817,0.051938932924036015,0.0,0.020566994007280532,0.0004110331534847892,27.178559930073586,0.006592624736553494,352.4547097682953
2,0.31928600951244956,0.3075471768253728,0.09924591301303161,0.036284814955831135,0.0,0.01676392709150126,0.2286607726140225,0.22346807382208236,0.051832537999019976,0.0001889385753540719,0.0,0.009424460467268178,0.0009451659653397465,1.249600892602221,0.05295009257152994,357.0693941116333
3,0.22563148274233466,0.22040495488204453,0.05221918649775417,9.223336724541074e-05,0.0,0.0074103830357719405,0.22801372123525498,0.2228448433761901,0.051677635811427806,2.2354592413242417e-05,0.0,0.007760440539370509,0.0015519101429749846,0.06626369451956922,0.061944801598153215,357.555424451828
4,0.22009062014128034,0.2151613473500076,0.04927661696350888,3.228764333614795e-05,0.0,0.00854476905721975,0.22836678649516814,0.2231971061927207,0.0516852990704331,2.3077838013124804e-05,0.0,0.009158568545938172,0.0019467253815796165,0.048387091105656796,0.05434064880171989,356.25663447380066
5,0.22236815757657352,0.21728298017068914,0.0506994392869896,0.00030473798017163447,0.0,0.00930574992181439,0.22802473683940602,0.2228596527525719,0.05164815503311284,5.426490293331803e-06,0.0,0.009068117467092072,0.0019886063035814703,0.058980384141843964,0.05480937750891168,355.6848349571228
6,0.22704974463895747,0.2217919781019813,0.05257499290042018,5.4264682675191006e-06,0.0,0.009695786830822103,0.2278466803279329,0.2226911098399061,0.051553032043924994,5.42643836989226e-06,0.0,0.010154638419601512,0.0019003842154692986,0.04701105350028037,0.049270124670038835,355.22016406059265
7,0.22424627726799565,0.219135887215012,0.05110121601702351,5.42902670722948e-06,0.0,0.010940610264476977,0.22775207269699016,0.2226025382889078,0.051492664645960994,5.426924978584135e-06,0.0,0.010742652269595481,0.001732247892930059,0.04710486654780413,0.046395921049282904,359.35587668418884
8,0.21813156694958086,0.21329963120974993,0.048177444454478593,0.00028388825755763195,0.0,0.010845091189012716,0.22763168415490617,0.22248434338797915,0.05144692820675196,5.2997085320268836e-05,0.0,0.00987201580341826,0.0014991369860754612,0.06877278756828194,0.05068646585370632,351.87675380706787
9,0.22426744605365553,0.21916901410410278,0.050932602643182404,0.00010348831132624152,0.0,0.00995725211442301,0.22744264532911015,0.2222981259543845,0.05144251431239412,5.4264388488283e-06,0.0,0.01102313990803792,0.0012217644219699013,0.063778762690919,0.0450501449089101,340.4943754673004
10,0.22902977345021147,0.22370707502490597,0.05322383133890597,6.379083934485894e-06,0.0,0.011120847039120762,0.2278898191895891,0.22274047786251028,0.05149072690054457,5.434103455782145e-06,0.0,0.010643016130841792,0.0009247759701636075,0.070873861346933,0.046885985920720914,339.8804135322571
11,0.21694990274937528,0.21214546992590552,0.04798837684977211,0.00011197201898587656,0.0,0.011511967909571371,0.22738402099051375,0.22224336307733616,0.05140390292681912,5.426487700304356e-06,0.0,0.0116565616583412,0.0006345603579119217,0.0582952373416016,0.042071809595886696,339.165230512619
12,0.22492850387566968,0.21974407928554635,0.051841563898089686,5.426689092832691e-06,0.0,0.011739434551839767,0.22728748286658146,0.22215226958406734,0.05134944922905019,5.426478735976258e-06,0.0,0.011491995304822922,0.0003769045159536446,0.0703418230135484,0.042840700121001996,340.2264881134033
13,0.22358238822535464,0.21844175959888257,0.05140300029888749,6.6211595798162495e-06,0.0,0.012175832909384841,0.22709761956270705,0.2219680538202854,0.05129298831316385,5.426555859191873e-06,0.0,0.011690247784111095,0.00017470229655080745,0.09198481274744201,0.04192064329981804,343.00585412979126
14,0.21961722679828344,0.21465630480333378,0.049606540627581505,5.426471723598967e-06,0.0,0.011829029597145947,0.2271002952722793,0.22196605960105328,0.051339668915309805,5.427808673630352e-06,0.0,0.011871668529954362,4.592025424717672e-05,0.07567376382526403,0.04108467809063323,339.03964138031006
15,0.22775754971723808,0.22243931320937058,0.05317946518036096,5.867715170001917e-06,0.0,0.012038352492412455,0.22723401401271212,0.22208938414746143,0.05144255701452494,7.5334246890208224e-06,0.0,0.012158625313338446,2.0012386521138383e-06,0.08665523394623673,0.03977347339721436,340.23373460769653
