epoch,batch_idx,loss_total,loss_data,loss_phys,loss_ou,loss_bc,loss_sr,spike_rate,gn_total_preclip,gn_total_postclip,gn_hidden_fc,gn_hidden_recU,gn_hidden_recV,gn_hidden_base_threshold,gn_hidden_thresh_jump,gn_out_fc,weight_max_abs_global,lr,is_nan_loss,is_inf_grad
1,1,1.2126655578613281,1.0598995685577393,1.1230955123901367,0.3499763309955597,0.012611483223736286,0.02069214917719364,0.006152343936264515,23.88662722904768,23.886627197265625,23.49363136291504,0.21394483745098114,0.3505226671695709,0.3154688775539398,0.13872602581977844,4.281686782836914,1.5010000467300415,0.001,0,0
1,2,1.075360894203186,0.9492397904396057,0.8961547613143921,0.24992726743221283,0.013692482374608517,0.020633377134799957,0.006356771104037762,22.813162752886697,22.813161849975586,22.50269889831543,0.16176171600818634,0.27490663528442383,0.231392964720726,0.09250479936599731,3.7289538383483887,1.5019986629486084,0.001,0,0
1,3,0.8165305256843567,0.7146480083465576,0.5102764964103699,0.08555971086025238,0.03646903485059738,0.02021562121808529,0.00781835988163948,13.737892403283485,13.737892150878906,13.629405975341797,0.06553788483142853,0.11734338104724884,0.07221263647079468,0.03247521072626114,1.7159972190856934,1.5029702186584473,0.001,0,0
1,4,0.9012018442153931,0.7674688696861267,0.5903035998344421,0.10507695376873016,0.05886515974998474,0.021167220547795296,0.004510417114943266,13.26221270869105,13.262212753295898,13.198441505432129,0.055013347417116165,0.0887167900800705,0.05198889225721359,0.007992706261575222,1.2937402725219727,1.5038763284683228,0.001,0,0
1,5,0.746277928352356,0.6583118438720703,0.4326134920120239,0.09929754585027695,0.029289282858371735,0.020901141688227654,0.005427734926342964,10.976377504401222,10.9763765335083,10.921063423156738,0.04729403927922249,0.08265101909637451,0.03858290612697601,0.006950865034013987,1.0957335233688354,1.5047228336334229,0.001,0,0
1,6,0.8985694646835327,0.7976226806640625,0.6346418857574463,0.09695557504892349,0.022192519158124924,0.020884579047560692,0.00548502616584301,13.028677527739152,13.028676986694336,12.99024772644043,0.0404060035943985,0.08233305811882019,0.03410153463482857,0.00904637947678566,0.9951110482215881,1.5055243968963623,0.001,0,0
1,7,0.7576658129692078,0.6789432764053345,0.4633854627609253,0.07936960458755493,0.018141625449061394,0.020547805353999138,0.006654947996139526,10.422901387802524,10.422901153564453,10.31723403930664,0.0545562244951725,0.12042813003063202,0.06615829467773438,0.017132468521595,1.4728901386260986,1.5063128471374512,0.001,0,0
1,8,0.7250604033470154,0.6397807002067566,0.4093169867992401,0.10782685875892639,0.02858472429215908,0.020743878558278084,0.005972655955702066,11.253835745847573,11.253835678100586,11.17878532409668,0.052318036556243896,0.10742774605751038,0.04698994755744934,0.007928874343633652,1.2911347150802612,1.5070754289627075,0.001,0,0
1,9,1.051708698272705,0.9008374214172363,0.8122482299804688,0.11919306963682175,0.05320882424712181,0.020956147462129593,0.005237630568444729,11.210515968609387,11.210515975952148,11.161026000976562,0.04169768467545509,0.0821145623922348,0.038746193051338196,0.004716276191174984,1.0474549531936646,1.5077954530715942,0.001,0,0
1,10,0.7823019027709961,0.7078217267990112,0.5026503205299377,0.10184214264154434,0.008713742718100548,0.020818769931793213,0.00571289099752903,13.43138722544348,13.431386947631836,13.394346237182617,0.040644172579050064,0.08682764321565628,0.04218495637178421,0.007733943406492472,0.9912725687026978,1.5084891319274902,0.001,0,0
