tag,run_dir,ckpt_epoch,ckpt_val_loss,val_total,val_data,val_phys,val_ou,val_bc,val_sr,val_spike_rate,val_val_T_tracking_corr,val_val_T_intra_corr,val_val_v0_pred_mean,val_val_v0_intra_std,val_val_T_pred_mean,val_val_T_intra_std,val_val_s0_pred_mean,val_val_s0_intra_std,val_val_a_pred_mean,val_val_a_intra_std,val_val_b_pred_mean,val_val_b_intra_std,rank_effective,cond_number,sv_norm_1,sv_norm_2,sv_norm_3,sv_norm_4,sv_norm_5,cfg_cf_hidden_size,cfg_cf_rank,cfg_cf_max_delay,cfg_cf_bit_shift,cfg_lambda_T_aux,cfg_lambda_sr,cfg_scenario_mix,cfg_optimizer,cfg_epochs
R25v2_A2_seq_len_short,results/Prodigy_Study/R25_Ablation_v2/A_memory/R25v2_A2_seq_len_short,9,0.19049553647637368,0.1870348543226719,0.1795708940823873,0.03655177690088749,0.00945600637793541,0.00040630397522030154,0.005859358354626845,0.07763065727551778,0.15745988488197327,0.006253701169043779,38.69599184163411,1.5240443435013293,1.2065772787729898,0.06531131799022356,1.3006033328374227,0.08637254271904628,0.3541407900651296,0.04591928164873025,1.4401297092437744,0.15607743912935257,1,13650.970931529246,1.0,0.0005221648764209809,0.0004983811130808301,0.00031311030118534805,7.32548626039727e-05,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_A3_seq_len_long,results/Prodigy_Study/R25_Ablation_v2/A_memory/R25v2_A3_seq_len_long,10,0.1937131364928915,0.18834655391091995,0.17954737677219065,0.03373110616341867,0.010415482151500404,0.000779913485904848,0.008250758254979836,0.059696844125047645,0.22309553623199463,0.03102809004485607,32.13140432885353,2.5470396629039276,1.2625030811796798,0.09383627926891154,1.2447460522042944,0.08698277448878643,0.36680150856363014,0.0607673528380048,1.3240647290615326,0.1321033665791471,1,6711.274179439148,1.0,0.0007421448026545562,0.0005138238686483444,0.00022219257226420205,0.00014900300200275363,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_A4_delay_long,results/Prodigy_Study/R25_Ablation_v2/A_memory/R25v2_A4_delay_long,10,0.1953871562442881,0.18958095928772967,0.1826971009215142,0.036447446208764264,0.013502228499806307,0.0007804319942861947,0.003567138762012659,0.09238272003750218,0.2827409505844116,0.010059166699647903,28.114039547899935,2.6245801604174552,1.2175442753954138,0.08623018642847842,1.3135130804903963,0.07634867774570321,0.44267677325517574,0.048831716304932264,1.283430351855907,0.13960683880809774,1,21733.567522581798,1.0,0.0008182554427879163,0.0002369026899815319,6.626136806734801e-05,4.6011774135147e-05,32,8,18,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_A5_leak_slow,results/Prodigy_Study/R25_Ablation_v2/A_memory/R25v2_A5_leak_slow,7,0.20441627343918414,0.19863657843559346,0.19086246501575124,0.04069880892007433,0.007916318198190407,0.0006239546805809271,0.0053689221670712405,0.07863620064280769,0.2954557240009308,0.01818286068737507,36.60049001206743,2.2457894464122488,0.984729751627496,0.0634218351717325,4.460696749230649,0.2784770564275219,0.36444177145653583,0.043020929999948616,1.2230948152694296,0.1292911446950537,1,25990.951975220836,1.0,0.0021384078739165417,0.00039078599368413296,6.428597101777458e-05,3.847492777307182e-05,32,8,6,5,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_A6_combo_memory,results/Prodigy_Study/R25_Ablation_v2/A_memory/R25v2_A6_combo_memory,7,0.2075479950835096,0.2029164691871785,0.19693443860779417,0.040742557951586045,0.009913128265675078,0.00016312775829723048,0.002497982641758194,0.10234629259781634,0.2239590585231781,0.02717801369726658,36.9860302539582,1.4567354373792385,1.1319556394790082,0.08190799544149256,1.125895989702103,0.0424127577868429,0.37404576356106617,0.037434830579242885,1.0043827111416674,0.09820942652035267,1,20686.107570081705,1.0,0.0006423982560397835,0.00041079341370092986,8.473114913466176e-05,4.834162234785528e-05,32,8,18,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_A1_baseline,results/Prodigy_Study/R25_Ablation_v2/BASELINE/R25v2_A1_baseline,10,0.18870155743144928,0.18346553581192138,0.1763485063342972,0.03378621124454397,0.010149975812577821,0.0004397960518657144,0.00558222682345931,0.0791908780984739,0.28069475293159485,0.01386230532079935,34.876441580183965,2.097408967766356,1.22446268543284,0.07482434414881975,1.6347187427764243,0.19103821906003546,0.4047111524863446,0.06164396256815265,1.2844234628880278,0.1264324115311846,1,7113.494160130843,1.0,0.000909769761391069,0.0003427080873723052,0.00021673249948799938,0.0001405778900620629,32,8,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_B1_T_aux_low,results/Prodigy_Study/R25_Ablation_v2/B_loss/R25v2_B1_T_aux_low,10,0.1987298875650827,0.19357257748537876,0.17815128587027815,0.034407836045733,0.005511266628944097,0.002818560104036264,0.006885832492658433,0.06931142015580802,0.24094679951667786,0.012168928049504757,36.77700453616203,2.0273278441200864,1.2139811845535928,0.05565955713787611,1.4571158556227988,0.13091014452437136,0.3812614547762465,0.06366976229069078,1.2024935601239508,0.11999491847893025,1,12031.41656080125,1.0,0.0006935126542415212,0.0005526291007531407,0.0003166797201896207,8.311573246146533e-05,32,8,6,3,0.1,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_B2_T_aux_mid,results/Prodigy_Study/R25_Ablation_v2/B_loss/R25v2_B2_T_aux_mid,8,0.2357424557050492,0.22816004572396584,0.17819970045635042,0.03473599059903558,0.007007947072703788,0.00213246921837834,0.008260871445948377,0.059890323932817645,0.4722868800163269,0.020084993913769722,35.16478556775032,2.1824436021295,1.1834558603611398,0.05796290531833755,1.3713638991751569,0.08942309310263459,0.3751173055869468,0.04065709629147487,1.1623262775705216,0.11352902856913019,1,15614.131709514717,1.0,0.0008274524835652784,0.00041646781214578173,9.380469055818519e-05,6.404454750376124e-05,32,8,6,3,1.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_B3_T_aux_high,results/Prodigy_Study/R25_Ablation_v2/B_loss/R25v2_B3_T_aux_high,7,0.5845795862693736,0.5521217948420251,0.1801709664311815,0.03588851093700988,0.009664707625795037,0.003131597192059737,0.011626299101601732,0.042465177453816574,0.5670528411865234,0.03116876259446144,33.529349611160605,2.2455876761294427,1.198610189113211,0.06875922317874242,1.6686070085840021,0.1650047077936061,0.4192008781940379,0.06222715477478948,1.253569652425482,0.12702992883451442,1,18075.974063668364,1.0,0.0008976440547355986,0.00045356595705237177,0.00020310340344973236,5.5322053266824535e-05,32,8,6,3,10.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_C1_sr_off,results/Prodigy_Study/R25_Ablation_v2/C_spike_rate/R25v2_C1_sr_off,7,0.19047022828871898,0.1877557220373382,0.1830672090278661,0.03704861179489563,0.010497748398499445,0.0004587650360248786,0.009708968484080694,0.05228027456658001,0.20496027171611786,0.012885416857898235,37.96363929992027,1.7406241833529574,1.2322903858854415,0.07599813138392378,1.5863800657556413,0.1708062268159491,0.3769017473814335,0.05537613089527053,1.30208165594872,0.12118440505830531,1,3982.9401186421605,1.0,0.0016847849483005565,0.0006933269772429456,0.0004321651021903049,0.0002510708095558599,32,8,6,3,0.0,0.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_C2_sr_high,results/Prodigy_Study/R25_Ablation_v2/C_spike_rate/R25v2_C2_sr_high,10,0.20197075872900003,0.19454264260352927,0.18089159050995998,0.03578438883042954,0.013047999172332757,0.0007058023532624241,0.001742882493703722,0.13947732421628972,0.33186689019203186,0.017535855993628502,35.99987308015215,2.222355632071799,1.094812718794701,0.08070566913390413,3.997940567579675,0.28405665451700385,0.4199451025813184,0.05764262046901383,1.2848278315777475,0.13900875874814836,1,15199.979884587357,1.0,0.0014948740749999134,0.0005359056646621584,0.0001939579797446881,6.578956074895803e-05,32,8,6,3,0.0,5.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_C3_sr_very_high,results/Prodigy_Study/R25_Ablation_v2/C_spike_rate/R25v2_C3_sr_very_high,10,0.2118815281131166,0.20378633727260093,0.18813911096212713,0.0384799669784038,0.011266445812888127,0.0005740288650974648,0.0005330939006061451,0.14747983007196416,0.24852071702480316,0.009202022105455399,30.890376780895476,2.993487207813466,1.2039800799907523,0.07643486793212434,1.0931890708334902,0.032568486551370256,0.43273996133753595,0.05064829558064725,1.3403304561655571,0.17515691726448687,1,13650.503962558476,1.0,0.0012110268855078114,0.0005036896572545015,0.00014996649893326855,7.325736857356092e-05,32,8,6,3,0.0,20.0,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_D1_small,results/Prodigy_Study/R25_Ablation_v2/D_capacity/R25v2_D1_small,10,0.19196790104058195,0.18676143000893136,0.18003933008839476,0.03604599170416514,0.014063840345578624,0.000926627438001986,0.002975364381548369,0.09798680836374456,0.46147778630256653,0.02154500223696232,32.3879489239226,1.853267753060828,1.0903015802515315,0.08855313466901475,3.9440362745143,0.16708011968814312,0.4024088983523085,0.046374273150812516,1.2227142405636766,0.12768243376086366,1,30689.471173353137,1.0,0.0018071901862499872,0.0003129472366838019,7.755683050731826e-05,3.258446502226711e-05,16,4,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_D2_mid,results/Prodigy_Study/R25_Ablation_v2/D_capacity/R25v2_D2_mid,7,0.1901530172041756,0.1842888333696,0.17385064501394618,0.0330936842439498,0.013407227563414168,0.0010039259718617566,0.010909064333549047,0.0459872272380806,0.2604689598083496,0.010233878158032894,41.74166815331642,1.4207104013321248,1.261658435172223,0.08283806453518411,1.5809725484949477,0.14172607240207652,0.3826388016026071,0.0541948834949661,1.2975488831388189,0.1585170725320882,1,3292.4748423802616,1.0,0.008553392444809894,0.0013398807378437068,0.00052454849508177,0.0003037228977813723,64,16,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
R25v2_D3_large,results/Prodigy_Study/R25_Ablation_v2/D_capacity/R25v2_D3_large,3,0.22480150137809998,0.21368870872290843,0.20090412281136563,0.04557259602501909,0.011587268336022154,0.0007076669401194425,0.013880593484227962,0.03244693404895828,0.1974753886461258,0.00983449351042509,31.155016046889283,2.0321054604459317,1.21447450683472,0.07864284436119363,3.3827938551598407,0.23677026076202698,0.37023211270570755,0.04319493732281386,1.8611634576574285,0.18594240428919487,1,9316.581918680893,1.0,0.002500621960858254,0.0008228237733664632,0.00028222846917425477,0.00010733550230421706,128,32,6,3,0.0,0.5,"highway:0.4,urban:0.3,truck:0.2,mixed:0.1",prodigy,10
