idx,scenario_type,is_cut_in,gap_rmse_m,gap_max_err_m,pos_cum_err_m,jerk_max_pred,jerk_p95_pred,ttc_min_pred_s,accel_rmse_masked,accel_rmse_unmasked,param_rmse_v0,param_mean_v0,param_rmse_T,param_mean_T,param_rmse_s0,param_mean_s0,param_rmse_a,param_mean_a,param_rmse_b,param_mean_b,spike_rate_avg,spike_rate_p95,cut_in_detected
0,highway,True,79.53519429025593,106.5628662109375,83.75408935546875,89.44036102294922,3.1863632202148438,0.0,0.2695693243469801,0.2686959952962988,2.88898972903187,30.4132022857666,0.9031337943332914,0.5940229296684265,2.371629170028118,4.854488372802734,0.8353836366297004,0.30304527282714844,0.9998178671987066,0.5001826882362366,0.01731250062584877,0.03437500074505806,True
1,highway,False,207.866842459917,469.62646484375,469.62646484375,0.6462755799293518,0.41731542348861694,0.0,0.34620513829623173,0.3454399503885377,3.765272900146976,35.66949462890625,0.6606744203903093,0.500151515007019,2.4998902099993465,4.999890327453613,1.0003381233571798,0.3000001609325409,0.999999999829701,0.5,0.03652232140302658,0.046875,False
2,highway,False,137.2511349209731,288.120361328125,288.120361328125,13.751188278198242,4.854753017425537,0.0,0.1616003786571577,0.16171668351474727,7.030700820859341,39.46311950683594,0.30326186853164094,0.5000002980232239,2.49999972207283,5.0,0.7159264681168965,0.2999999523162842,1.0,0.5,0.05090625211596489,0.05624999850988388,False
3,urban,False,153.0110351700834,312.69268798828125,312.69268798828125,6.204832077026367,2.0330300331115723,0.0,0.23243827868744385,0.23148549544971636,15.243297738446019,29.385995864868164,0.6868598642342315,0.6235030889511108,2.833174193272935,4.824446201324463,1.1973602076300651,0.3026595711708069,1.4999062064346527,0.5000938177108765,0.013602678664028645,0.01875000074505806,False
4,mixed,False,68.74597065390162,98.77774047851562,89.11767578125,7.579403877258301,3.5699801445007324,0.0,0.17511299005033457,0.17414548268218474,14.983977762390873,28.61365509033203,0.3540966431665519,0.6622123718261719,2.156168917469176,4.627184867858887,0.7789206400204856,0.3225240707397461,0.9983873875059308,0.501634418964386,0.009419643320143223,0.015625,False
5,highway,False,99.3194563471453,224.4166259765625,224.4166259765625,15.667571067810059,5.912891864776611,0.0,0.11848414461625177,0.11827617693572753,5.916693131527887,37.046993255615234,0.7407792578031597,0.5000568628311157,2.4999896488844544,4.9999895095825195,0.6022725783937876,0.3000001013278961,1.0,0.5,0.04016517847776413,0.046875,False
6,highway,False,302.329881736121,579.4271240234375,579.4271240234375,0.924694836139679,0.20858396589756012,0.0,0.32995127225417165,0.33137619552280806,5.052776471065331,36.306095123291016,0.7035815582715165,0.500059962272644,2.499898651085401,4.999898433685303,0.7137444778005767,0.3000001013278961,1.0,0.5,0.03875446692109108,0.05000000447034836,False
7,highway,True,58.24089919134759,123.167236328125,123.167236328125,84.63078308105469,7.391495704650879,0.0,0.293110520166406,0.29163798159521914,3.389802018919695,34.304710388183594,0.3580420289899448,0.5012869834899902,2.488184737606469,4.987244129180908,0.835418477817541,0.3000100553035736,0.9999996135981365,0.5000004172325134,0.031843751668930054,0.05000000074505806,True
8,truck,False,203.77019802815096,444.3446044921875,444.3446044921875,5.549066543579102,2.5400288105010986,0.0,0.19795175773619225,0.1979449339394545,10.88945186627997,31.755456924438477,0.9567438079855257,0.5100414156913757,1.9919405075965881,4.990302085876465,0.19997492024288946,0.3000251352787018,0.4999987215642263,0.5000013113021851,0.022526787593960762,0.02812500111758709,False
9,highway,False,99.03202745984501,223.338623046875,223.338623046875,9.637300491333008,4.652554035186768,0.0,0.11747008554487136,0.11774151568005392,4.892060131380099,39.17934799194336,0.42122478248605194,0.5000007152557373,2.4999995708469958,5.0,0.5817430015972682,0.2999999523162842,1.0,0.5,0.04926786199212074,0.05624999850988388,False
