epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s
1,0.3900716604292393,0.35425882689654825,0.2839634968049359,0.10079976365821722,0.0,0.004752989548540385,0.2857366587887419,0.27786801898099006,0.07865992866139462,5.426424645230191e-06,0.0,4.7589628959598716e-06,0.5,43341462.47975438,0.15132412361971875,186.29683470726013
2,0.25860273430123926,0.25054150639101863,0.08057075050310232,5.426424195320578e-06,0.0,7.767818494236467e-06,0.28573515503964525,0.277867798475509,0.07865982284729785,5.426424645230191e-06,0.0,2.2191565100632965e-06,0.5,0.0002005473962094584,0.15010558576025862,186.9381823539734
3,0.2582342937588692,0.2503690724074841,0.07856972862035036,5.426424195320578e-06,0.0,1.5958708571948144e-05,0.28566695036406214,0.2777349855354492,0.07859263402667452,5.426424645230191e-06,0.0,0.00014486730682658665,0.5,0.0034103342625530788,0.13816360162293656,186.58053517341614
4,0.2561581289768219,0.24833045672625303,0.0772267439821735,5.426424195320578e-06,0.0,0.00020945392096660242,0.28578270416944584,0.2778680050309668,0.0786599217656445,5.426424645230191e-06,0.0,9.687744487235521e-05,0.5,0.025908185274965946,0.15971592702764145,187.0587592124939
5,0.24901175417006016,0.24153843423351645,0.07464402006124146,5.426424195320578e-06,0.0,1.729521029641301e-05,0.2857355037902264,0.2778680132741624,0.07865992584761153,5.426424645230191e-06,0.0,2.4542441353069667e-06,0.5,0.00027932208624861234,0.14954679506890317,186.82427716255188
6,0.26341678492724896,0.2547154461219907,0.08696699373191223,5.426424195320578e-06,0.0,8.741778223542162e-06,0.2857359771398788,0.27786795398656355,0.0786598985023955,5.426424645230191e-06,0.0,3.5304953249865163e-06,0.5,0.0002149259261068437,0.15102002627037941,186.01197004318237
7,0.24849990934133528,0.24110586419701577,0.07389145431108773,5.426424195320578e-06,0.0,9.262809846714016e-06,0.2857358714050435,0.2778679511331497,0.07865989786830355,5.426424645230191e-06,0.0,3.3243169827764913e-06,0.5,0.00022265668214060952,0.15091769508224853,184.5029754638672
8,0.25981987932696937,0.251380912810564,0.08434282650239766,5.426424195320578e-06,0.0,8.827514484651688e-06,0.2857356145977974,0.2778679538280406,0.07865989877981075,5.426424645230191e-06,0.0,2.802560274444191e-06,0.5,0.0002119136530612309,0.15067758744067333,184.91584157943726
9,0.24722842764109373,0.239926895275712,0.07296918566804379,5.426424195320578e-06,0.0,8.687890945258125e-06,0.28573555483462965,0.2778679547791785,0.07865989881944149,5.426424645230191e-06,0.0,2.679862944764812e-06,0.5,0.00021602805983775397,0.15058354034702828,185.48222470283508
10,0.24178143605589866,0.23498838659375906,0.06788179390132427,5.426424195320578e-06,0.0,9.20085005504223e-06,0.2857370137217197,0.2778679663513569,0.07865990448663844,5.426424645230191e-06,0.0,5.576554379349799e-06,0.5,0.00020836300989458324,0.15181998401246172,185.5036723613739
11,0.24436836250126362,0.23734119147062302,0.07022087737568654,5.426424195320578e-06,0.0,9.626914971856416e-06,0.28573557496704954,0.2778680099451796,0.0786599247379506,5.426424645230191e-06,0.0,2.6078319251501424e-06,0.5,0.0002142473010485446,0.149434284326878,185.88142156600952
12,0.24177425220608711,0.2345565479248762,0.07213920704554766,5.426424195320578e-06,0.0,7.027120674992781e-06,0.28573535810759726,0.27786801184745547,0.07865992683838023,5.426424645230191e-06,0.0,2.168395608680358e-06,0.5,0.00018003220112660756,0.15043476049570328,185.03067088127136
13,0.2345463844202459,0.22782499622553587,0.06717761305044405,5.426424195320578e-06,0.0,6.716238674329134e-06,0.2857352262164684,0.27786801010370255,0.07865992509462733,5.426424645230191e-06,0.0,1.91072772115497e-06,0.5,0.00015869474259488925,0.14979055111712597,184.86433386802673
14,0.2558985672518611,0.2482852833531797,0.07609716668725014,5.426424195320578e-06,0.0,6.5943902491394365e-06,0.2857352094130313,0.27786801121336346,0.0786599254116733,5.426424645230191e-06,0.0,1.8752194612174025e-06,0.5,0.00016321621445968047,0.15000216345837775,184.53618144989014
15,0.25576517526060344,0.24782741505652667,0.07933507494977675,5.426424195320578e-06,0.0,7.963624379341283e-06,0.28573524048353766,0.27786800978665654,0.0786599254116733,5.426424645230191e-06,0.0,1.9414013149664676e-06,0.5,0.00017550179936279164,0.14969592113444147,184.4365861415863
