epoch,batch_idx,loss_total,loss_data,loss_phys,loss_ou,loss_bc,loss_sr,spike_rate,gn_total_preclip,gn_total_postclip,gn_hidden_fc,gn_hidden_recU,gn_hidden_recV,gn_hidden_base_threshold,gn_hidden_thresh_jump,gn_out_fc,weight_max_abs_global,lr,prodigy_d,prodigy_d_max,prodigy_lr_eff,is_nan_loss,is_inf_grad
1,1,0.5246095061302185,0.5246095061302185,0.27262642979621887,0.02600065805017948,0.0,0.013971980661153793,0.03179687634110451,1.160314017687947,1.1603139638900757,0.7204365730285645,nan,nan,nan,nan,0.9095602035522461,1.2547754049301147,1.0,1e-06,1e-06,1e-06,0,0
1,2,0.7763428688049316,0.7763428688049316,0.6045578718185425,0.04353844001889229,0.0,0.016037849709391594,0.023359375074505806,2.9986497608122833,2.998649835586548,2.9615230560302734,nan,nan,nan,nan,0.4704057574272156,1.2547789812088013,1.0,1e-06,1e-06,1e-06,0,0
1,3,0.6530949473381042,0.6530949473381042,0.42466557025909424,0.05356451869010925,0.0,0.01434380654245615,0.03023437410593033,1.262126237238582,1.2621262073516846,0.8322486877441406,nan,nan,nan,nan,0.9488544464111328,1.2547814846038818,1.0,1e-06,1e-06,1e-06,0,0
1,4,0.6964552402496338,0.6964552402496338,0.4741005599498749,0.058365460485219955,0.0,0.018585359677672386,0.013671875,3.1643642698229795,3.1643643379211426,3.151411771774292,nan,nan,nan,nan,0.2860158681869507,1.2547852993011475,1.0,1e-06,1e-06,1e-06,0,0
1,5,0.5389014482498169,0.5389014482498169,0.2897024154663086,0.04367205873131752,0.0,0.016476130113005638,0.021640624850988388,1.0337633203862246,1.0337632894515991,0.909684956073761,nan,nan,nan,nan,0.49105995893478394,1.2547885179519653,1.0,1e-06,1e-06,1e-06,0,0
1,6,0.63899165391922,0.63899165391922,0.40832510590553284,0.061710868030786514,0.0,0.017001716420054436,0.019609374925494194,2.4511597008447015,2.451159715652466,2.430997610092163,nan,nan,nan,nan,0.3137427270412445,1.25479257106781,1.0,1e-06,1e-06,1e-06,0,0
1,7,0.40746206045150757,0.40746206045150757,0.164200559258461,0.02591659128665924,0.0,0.015625,0.02500000037252903,0.2513231699633645,0.2513231635093689,0.23211854696273804,nan,nan,nan,nan,0.09635515511035919,1.2547967433929443,1.0,1e-06,1e-06,1e-06,0,0
1,8,0.6615942716598511,0.6615942716598511,0.44357460737228394,0.08856099098920822,0.0,0.017535554245114326,0.017578125,1.1659423255979162,1.1659423112869263,1.014453649520874,nan,nan,nan,nan,0.5747219324111938,1.254799246788025,1.0,1.0172818411389639e-06,1.0172818411389639e-06,1.0172818411389639e-06,0,0
1,9,0.6985493302345276,0.6985493302345276,0.48093751072883606,0.05004413425922394,0.0,0.01580127514898777,0.024296874180436134,1.99046572958905,1.9904656410217285,1.9372061491012573,nan,nan,nan,nan,0.45736873149871826,1.2548028230667114,1.0,1.3355066703379261e-06,1.3355066703379261e-06,1.3355066703379261e-06,0,0
1,10,0.4486938714981079,0.4486938714981079,0.20621784031391144,0.03396591171622276,0.0,0.017103739082813263,0.019218750298023224,1.7479586069923625,1.7479585409164429,1.717979073524475,nan,nan,nan,nan,0.32234638929367065,1.254808783531189,1.0,1.7858095138548926e-06,1.7858095138548926e-06,1.7858095138548926e-06,0,0
