champion,axis,val,collision_rate,collision_rate_oracle,min_ttc_p5,brake_margin_min,aoi
Raffaello,pdr,1.0,0.06666666666666667,0.08148148148148149,0.05143942427869601,7.388001208862285,0.0
Raffaello,pdr,0.9,0.06666666666666667,0.08148148148148149,0.05144708306113609,7.362902740336908,0.014453869776295402
Raffaello,pdr,0.7,0.06666666666666667,0.08148148148148149,0.051467699515807576,7.321683793456653,0.05000359557949183
Raffaello,pdr,0.5,0.06666666666666667,0.08148148148148149,0.05151001380900444,7.284742735015435,0.10664726537693738
Raffaello,latency,0,0.06666666666666667,0.08148148148148149,0.05143942427869601,7.388001208862285,0.0
Raffaello,latency,1,0.08888888888888889,0.08888888888888889,0.053543465069824096,7.080627588186502,0.09999999999999998
Raffaello,latency,2,0.08888888888888889,0.08888888888888889,0.05700280845837736,6.748442293778709,0.19999999999999996
Raffaello,latency,3,0.1037037037037037,0.1037037037037037,0.029146452297732307,6.382467118095136,0.3000000000000001
Raffaello,jitter,1,0.08888888888888889,0.08888888888888889,0.05700704077175096,6.736016043302371,0.20363608466352953
Raffaello,jitter,2,0.08888888888888889,0.08888888888888889,0.057009290724466644,6.738040533215033,0.2045655252950056
Raffaello,gilbert,0.20/0.60,0.06666666666666667,0.08148148148148149,0.05150906747311371,7.30103414092997,0.06038934993023476
Raffaello,gilbert,0.40/0.40,0.2074074074074074,0.14814814814814814,0.016319179420507358,6.481767723231437,0.20374627040301296
Raffaello,hold_mode,hold_last,0.06666666666666667,0.08148148148148149,0.05151001380900444,7.284742735015435,0.10664726537693738
Raffaello,hold_mode,dead_reckon,0.06666666666666667,0.08148148148148149,0.05143942427869601,7.401778097542362,0.10664726537693738
Raffaello,hold_mode,blind,0.674074074074074,0.6814814814814815,0.008488551960950204,3.56860974577893,0.10574879427643338
Raffaello,blackout,150-200,0.3111111111111111,0.3333333333333333,0.01680072287149714,5.3761389580066234,0.3246641530903666
Leonardo,pdr,1.0,0.07407407407407407,0.08148148148148149,0.05106717840555117,7.728915875287422,0.0
Leonardo,pdr,0.9,0.07407407407407407,0.08148148148148149,0.05104633276961913,7.707536624410787,0.014476519348944976
Leonardo,pdr,0.7,0.07407407407407407,0.08148148148148149,0.05102417865833097,7.669314055396178,0.05000359557949183
Leonardo,pdr,0.5,0.07407407407407407,0.08148148148148149,0.05101357487259084,7.643844311583251,0.1066632197928918
Leonardo,latency,0,0.07407407407407407,0.08148148148148149,0.05106717840555117,7.728915875287422,0.0
Leonardo,latency,1,0.08888888888888889,0.08888888888888889,0.06644277498397326,7.438469988510122,0.09999999999999998
