champion,axis,val,collision_rate,collision_rate_oracle,min_ttc_p5,brake_margin_min,aoi
Leonardo,latency,2,0.08888888888888889,0.08888888888888889,0.06746891703984685,7.1264739900747776,0.19999999999999996
Leonardo,latency,3,0.1037037037037037,0.1037037037037037,0.028855858933119247,6.784235698922802,0.3000000000000001
Leonardo,jitter,1,0.08888888888888889,0.08888888888888889,0.06746291816009284,7.117463975422971,0.20365151024811232
Leonardo,jitter,2,0.08888888888888889,0.08888888888888889,0.06744654062905694,7.118537849889841,0.20458171521035598
Leonardo,gilbert,0.20/0.60,0.07407407407407407,0.08148148148148149,0.05110774340178423,7.657118406567524,0.06040601659690143
Leonardo,gilbert,0.40/0.40,0.1259259259259259,0.14814814814814814,0.042054785774788016,6.915668840905707,0.19514435904625616
Leonardo,hold_mode,hold_last,0.07407407407407407,0.08148148148148149,0.05101357487259084,7.643844311583251,0.1066632197928918
Leonardo,hold_mode,dead_reckon,0.07407407407407407,0.08148148148148149,0.05106717840555117,7.734722707334768,0.1066632197928918
Leonardo,hold_mode,blind,0.6666666666666666,0.6814814814814815,0.00836107043498169,3.4841113440381952,0.10629200826683996
Leonardo,blackout,150-200,0.3111111111111111,0.3333333333333333,0.016958622103096108,5.630596954678751,0.3289473852090335
Donatello,pdr,1.0,0.08148148148148149,0.08148148148148149,0.03363617384070684,7.377579321036398,0.0
Donatello,pdr,0.9,0.08148148148148149,0.08148148148148149,0.03364640209122165,7.3573236644475335,0.014497947920373549
Donatello,pdr,0.7,0.08148148148148149,0.08148148148148149,0.03366038246888057,7.320006625031946,0.05000359557949183
Donatello,pdr,0.5,0.08148148148148149,0.08148148148148149,0.03363360137496672,7.301121805154101,0.10667503637137504
Donatello,latency,0,0.08148148148148149,0.08148148148148149,0.03363617384070684,7.377579321036398,0.0
Donatello,latency,1,0.08888888888888889,0.08888888888888889,0.06170487085403198,7.086319922510911,0.09999999999999998
Donatello,latency,2,0.08888888888888889,0.08888888888888889,0.057941907096371044,6.774724826039252,0.19999999999999996
Donatello,latency,3,0.1037037037037037,0.1037037037037037,0.03053896178951991,6.432726846067452,0.3000000000000001
Donatello,jitter,1,0.08888888888888889,0.08888888888888889,0.057941945114955436,6.766593514758242,0.20364765385196662
Donatello,jitter,2,0.08888888888888889,0.08888888888888889,0.05794119850865896,6.764116700690384,0.2045776677315184
Donatello,gilbert,0.20/0.60,0.08148148148148149,0.08148148148148149,0.033589945355955594,7.3053374441118395,0.06041827409249226
Donatello,gilbert,0.40/0.40,0.14074074074074075,0.14814814814814814,0.03191672118966558,6.50662127923808,0.1967143553051413
Donatello,hold_mode,hold_last,0.08148148148148149,0.08148148148148149,0.03363360137496672,7.301121805154101,0.10667503637137504
Donatello,hold_mode,dead_reckon,0.08148148148148149,0.08148148148148149,0.03363617384070684,7.387195826190593,0.10667503637137504
Donatello,hold_mode,blind,0.6666666666666666,0.6814814814814815,0.010004505161239295,2.986206288780307,0.10614146656925483
Donatello,blackout,150-200,0.3111111111111111,0.3333333333333333,0.023504394112523558,5.521260163419427,0.3239923580577986
Michelangelo,pdr,1.0,0.07407407407407407,0.08148148148148149,0.054325540272902526,7.753812130720147,0.0
Michelangelo,pdr,0.9,0.07407407407407407,0.08148148148148149,0.05432014224723777,7.733091039181929,0.014475905927278921
Michelangelo,pdr,0.7,0.07407407407407407,0.08148148148148149,0.054326764041550624,7.697189335348587,0.05000182347245657
Michelangelo,pdr,0.5,0.07407407407407407,0.08148148148148149,0.0543307229531707,7.674001493146133,0.10665936886798823
Michelangelo,latency,0,0.07407407407407407,0.08148148148148149,0.054325540272902526,7.753812130720147,0.0
Michelangelo,latency,1,0.08888888888888889,0.08888888888888889,0.048849544199714136,7.469427412718186,0.09999999999999998
Michelangelo,latency,2,0.08888888888888889,0.08888888888888889,0.06273258912849698,7.164588584522971,0.19999999999999996
Michelangelo,latency,3,0.1037037037037037,0.1037037037037037,0.03309946700069349,6.830605553609222,0.3000000000000001
Michelangelo,jitter,1,0.08888888888888889,0.08888888888888889,0.0627379867674865,7.155668855416357,0.20364765385196662
Michelangelo,jitter,2,0.08888888888888889,0.08888888888888889,0.06274252317579483,7.157035237246646,0.2045776677315184
Michelangelo,gilbert,0.20/0.60,0.07407407407407407,0.08148148148148149,0.05441447832590272,7.685977505105469,0.06040380146310735
Michelangelo,gilbert,0.40/0.40,0.11851851851851852,0.14814814814814814,0.04741484715429971,6.961530472898364,0.19421397998916015
Michelangelo,hold_mode,hold_last,0.07407407407407407,0.08148148148148149,0.0543307229531707,7.674001493146133,0.10665936886798823
Michelangelo,hold_mode,dead_reckon,0.07407407407407407,0.08148148148148149,0.054325540272902526,7.758257628375056,0.10665936886798823
Michelangelo,hold_mode,blind,0.6592592592592592,0.6814814814814815,0.005357564078664956,3.774652123599654,0.106236847842421
Michelangelo,blackout,150-200,0.3111111111111111,0.3333333333333333,0.017796940869779333,5.659105066797647,0.330226653093832
