pos,nrmse_a_mem,nrmse_a_memless,nrmse_b_mem,nrmse_b_memless,mean_pred_a,mean_pred_b,spike_rate
0,0.14394832120991088,0.14394832120991088,0.14806484948705917,0.14806484948705917,0.9742166837056477,1.719096565246582,0.07684895833333333
1,0.25340499922818055,0.1431801831404424,0.1674086081332979,0.14887944751825571,0.6957508373260498,1.5788445599873862,0.11766406257947286
2,0.30923659373769213,0.14333738365047352,0.17744142273206673,0.14891549070065088,0.5647228272755941,1.5349231719970704,0.14798177202542623
3,0.3253771028303427,0.14398225766676395,0.1776951908500536,0.14846590347253752,0.5283737357457479,1.5311780293782553,0.1586510427792867
4,0.33042030971382563,0.14308580977146973,0.1780619284523686,0.14829142957287741,0.5178554852803549,1.5308287620544434,0.1607630217075348
5,0.33278038087982253,0.14348488993988576,0.17971516148046754,0.14788852975647124,0.511939419110616,1.5309268697102865,0.16188542048136392
6,0.333839472601242,0.14351471533006746,0.17871762584962622,0.14917658291609737,0.5077412843704223,1.53201229095459,0.1627890634536743
7,0.33466941124370764,0.1432659994092492,0.17996971281756427,0.14894522894279966,0.5065380303064982,1.5276528549194337,0.16289583325386048
8,0.33357113392064325,0.14287984795262704,0.17746676604002803,0.14891917313720437,0.5087062724431356,1.5338407389322917,0.1624375029404958
9,0.334065468210532,0.14329193978759863,0.17752511325895778,0.14896140252354848,0.5088483413060506,1.5300005022684733,0.16355989694595338
10,0.33448695319157895,0.14359831604639697,0.17847495359053345,0.1493604874843331,0.5073137553532918,1.5355484835306803,0.16296093702316283
11,0.3346117303103453,0.14364060913895524,0.17912532784892726,0.14925083527791866,0.5059349775314331,1.5344706885019939,0.1638281269868215
12,0.3359766618936358,0.14333878207361328,0.17799337241875046,0.14934744555486795,0.5035291830698649,1.5316038195292154,0.16343750238418578
13,0.33469391701287476,0.14304616899965672,0.17935936960490118,0.14879156413520322,0.5072441069285075,1.5322351964314778,0.16403385440508525
14,0.33500412202489993,0.14268607041612585,0.1791678331322365,0.1485110914410296,0.504658932685852,1.5332520866394044,0.16355990012486776
15,0.3341169146772654,0.14352206248679367,0.17820846761443196,0.14972968742068088,0.5069565518697103,1.5329658381144207,0.16280208547910055
16,0.33424439578513043,0.14346603216504153,0.17732241312023567,0.15018064958937968,0.5069797786076864,1.529195229212443,0.1633411463101705
17,0.3340927238914563,0.1429816553952516,0.18002581040452006,0.14946401744817803,0.5068082253138224,1.5254693412780762,0.16270833452542624
18,0.3338986186485826,0.1431004355871082,0.17761304846189485,0.14928078280413007,0.5075277868906657,1.5345938460032145,0.16271354556083678
19,0.33411979305874195,0.14304303840433608,0.1788134533846614,0.14946773177835648,0.5082819588979085,1.530995133717855,0.16234635909398396
20,0.3340395090070114,0.14347666023743877,0.1795952867157099,0.14977920876569956,0.5075494925181071,1.5288469441731771,0.16321354468663535
21,0.334916025760336,0.14344604440371075,0.17975583771133702,0.14916930524882782,0.5052421458562215,1.529722309112549,0.16359635790189106
22,0.3341462521695144,0.143848602948333,0.1785440669868399,0.14986676656905223,0.5059454266230266,1.5307577641805012,0.16297656297683716
