epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std,val_v0_nrmse,val_T_nrmse,val_s0_nrmse,val_a_nrmse,val_b_nrmse
1,0.934248201996088,0.8084738430380821,0.7204106289707124,0.004720491063781082,0.032307457502008106,0.0016945657320684405,0.325539551001597,0.2739219106733799,0.08712838856166506,0.0035152011978231926,0.02810550317422275,0.0007503734196421677,0.5,12243.421077208519,0.14296318360782684,132.73078083992004,0.017746678110347892,0.017746678110347892,0.008873339055173946,0.0018714639591053128,0.008695506490767002,31.039447003222527,0.9710115682571492,2.762617764320779,0.5751057489121214,1.4092379301152331,0.39898733652018487,0.042001277713620284,0.025228243440072587,0.04479777373056462,0.0639800675054814,0.2788497803090285,0.1650635324526306,0.12076066181939527,0.2802082164551985,0.13581438761068473
2,0.26000622928142547,0.2384772264957428,0.06206312662921846,0.00295716046821326,0.005217813033455485,0.0003513916589977839,0.232581565473625,0.216688062401211,0.054404147883302514,0.002723531470574597,0.0022468954918508643,0.0005506719330255353,0.49148145657226705,0.25242066729813817,0.14841059516084956,132.84799551963806,0.02595151157355123,0.02595151157355123,0.012754686708421005,0.08932111412286758,0.014259048737585545,34.06728259553301,1.2081429172069469,2.2865867640109774,0.44665419151808355,1.4429559663255165,0.6302543862702998,0.04108432551568493,0.04651815321375715,0.03374957345782759,0.056092048519627846,0.32735122771929925,0.11520446947992839,0.09102727665135435,0.33216355837116684,0.19684532858908255
3,0.2273589863628149,0.21329963862895965,0.0484873697347939,0.002727814665995538,0.0014318403235256483,0.00024674734553244094,0.2424785946594908,0.22601903697594683,0.05899169894698215,0.0024963211400701882,0.0014631319660861407,0.0005752141040217239,0.4665063509461097,0.25019433699548244,0.14776853618628166,132.5733859539032,0.02595151157355123,0.02595151157355123,0.012106544965713117,0.16054320335388184,0.007081621792167425,36.591350088728234,1.2866244011736931,2.120426000432765,0.4500888681158106,1.4609195577337386,0.6533107692573933,0.0376087917569787,0.049879047940386105,0.03260954873552149,0.04787207121386173,0.38950745947145404,0.12322456871194881,0.12517583206021016,0.3318717037955826,0.17231989337898848
4,0.2127230541408062,0.20079386547207834,0.043449897887185215,0.0030429389455821367,0.0014236277749773763,0.00011397707233660847,0.2233505401403663,0.2076271306128895,0.049110265908158444,0.0025632064207457006,0.0026957476114435994,0.0005727492698488218,0.42677669529663687,0.21955862086266278,0.13555641424782733,132.49415493011475,0.026939248004587562,0.026939248004587562,0.011497043237174398,0.18886326253414154,0.015197218395769596,36.31993433769713,1.1961087210381285,2.139967274792651,0.4907251257211604,1.3134658501503316,0.6790899009780681,0.036896569981299185,0.049411386667572436,0.03902049222217992,0.04322333537795125,0.37878347662752526,0.11306485183408091,0.11692372118807917,0.313454965539665,0.20695563746235046
5,0.223725992962718,0.2105348340421915,0.04738041500560939,0.002935923534678295,0.0014638728986136585,0.00017013471496214904,0.2120928804370317,0.19741247542836565,0.04376273548993421,0.00283091431211165,0.002237170404594102,0.0005987833418548564,0.375,0.2509451791644096,0.14433303039441717,132.56486582756042,0.026939248004587562,0.026939248004587562,0.010102218001720335,0.288545697927475,0.015862446278333664,36.936634408666734,1.1492576529370977,1.904418370191087,0.45417641356904453,1.537661558136027,0.6337575042184364,0.037778895655448765,0.05149287330184845,0.03423618547930481,0.054186972650758766,0.3949407569900396,0.11089173920079316,0.1710411737125112,0.32857866571511446,0.17563120036511978
6,0.2313616093248129,0.21620317451655865,0.05069388383068144,0.003009869772940874,0.0024818588851530875,0.00024483303031278545,0.21475657582917113,0.1954455088348465,0.042132351282449,0.0017571239261590737,0.004277124933361407,0.0009580882794512304,0.3147047612756302,0.2978334691375494,0.12663260736364,132.72592687606812,0.05586705473952058,0.05586705473952058,0.017581628124973388,0.2393016666173935,0.02382257767021656,38.21801063862253,1.0921301784667563,2.052709606733728,0.4190295669943728,1.463603968315936,0.6813167851973088,0.03288721786613794,0.052697073390826264,0.03364248221004481,0.05413362035091887,0.43150842099798115,0.12180710522034556,0.14295481503359272,0.34727564221170587,0.16773570842697175
7,0.21366835571825504,0.19963492706418037,0.042530944338068366,0.0026068717788439244,0.002032875110351995,0.00033027278807744586,0.23635494185889022,0.2165020071366366,0.053007928991412864,0.0020985495041501013,0.001722817238552671,0.0016095150228614312,0.25,0.28425853900611403,0.11479345031399676,132.07957768440247,0.05586705473952058,0.05586705473952058,0.013966763684880146,0.3672671914100647,0.027620425447821617,36.80743338199372,1.227551134342843,1.9484089600278975,0.6329248685469019,1.4152321041898523,0.8206649371918212,0.03342194031884379,0.06469383837774079,0.05860111981560971,0.06617633722960314,0.38315495133394184,0.10789290391221772,0.15689029026678872,0.26368235448390065,0.18702299391862265
8,0.21953718014061452,0.20407532669603826,0.04553477178327739,0.0022860302217304704,0.0024662038369842776,0.00046003279503569416,0.21451839523271043,0.19948642209489295,0.04472617617253452,0.002221669552183928,0.001156291160019339,0.0006320968614006912,0.18529523872436984,0.3184676169231534,0.14967196137505642,131.48309898376465,0.05586705473952058,0.05586705473952058,0.010351899244786904,0.35794350504875183,0.031892985105514526,40.235220442426964,1.0630884953635804,1.8871179051855778,0.376132865852498,1.3448735653085913,0.7149805877595505,0.03586290453738989,0.05816755229805378,0.027786100161044505,0.06657624920394192,0.48238113604029265,0.12379004403911945,0.17104716693991506,0.3668202121994055,0.20910549413252505
9,0.2055643581598997,0.19168805219233037,0.039170258389785884,0.0023746880784165114,0.0022312922026890194,0.0004187323948860211,0.19327858076529933,0.17784181940666538,0.034753832509097186,0.002327959033402991,0.0020530339184049993,0.0010280022673929642,0.12500000000000006,0.28150013625621795,0.13141472986403932,131.19544339179993,0.05586705473952058,0.05586705473952058,0.006983381842440076,0.35416871309280396,0.022440575063228607,39.35306289348196,1.1703129176129685,2.021916984877688,0.45499924316685253,1.4984167224549232,0.7397207765186087,0.03871998000652232,0.054967430321143027,0.03886025690007955,0.07345529546604511,0.45536377547345747,0.10755265361720322,0.14486752792315052,0.3333792614525087,0.1971427118478034
10,0.2019828186184168,0.1901859886944294,0.039344862466678024,0.0024956378235947343,0.0012113678125660954,0.0002943117575906662,0.20918173600543052,0.19087212176081983,0.04087328600964727,0.0029975417004452346,0.0019644419954733573,0.0013231310266314511,0.07322330470336313,0.3314686431363225,0.12081842362246614,130.99597668647766,0.05586705473952058,0.05586705473952058,0.004090770372071383,0.39766019582748413,0.020094826817512512,38.085333032810944,1.2894740770471858,2.0801519225252436,0.5205383437111023,1.5048603764239779,0.809131051156115,0.04266399806959832,0.05328585373911452,0.04912873279511374,0.08600359899487267,0.417966697448749,0.11677002913238158,0.13229883790087565,0.30288723010181656,0.19725398505254463
