champion,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b,nrmse_mean,accuracy_pct
Raffaello,0.49925989002236454,0.23983729172208773,0.06823286020415703,0.3480215113966639,0.37777561341795657,0.30662543335264597,69.33745666473541
Leonardo,0.19613307827972443,0.27701938770754464,0.11395495076762174,0.22878203261006094,0.30746179528959616,0.2246702489309096,77.53297510690903
Donatello,0.18043085991505736,0.1690024896830714,0.09300076099520721,0.21514939590710477,0.10490203455562463,0.15249710821121307,84.75028917887869
Michelangelo,0.1972999189403297,0.2597594178477998,0.09323735430919765,0.22023932650483038,0.2705814085925855,0.20822348523894857,79.17765147610514
