epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s
1,0.6009960864719591,0.5483097302286248,0.34901306088033474,0.18863599072964413,0.0,0.016706496913378176,0.3883246636771141,0.3662958084902865,0.13889434172752055,0.0002648252563843964,0.0,0.01625236064354156,0.0004110331534847892,4.424970398294298,0.022548717664594344,172.15927815437317
2,0.29738397480625856,0.2824969332469137,0.08354650594686207,6.0726966277893794e-05,0.0,0.013058714794093056,0.2943044082915529,0.28050125231768225,0.08026903772607763,6.7142196093435755e-06,0.0,0.011551838199746735,0.0009451659653397465,0.37075331260597233,0.042626475836051274,174.17411947250366
3,0.2815280239048757,0.2679726299486662,0.07509129038570743,8.502300325792595e-06,0.0,0.012091682351341374,0.28813283620996677,0.27486569434404373,0.07745178539226664,6.601525557655011e-06,0.0,0.011043270306780617,0.0015519101429749846,0.09831035644992402,0.04506499447087024,173.79000902175903
4,0.2790394833213405,0.26942465219058487,0.07597554916221845,2.330655835832754e-05,0.0,0.004032227488603798,0.2835857002659047,0.2754925359436806,0.0775239339613534,5.427716742099407e-06,0.0,0.0006810031692169859,0.0019467253815796165,0.06780351400375366,0.12555969958292676,174.10895895957947
5,0.27864782363176344,0.27047369378177744,0.07706529218703509,6.430050342188272e-06,0.0,0.0009345630412105857,0.28369793771429264,0.2758170266417747,0.07765984103242134,5.491172569623388e-06,0.0,0.0002293115301233522,0.0019886063035814703,0.06399662412065817,0.16002130334047562,173.74174451828003
6,0.2823702173013436,0.2741971553940522,0.07960340388511357,5.706411191472159e-06,0.0,0.0004248818008237352,0.2825503810606104,0.2747384526945175,0.07715182394740429,5.686368337031107e-06,0.0,0.00019293373076382213,0.0019003842154692986,0.08509586830623447,0.1520499161424789,174.40186500549316
7,0.2734065815022117,0.26585127389744706,0.07435642554375686,5.636000935881288e-06,0.0,0.00023877019424085015,0.2821533239268242,0.27410084072579727,0.07697081601524607,5.990230424976425e-06,0.0,0.0007102092317014235,0.001732247892930059,0.09139663308956905,0.12605497351986297,173.6056785583496
8,0.2733088320807407,0.26567455734077255,0.07496222836014471,1.5122994395106185e-05,0.0,0.00027459496556331113,0.2822676667190613,0.2744283083271473,0.07701230790228286,5.667866302478905e-06,0.0,0.00027569588326486685,0.0014991369860754612,0.09874096919880494,0.13790266310915034,173.41216659545898
9,0.2769269822459472,0.269342198183662,0.07534439318666333,6.568054595845752e-06,0.0,0.00010004132689621812,0.28113535744078616,0.27338919756894414,0.07662712782621384,5.6681868654971155e-06,0.0,0.00016632742846332785,0.0012217644219699013,0.11647913133921592,0.15255765450444628,173.5458459854126
10,0.2760396009213046,0.26833309656695314,0.07561670744693592,5.540827841717768e-06,0.0,0.000289119387592189,0.28181035103316004,0.2740293157861588,0.07679405689556548,5.426782860361508e-06,0.0,0.0002027257502746786,0.0009247759701636075,0.11033767311294612,0.15644659831168803,174.01590943336487
11,0.27473237396855105,0.2671875552127236,0.07490193755610992,1.430049624583549e-05,0.0,0.0001078257565020604,0.2806629135887674,0.2729465349557552,0.07635173288748619,6.229129575273119e-06,0.0,0.00016179305408314804,0.0006345603579119217,0.13562909178190719,0.14994288196272038,174.14283275604248
12,0.2769619513499109,0.26926243454217913,0.07655004440365654,6.294952240032696e-06,0.0,8.840131110353118e-05,0.28050723830436136,0.27278729544041,0.07632635161280632,6.222354347707377e-06,0.0,0.00017399992420394066,0.0003769045159536446,0.136625496552963,0.14643759272517043,173.88793778419495
13,0.2727066345120731,0.2652106100007107,0.07454957828709954,5.8112716631417e-06,0.0,8.155865329939732e-05,0.2805085351809542,0.2727933610056309,0.0763169639605157,6.222194121832256e-06,0.0,0.0001663393538812387,0.00017470229655080745,0.15001865022962815,0.14847040501363734,173.87254428863525
14,0.27703475567855335,0.26940268129110334,0.07587287117187914,5.426914733681387e-06,0.0,8.90378396323794e-05,0.2804854872061851,0.27275173540445086,0.0762272317041742,8.980988570058005e-06,0.0,0.00022116701479776786,4.592025424717672e-05,0.15066408869124165,0.15654387103116257,174.15415620803833
15,0.2738194900907968,0.2662790441199353,0.07484895201694024,5.4601707329550804e-06,0.0,0.00011055887467774639,0.28050704744267974,0.2727719044431727,0.07623912156262297,8.981046356835733e-06,0.0,0.00022157278211000056,2.0012386521138383e-06,0.12863113098091594,0.156692033752482,173.48272252082825
