collided,min_gap,min_ttc,TET,TIT,max_DRAC,min_time_headway,rms_accel,max_decel,rms_jerk,rms_gap_error,mean_time_gap,mean_T_pred,damping_D,mode,scenario,driver
False,15.034400619238518,16.14422165481901,0.0,0.0,0.02947532671249905,1.3434453166013878,0.17010506013164717,0.6272252798080444,2.520955350871904,1.0029631539512034,1.3553003298233302,1.1654114723205566,,oracle,following,0
False,15.023725182436284,16.338645365375047,0.0,0.0,0.028972051085502194,1.3435657722569303,0.10834310569978105,0.4518655240535736,1.5901760580711934,2.3159068789506683,1.3582175437008956,1.0873550060391426,,normal,following,0
False,15.05287123160899,17.69870048516537,0.0,0.0,0.02679449189349047,1.3435657722569303,0.17705554446024097,0.6023621559143066,2.611795627426122,1.360016480479401,1.4736440674928186,1.2491411113739013,,memoryless,following,0
False,2.6453450059725716,1.8078668704215053,0.0,0.0,1.3647200665918855,1.1897016384009846,1.4353501261604873,3.038208484649658,0.9088035245308874,8.651531026729652,2.234022503757201,1.1654114723205566,0.6922211262424233,oracle,stop_and_go,0
False,2.54679445657109,1.9865090947977184,0.0,0.0,1.2260785792233,1.1869634485767822,1.2369538288180844,3.3489112854003906,1.2859910760889603,10.90725888208625,2.492923157240632,1.25219422797362,0.5701653463773653,normal,stop_and_go,0
False,2.981431583000539,2.115521627137628,0.0,0.0,1.210510452155837,1.158809488168871,1.2573813554598434,2.7408952713012695,0.9478194540429635,9.565357151001539,2.503699928042287,1.3231335081656774,0.594486099648128,memoryless,stop_and_go,0
False,1.9533250141788554,1.5781383067911252,0.0,0.0,1.962581185141325,1.3435657722569303,0.7535651043388162,5.015089988708496,0.7598967702210481,1.8453534344157323,1.7896582852134564,1.1654114723205566,,oracle,hard_brake,0
False,1.93408044375394,1.5027012335515266,0.0,0.0,2.09390308645057,1.3220727110553732,0.7847898057646654,5.530465602874756,1.2592567194767326,4.947117056893119,1.7470712611794186,1.166551836927732,,normal,hard_brake,0
False,2.2248227698184535,1.747357411979365,0.0,0.0,1.8162476045676657,1.3435657722569303,0.7485809891101014,5.412318229675293,0.9181691669102142,2.6429905616841993,1.9634003107369085,1.2613220236698786,,memoryless,hard_brake,0
False,4.891769542694091,1.4964961194655395,0.1,0.0003503880534460491,1.3395843485568733,0.5344628998091211,0.6693942692295733,7.396903038024902,3.1281921918402045,1.6401901031678807,1.3670393134800887,1.1654114723205566,,oracle,cut_in,0
