tag,axis,n_ep,best_ep,val_total_best,val_data_best,T_tracking_corr_best,T_intra_corr_best,prodigy_d_final,prodigy_d_max,prodigy_lr_eff_max,prodigy_lr_eff_last,d0,max_steps,scheduler,v0_pred,T_pred,s0_pred
R28_C1_d0_steps_combo,C_combo,10,1,0.1947984055596146,0.1769647280824311,0.4596876502037048,0.034832127392292,0.064917637419733,0.064917637419733,0.0587185608625667,6.4917637419733e-08,1e-05,300,cosine_no_restart,40.14621898975778,1.2988278155631208,1.4964472511981397
R28_D1_warm_restart,D_warm_restart,10,1,0.1947984055596146,0.1769647280824311,0.4596876502037048,0.034832127392292,0.0377934730731944,0.0377934730731944,0.0377934730731944,0.0377934730731944,1e-05,300,cosine,40.14621898975778,1.2988278155631208,1.4964472511981397
R28_A0_baseline_B1,A_d0,10,9,0.1897758006296576,0.1744012792218238,0.5000502467155457,0.0252267513424158,0.025180835500944,0.025180835500944,0.0169675417599894,2.5180835500944072e-08,1e-06,100,cosine_no_restart,39.72832899905266,1.24141289769335,1.816612848576079
R28_B1_steps_300,B_steps,10,1,0.2182170761788779,0.198153235216407,0.1823045313358307,0.0164936445653438,0.0449338282875169,0.0449338282875169,0.0406430337880207,4.4933828287516925e-08,1e-06,300,cosine_no_restart,36.49722185540706,1.1194509746546442,1.4223392536031438
R28_A1_d0_1e-5,A_d0,10,2,0.2523210600335547,0.2289685101664446,0.0813199505209922,0.0067186653614044,0.4742547175589476,0.4742547175589476,0.3104039063245517,4.742547175589476e-07,1e-05,100,cosine_no_restart,37.07983727150775,1.051651419794306,1.5850631245907316
