epoch,batch_idx,loss_total,loss_data,loss_phys,loss_ou,loss_bc,loss_sr,spike_rate,gn_total_preclip,gn_total_postclip,gn_hidden_fc,gn_hidden_recU,gn_hidden_recV,gn_hidden_base_threshold,gn_hidden_thresh_jump,gn_out_fc,weight_max_abs_global,lr,is_nan_loss,is_inf_grad
1,1,0.7916572690010071,0.7150594592094421,0.5103357434272766,0.33738234639167786,0.0,0.017390243709087372,0.0181279294192791,6.953556257420946,6.953556060791016,6.111282825469971,0.13031019270420074,0.13416963815689087,0.16147051751613617,0.11211360991001129,3.3061370849609375,1.5002000331878662,0.00020000021270361891,0,0
1,2,0.9670632481575012,0.8637246489524841,0.7454643249511719,0.4053036570549011,0.0,0.017053963616490364,0.0194091796875,8.235200936921077,8.235200881958008,7.36726188659668,0.16542105376720428,0.15812700986862183,0.18403922021389008,0.12647265195846558,3.6660268306732178,1.5004000663757324,0.00020000085081437456,0,0
1,3,1.1566542387008667,1.0255616903305054,1.0498836040496826,0.3505055904388428,0.0,0.017157677561044693,0.0190126970410347,9.372760319456205,9.372759819030762,8.181548118591309,0.17717134952545166,0.17887969315052032,0.21841533482074738,0.15998828411102295,4.5578742027282715,1.5005996227264404,0.00020000191433196582,0,0
1,4,0.7785458564758301,0.7030310034751892,0.4962535798549652,0.3459475636482239,0.0,0.017184291034936905,0.018911132588982582,7.489282419073591,7.489282608032227,6.785293102264404,0.14441609382629395,0.15470018982887268,0.16267743706703186,0.10772151499986649,3.1569435596466064,1.5007988214492798,0.00020000340325588986,0,0
1,5,0.9186593294143677,0.8228305578231812,0.6723878979682922,0.39718055725097656,0.0,0.01746192015707493,0.017856445163488388,7.594172547324752,7.594172477722168,6.762790203094482,0.14879776537418365,0.1516362577676773,0.1836617887020111,0.12635767459869385,3.441118001937866,1.5009984970092773,0.0002000053175854426,0,0
1,6,1.1464663743972778,1.0162092447280884,1.0271556377410889,0.3817289173603058,0.0,0.016910158097743988,0.019960938021540642,8.956306726378061,8.956306457519531,7.828586578369141,0.17243078351020813,0.18324331939220428,0.19878585636615753,0.14664208889007568,4.336396217346191,1.5011979341506958,0.00020000765731971958,0,0
1,7,0.8733342885971069,0.7820984125137329,0.6143943667411804,0.4233579933643341,0.0,0.017257085070014,0.01863379031419754,7.3167725476026355,7.3167724609375,6.471159934997559,0.14535346627235413,0.1446569561958313,0.1514725238084793,0.1040162593126297,3.403444290161133,1.5013976097106934,0.0002000104224576147,0,0
1,8,0.8629459738731384,0.7739441394805908,0.5922268629074097,0.42347079515457153,0.0,0.0172111876308918,0.018808593973517418,6.862524603585603,6.862524509429932,6.166029930114746,0.13005869090557098,0.13691450655460358,0.14050354063510895,0.07930628210306168,3.002103805541992,1.5015968084335327,0.00020001361299782088,0,0
1,9,0.9604436159133911,0.8369228839874268,0.6952571272850037,0.9042751789093018,0.0,0.017562463879585266,0.017476564273238182,9.822481460387417,9.822481155395508,9.016462326049805,0.23229052126407623,0.21129488945007324,0.2367812991142273,0.1841009259223938,3.872465133666992,1.5017967224121094,0.00020001722893883017,0,0
1,10,1.0894099473953247,0.9458834528923035,0.8973525762557983,0.8981689214706421,0.0,0.0177657138556242,0.016711914911866188,11.592107380991473,11.592107772827148,10.425122261047363,0.28169140219688416,0.2541091740131378,0.2753303647041321,0.21619358658790588,5.042550086975098,1.5019972324371338,0.00020002127027893323,0,0
1,11,0.9564622640609741,0.8333850502967834,0.701679527759552,0.8796052932739258,0.0,0.01785799115896225,0.01636621169745922,11.677906021153273,11.677906036376953,10.416895866394043,0.2732276916503906,0.25237420201301575,0.26939257979393005,0.2368394136428833,5.253071308135986,1.5021981000900269,0.00020002573701621991,0,0
