epoch,batch_idx,loss_total,loss_data,loss_phys,loss_ou,loss_bc,spike_rate,gn_total_preclip,gn_total_postclip,gn_hidden_fc,gn_hidden_recU,gn_hidden_recV,gn_hidden_base_threshold,gn_hidden_thresh_jump,gn_out_fc,weight_max_abs_global,lr,is_nan_loss,is_inf_grad
1,1,1.695554256439209,1.1044557094573975,1.2117847204208374,0.31561732292175293,0.45413926243782043,0.012731446884572506,61.99568062257987,61.99568176269531,61.932674407958984,1.4945663213729858,1.2946738004684448,nan,nan,1.9744234085083008,1.5,0.0005000022397873985,0,0
1,2,1.4702880382537842,1.108452320098877,1.2263480424880981,0.2598901093006134,0.22620642185211182,0.011023437604308128,61.26878506032787,61.26878356933594,61.218055725097656,1.0571138858795166,1.1703611612319946,nan,nan,1.9303991794586182,1.5,0.0005000089591451337,0,0
1,3,1.216509222984314,1.0368413925170898,1.0727018117904663,0.2225257009267807,0.06127135828137398,0.012082519941031933,53.273790013450764,53.2737922668457,53.23033142089844,0.6198627948760986,0.9740174412727356,nan,nan,1.8153730630874634,1.5,0.0005000201580598286,0,0
1,4,1.4701128005981445,1.0809781551361084,1.1652249097824097,0.26698043942451477,0.2592630684375763,0.01084130723029375,53.03428009471666,53.034278869628906,52.99043655395508,0.848030686378479,0.9979763031005859,nan,nan,1.7127131223678589,1.5,0.0005000358365091877,0,0
1,5,1.4191361665725708,1.20198392868042,1.4421733617782593,0.28569984436035156,0.05864991247653961,0.01253320463001728,63.06897705818316,63.06897735595703,63.024715423583984,0.654187023639679,1.0584660768508911,nan,nan,2.008183717727661,1.5,0.0005000559944619955,0,0
1,6,1.5121818780899048,1.1580827236175537,1.340137004852295,0.2677623927593231,0.20669732987880707,0.011603516526520252,59.823833305371316,59.82383346557617,59.77111053466797,0.8799335956573486,1.201160192489624,nan,nan,2.021956443786621,1.5,0.0005000806318781192,0,0
1,7,1.329355239868164,1.1027145385742188,1.2281999588012695,0.27480199933052063,0.09008067846298218,0.011687011457979679,64.98717067228591,64.98717498779297,64.91946411132812,0.842849612236023,1.265089750289917,nan,nan,2.546504259109497,1.5,0.000500109748708507,0,0
1,8,1.5272746086120605,1.2046915292739868,1.455989956855774,0.26967501640319824,0.16350029408931732,0.012839355506002903,71.09848184325433,71.09848022460938,71.00393676757812,1.050661325454712,1.4954472780227661,nan,nan,3.177236557006836,1.5,0.0005001433448951912,0,0
1,9,1.5755802392959595,1.1340173482894897,1.2820816040039062,0.30494415760040283,0.2981075346469879,0.011992189101874828,59.23964725736813,59.239646911621094,59.16193771362305,1.1998460292816162,1.4165352582931519,nan,nan,2.39890193939209,1.5,0.0005001814203712826,0,0
1,10,1.6263691186904907,1.1340081691741943,1.285070538520813,0.2792581021785736,0.3498910963535309,0.01248144544661045,52.161845863199105,52.16184616088867,52.099693298339844,1.1306219100952148,1.3081940412521362,nan,nan,1.868273138999939,1.5,0.0005002239750609774,0,0
1,11,1.54463529586792,1.0732001066207886,1.1459251642227173,0.2742169499397278,0.3431317210197449,0.012545899488031864,60.79889668135765,60.79889678955078,60.71596908569336,1.3094456195831299,1.4913265705108643,nan,nan,2.477545738220215,1.5,0.0005002710088795517,0,0
1,12,1.4508075714111328,0.9708287119865417,0.9443934559822083,0.2223227173089981,0.37442341446876526,0.014000489376485348,56.20091988793945,56.20092010498047,56.12742614746094,1.2494674921035767,1.3587679862976074,nan,nan,2.201819896697998,1.5,0.0005003225217333649,0,0
1,13,1.5467228889465332,1.0307815074920654,1.0589784383773804,0.20602744817733765,0.39974212646484375,0.014076661318540573,67.34233829742033,67.34233856201172,67.24645233154297,1.4725462198257446,1.6722571849822998,nan,nan,2.8178608417510986,1.5,0.0005003785135198587,0,0
1,14,1.233072280883789,0.9517212510108948,0.9063206315040588,0.17095021903514862,0.1821715235710144,0.01345214806497097,58.96737876963449,58.96738052368164,58.890419006347656,0.9788253307342529,1.640903353691101,nan,nan,2.3280131816864014,1.5,0.0005004389841275596,0,0
1,15,1.4827744960784912,0.9624041318893433,0.9256587028503418,0.40595734119415283,0.40750652551651,0.011459960602223873,58.56484201080146,58.564842224121094,58.477073669433594,1.5522791147232056,1.8292144536972046,nan,nan,2.1253185272216797,1.5,0.0005005039334360726,0,0
1,16,1.2303882837295532,0.877901554107666,0.7721836566925049,0.43543320894241333,0.2534967362880707,0.012568359263241291,51.17033774168873,51.17033767700195,51.10956573486328,0.9983741044998169,1.5359669923782349,nan,nan,1.6910971403121948,1.5,0.0005005733613160897,0,0
1,17,1.1144232749938965,0.866338312625885,0.7485251426696777,0.3857167661190033,0.15394657850265503,0.014032226987183094,49.73348390806093,49.733482360839844,49.673648834228516,0.8312547206878662,1.4798331260681152,nan,nan,1.7513259649276733,1.5,0.0005006472676293864,0,0
1,18,1.0899118185043335,0.8063905835151672,0.6516448855400085,0.5667126774787903,0.1900211125612259,0.010865233838558197,55.0033192123807,55.003318786621094,54.9560546875,1.1520079374313354,1.467366099357605,nan,nan,1.3103022575378418,1.5,0.00050072565222882,0,0
1,19,1.4123055934906006,0.9254350066184998,0.858744740486145,0.3425982594490051,0.38386619091033936,0.012840821407735348,50.85543028777598,50.855430603027344,50.76467514038086,1.500781536102295,1.856433391571045,nan,nan,1.8771940469741821,1.5,0.0005008085149583331,0,0
1,20,1.4120280742645264,0.9485757350921631,0.8972724080085754,0.23845799267292023,0.3618021011352539,0.01094482559710741,61.35799714747171,61.35799789428711,61.25508499145508,1.7143532037734985,2.206818103790283,nan,nan,2.19301700592041,1.5,0.0005008958556529525,0,0
1,21,1.8806416988372803,1.0814710855484009,1.1610136032104492,0.34762042760849,0.665688157081604,0.011141601018607616,73.51368524548192,73.51368713378906,73.35700225830078,2.613826274871826,2.9991979598999023,nan,nan,2.6804592609405518,1.5,0.0005009876741387895,0,0
1,22,1.1593064069747925,0.820764422416687,0.6763141751289368,0.2754130959510803,0.2571399509906769,0.011298340745270252,50.21003369394721,50.21003341674805,50.117820739746094,1.5764318704605103,1.8375346660614014,nan,nan,1.8411563634872437,1.5,0.0005010839702330409,0,0
1,23,1.306491494178772,0.8906561732292175,0.8026513457298279,0.409014493227005,0.3151194751262665,0.013439941219985485,51.813186899935154,51.81318664550781,51.713279724121094,1.6504108905792236,1.8976352214813232,nan,nan,2.00453519821167,1.5,0.0005011847437439883,0,0
1,24,1.0938360691070557,0.8270399570465088,0.6844998002052307,0.34852108359336853,0.18092003464698792,0.01290917955338955,49.36541163671988,49.36540985107422,49.28777313232422,1.3120805025100708,1.6380342245101929,nan,nan,1.8040438890457153,1.5,0.0005012899944709997,0,0
1,25,1.1065356731414795,0.7852639555931091,0.6172552108764648,0.29236331582069397,0.2449280023574829,0.012468261644244194,50.089995346178625,50.089996337890625,49.995296478271484,1.567624807357788,1.8223727941513062,nan,nan,1.9234015941619873,1.5,0.0005013997222045293,0,0
1,26,0.9782512187957764,0.7385751008987427,0.5456324219703674,0.2969171404838562,0.1702670156955719,0.013148926198482513,50.769294436568195,50.76929473876953,50.68019104003906,1.466548204421997,1.7739893198013306,nan,nan,1.9343453645706177,1.5,0.000501513926726118,0,0
1,27,1.3467743396759033,0.8631451725959778,0.7449533939361572,0.21310259401798248,0.39847877621650696,0.011021974496543407,62.227053480178704,62.227054595947266,62.084716796875,2.4551525115966797,2.485884666442871,nan,nan,2.342376708984375,1.5,0.0005016326078083923,0,0
1,28,1.039781093597412,0.7882170677185059,0.6208769083023071,0.262676477432251,0.17634250223636627,0.012068360112607479,49.978705701944406,49.978702545166016,49.897884368896484,1.3908406496047974,1.6564948558807373,nan,nan,1.8422123193740845,1.5,0.0005017557652150697,0,0
1,29,1.0094923973083496,0.7301411628723145,0.5317793488502502,0.2958546578884125,0.21138060092926025,0.013588380068540573,42.74823490083942,42.748233795166016,42.646549224853516,1.6451594829559326,1.758960485458374,nan,nan,1.6979206800460815,1.5,0.0005018833987009497,0,0
1,30,0.8249925374984741,0.7197388410568237,0.517371654510498,0.2712651789188385,0.03995325416326523,0.012050781399011612,52.41589065944035,52.415889739990234,52.343055725097656,1.1410356760025024,1.6526280641555786,nan,nan,1.896567702293396,1.5,0.0005020155080119274,0,0
1,31,0.8899078369140625,0.7159138917922974,0.5120503902435303,0.15048222243785858,0.11526476591825485,0.01408984325826168,31.9977379199342,31.997737884521484,31.93492889404297,0.9920957684516907,1.1377344131469727,nan,nan,1.317897915840149,1.5,0.0005021520928849823,0,0
1,32,0.7801876068115234,0.6745495796203613,0.4549961984157562,0.16999006271362305,0.051638875156641006,0.01331640500575304,40.84242578989041,40.84242630004883,40.77871322631836,1.1257649660110474,1.2992712259292603,nan,nan,1.4982788562774658,1.5,0.0005022931530481844,0,0
1,33,0.8902259469032288,0.7764309644699097,0.6032791137695312,0.18093067407608032,0.044420551508665085,0.013724608346819878,33.540262954437914,33.54026412963867,33.45537185668945,1.0876774787902832,1.3302550315856934,nan,nan,1.6536965370178223,1.5,0.0005024386882206931,0,0
1,34,0.9490457773208618,0.7073888182640076,0.4983382821083069,0.14576035737991333,0.18453511595726013,0.012713867239654064,41.64351841561089,41.643516540527344,41.57196807861328,1.3500491380691528,1.4715625047683716,nan,nan,1.4021295309066772,1.5,0.0005025886981127603,0,0
1,35,0.942583441734314,0.6674994230270386,0.44758349657058716,0.1886136829853058,0.22089500725269318,0.015323732048273087,40.16764954834636,40.16765213012695,40.09117889404297,1.383304238319397,1.5164539813995361,nan,nan,1.3871848583221436,1.5,0.0005027431824257281,0,0
1,36,0.8954358100891113,0.663616418838501,0.43923333287239075,0.20284414291381836,0.17775383591651917,0.014950684271752834,32.811243730374876,32.81124496459961,32.74216079711914,1.2047481536865234,1.2831002473831177,nan,nan,1.1961843967437744,1.5,0.0005029021408520301,0,0
1,37,0.878656268119812,0.6810935735702515,0.46341395378112793,0.13565902411937714,0.14443834125995636,0.01249218825250864,35.589742235127815,35.58974075317383,35.526206970214844,1.105364441871643,1.265101671218872,nan,nan,1.3023278713226318,1.5,0.0005030655730751919,0,0
1,38,0.838918924331665,0.6296423673629761,0.396239310503006,0.16441601514816284,0.16143184900283813,0.012511229142546654,38.68644429874907,38.68644332885742,38.6104736328125,1.3288198709487915,1.470184326171875,nan,nan,1.394666314125061,1.5,0.0005032334787698333,0,0
1,39,0.9560549259185791,0.6399126648902893,0.4104990065097809,0.1405525952577591,0.2680647671222687,0.012439941987395287,48.937931400642185,48.937931060791016,48.85007858276367,1.7165627479553223,1.7633179426193237,nan,nan,1.5921916961669922,1.5,0.0005034058576016661,0,0
1,40,0.7912529110908508,0.6098747253417969,0.371084600687027,0.1691918671131134,0.13581015169620514,0.014629882760345936,29.963926370452853,29.963926315307617,29.899507522583008,1.0538700819015503,1.189097285270691,nan,nan,1.1540099382400513,1.5,0.0005035827092274986,0,0
1,41,0.814732015132904,0.5566648244857788,0.3091559112071991,0.17186105251312256,0.21855850517749786,0.013880372047424316,41.58611404692474,41.58611297607422,41.50474166870117,1.5774728059768677,1.6175758838653564,nan,nan,1.2869842052459717,1.5,0.0005037640332952323,0,0
1,42,0.8432264924049377,0.6754240989685059,0.45709526538848877,0.20378868281841278,0.11190345138311386,0.013498046435415745,34.861735595306534,34.861732482910156,34.7916374206543,1.123444676399231,1.3842217922210693,nan,nan,1.3055176734924316,1.5,0.0005039498294438661,0,0
