epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std,val_v0_nrmse,val_T_nrmse,val_s0_nrmse,val_a_nrmse,val_b_nrmse
1,8.767953951358795,0.8511267581582069,0.7721967418491841,0.004871297609061003,0.032786178560666596,0.001794005186202412,8.139629272070337,0.6540636428968704,0.48800819616844043,0.004032538288540425,0.03477025991840956,0.002346820150392056,0.5,33207.66249880553,0.10832791878504956,132.82833409309387,0.005986709380097821,0.005986709380097821,0.0029933546900489105,-0.0353320837020874,0.006568413693457842,26.621584912563893,1.2882906306297222,2.9404417403200838,1.3378278156544299,1.7735062095713108,0.2940501300419899,0.04570749871670566,0.020778141212352413,0.06189626659405358,0.06808763046927274,0.23251703046917027,0.1292648575124729,0.15108203476170218,0.18384066519162934,0.1490784076903434
2,2.68124912917614,0.30672487027943135,0.11629095867276192,0.0036513337842188774,0.004085218552758931,0.0007193107123062959,1.3394502777051418,0.25752052704387524,0.08087423564420339,0.005740226992589244,0.001559270015307981,0.0007207776739481903,0.49148145657226705,5.867057842612266,0.12727123716885738,132.4372091293335,0.04672707095443558,0.04672707095443558,0.022965488894041673,0.018800724297761917,0.005553980357944965,24.629770765913293,1.0554345386459472,2.517235424924404,0.5172715339254825,0.7352682643748344,0.8091267743643294,0.052155614781015096,0.052211444805118634,0.04494294108441496,0.03174008212072101,0.08814968103637914,0.15721114169201406,0.08703968246032008,0.3017576955370845,0.36794294622665563
3,1.4097546973824502,0.2432292765378952,0.06427874644286931,0.003095639683306217,0.0012686192359433336,0.0005121114636612311,1.6032319385954674,0.242506293896982,0.07758177308108102,0.002325035340308727,0.0014133559284657548,0.00018250528551835667,0.4665063509461097,5.62035277068615,0.14240733403316203,131.54736995697021,0.04672707095443558,0.04672707095443558,0.021798475361353695,-0.014630306512117386,0.009609787724912167,22.149321890891866,0.8844803476587255,2.595439650910966,0.4144073442575779,0.8109109829714958,0.917435440928378,0.035243376217623974,0.05842600776714847,0.026956325399527137,0.04072627525261425,0.09875132871478222,0.1953982457170728,0.10946338826719142,0.34135232575261915,0.34840628613153257
4,1.5706447267532349,0.22685123302042484,0.05588803755119443,0.0033437366934958843,0.0010730548905445404,0.0007920608490917402,1.3648014143109322,0.23004134982190233,0.06504710037954786,0.003883073951038433,0.003948537088385446,0.0005821741267646925,0.42677669529663687,5.7256329417228695,0.13898099162318606,130.91277694702148,0.04672707095443558,0.04672707095443558,0.019942024922825485,-0.042922940105199814,0.006866138428449631,22.61064236722094,1.0082494451644572,2.7880551130213638,0.4558199590190928,0.9801136737174176,0.8512794809772614,0.0452334305786706,0.06316747302387624,0.02918713156726726,0.04041320471925304,0.09022332890841128,0.14851040631549015,0.1595831783341666,0.32390902754411516,0.276033218715128
5,1.4673432978987693,0.2510321420431137,0.07156983910128474,0.0035483241698239,0.0017946339210902806,0.0005040758720565463,1.235589485139923,0.2333550915280555,0.06549460892664626,0.0026625351976613176,0.0020746927265287954,0.0006182595775045588,0.375,5.396065606474877,0.14777743114911496,131.23952460289001,0.04672707095443558,0.04672707095443558,0.017522651607913345,-0.003581286408007145,0.009340958669781685,23.149158782147346,0.9415628383768365,2.7886311259675534,0.43148356818772376,1.2596828500007062,0.9067986464880883,0.040271529204588624,0.06479030080694467,0.02938808097245241,0.04388809120876992,0.08489957238569992,0.17504475273590941,0.15363091879872462,0.33601101835213887,0.19655441152575542
6,1.3347282522916795,0.252439968213439,0.07123735119588673,0.0029316751880105584,0.0021219312552386784,0.00024128082644612415,1.1534376630282148,0.22717350223993368,0.06374703540139773,0.002436158768684068,0.0009695653224560887,0.00024022012116724077,0.3147047612756302,5.165242309570313,0.15081046501848291,131.1285548210144,0.04672707095443558,0.04672707095443558,0.014705231709825083,-0.005262048449367285,0.013190238736569881,23.376088680105006,0.9441171538956622,2.904589721497069,0.46958802022198415,0.9873909921722209,0.7991660979199917,0.037437830229309646,0.07199040550659312,0.032906137971138456,0.03843855582415424,0.08141684490917567,0.1694206356662562,0.2088166442428115,0.3195395938176134,0.27154428567057837
7,1.377411643564701,0.23613623417913915,0.07202743510715663,0.002803504802286625,0.0016286990669084388,0.0003177422021405185,1.1996455444617475,0.22821916287091185,0.06414746630817969,0.0030170939249689987,0.001730414875918362,0.0005719814976416575,0.25,5.640728243589401,0.16567794582311143,131.06947445869446,0.04672707095443558,0.04672707095443558,0.011681767738608895,0.040979813784360886,0.008584496565163136,22.999322292652536,1.0525976267266781,2.8650350989179407,0.4926548476548905,1.093118299829199,0.7851354083482255,0.03969312798073317,0.06454625111469563,0.03621290667481051,0.039764912581031625,0.08347850944226663,0.1427900038060023,0.18100655707772662,0.31060369023972034,0.23672086186651622
8,1.2066727882623673,0.2331650496274233,0.06587942523881793,0.0024455550825223326,0.0020254675804056888,0.00022113971354116303,1.5677035487395652,0.2269067874059398,0.060334811001976435,0.0014879345569383114,0.0017028813778857228,0.00022771162078764984,0.18529523872436984,4.574909894764423,0.1547970646952695,131.04745411872864,0.04672707095443558,0.04672707095443558,0.00865830376739271,-0.0032262695021927357,0.013359160162508488,25.15329423863837,0.8777220582074308,3.143474020856492,0.40466824554382486,1.185414066340061,0.7863054456228905,0.031207467825647366,0.06928846349028196,0.026125102529167245,0.03940007660260543,0.09843317941673649,0.19673952183457538,0.25087194109515276,0.3471459312937376,0.18987956200227016
9,1.4646672251820565,0.2329925762861967,0.06313603786751627,0.0021915314777288587,0.0024492337546087126,0.0002214175692228082,1.2441428999634498,0.23301777742961619,0.06355007368442107,0.0018487192301495754,0.0017287033843009592,0.00034036641797304836,0.12500000000000006,5.328108298182488,0.14191296308281573,131.1206419467926,0.04672707095443558,0.04672707095443558,0.00584088386930445,0.025556745007634163,0.008116374723613262,24.160413239864592,0.8850705813854298,2.9948324269436775,0.4166226899053188,1.4699055704664676,0.7309864131694145,0.03188537504088054,0.06170435156673193,0.025970302770668027,0.04448079282140478,0.08542340359019121,0.19415178697315377,0.19658787446824644,0.34320077317643455,0.13409758287142948
10,1.4968173995614051,0.23576862595975398,0.06347724627703429,0.0019279841019306332,0.0015666345761474077,0.0003124947133326472,1.2636139675816322,0.20809623034314273,0.0503870047804741,0.0018911738211209786,0.002358287545572324,0.0001949787236976602,0.07322330470336313,4.6663214010000225,0.14954452870532553,131.43317818641663,0.04672707095443558,0.04672707095443558,0.003421510554392306,0.028086436912417412,0.010651021264493465,24.809485313740183,0.9898019991022475,3.155448227486712,0.42840115821107905,1.296603262424469,0.7655825903441044,0.030954496439625608,0.06458366565168538,0.02816247037328062,0.03337096553692158,0.08733828520373718,0.15665156421659546,0.235655394291122,0.33810610803866403,0.16481871615713883
