tag,axis,n_ep,best_ep,val_total_best,val_data_best,T_tracking_corr_best,T_intra_corr_best,v0_pred_ep1,s0_pred_ep1,a_pred_ep1,v0_pred_best,s0_pred_best,rank_effective,cond_number,init_shift,tau_init,tau_final,tau_sched,tau_per_ch,po2_enabled
R29_E0_baseline_A3,E_control,10,10,0.184488057614641,0.1738091660465331,0.3923378586769104,0.0358288213610649,33.41801805699125,1.618820162529641,0.4417282577524793,34.416523933410645,3.301285195857921,1,17299.80859375,0,1.0,1.0,const,,1
R29_B1_tau3to1_lin,B_tau,10,10,0.1869505472639773,0.1781372351056717,0.362242728471756,0.0228493120521307,34.84168858223773,2.15980227450107,0.5982645087419672,35.99704082975996,1.2485035188654636,2,13443.5751953125,0,3.0,1.0,linear,,1
R29_A1_init_shift,A_init,10,10,0.1911825212709447,0.1836426225589945,0.2582356929779053,0.0217073764652013,44.54061942404889,1.0003420203290088,0.300075629924206,43.48982052092857,2.9351401024676385,2,1857.489990234375,1,1.0,1.0,const,,1
R29_B2_tau5to1_lin,B_tau,10,1,0.276759404768335,0.268109955686204,0.0333123505115509,0.0170735120773315,36.456649394745526,1.545268748668914,0.3189298060346157,36.456649394745526,1.545268748668914,1,644845.9375,0,5.0,1.0,linear,,1
R29_B4_tau5to1_exp,B_tau,10,1,0.276759404768335,0.268109955686204,0.0333123505115509,0.0170735120773315,36.456649394745526,1.545268748668914,0.3189298060346157,36.456649394745526,1.545268748668914,1,644845.9375,0,5.0,1.0,exp,,1
R29_D1_C1_epochs20,D_long,20,3,0.2247959388063309,0.2158040808553391,0.081660658121109,0.0080757541581988,38.212613572465614,1.9795305132865904,0.4021417983668915,37.37772284162806,1.2902273561092132,2,8628.1103515625,1,5.0,1.0,linear,,1
R29_C1_init_tau5,C_combo,10,1,0.2662268747040566,0.253436933489556,0.019154330715537,0.0070194038562476,38.212613572465614,1.9795305132865904,0.4021417983668915,38.212613572465614,1.9795305132865904,2,6596.642578125,1,5.0,1.0,linear,,1
R29_C3_init_per_channel,C_combo,10,2,0.2449521694253099,0.2347130544800707,0.091388426721096,0.0067486613988876,35.10044487486494,2.135948012483881,0.4215558019090206,34.93591576434196,2.117417053973421,2,4180.19921875,1,1.0,1.0,const,"10.0,3.0,10.0,3.0,3.0",1
R29_C2_init_tau10,C_combo,10,1,0.2427482164286552,0.2351353789897675,0.0096084782853722,-0.0028905845247209,39.12959792766165,1.5886662830697729,0.4363770694174665,39.12959792766165,1.5886662830697729,1,15033.38671875,1,10.0,1.0,linear,,1
R29_D2_C2_epochs20,D_long,20,1,0.2427482164286552,0.2351353789897675,0.0096084782853722,-0.0028905845247209,39.12959792766165,1.5886662830697729,0.4363770694174665,39.12959792766165,1.5886662830697729,1,15033.38671875,1,10.0,1.0,linear,,1
R29_B3_tau10to1_lin,B_tau,10,3,0.2614001019838008,0.2536747841600408,-0.0015332914190366,-0.003110320540145,40.86205372911819,2.1784759075083637,0.3023977371606421,37.325319249579245,1.6025734759391623,2,17752.783203125,0,10.0,1.0,linear,,1
R29_E1_no_po2,E_control,10,1,0.2745371422869094,0.2628319978396943,-0.0085724974051117,-0.0078952508047223,28.28989781724646,3.02702275489239,0.4766939295099137,28.28989781724646,3.02702275489239,2,2005378.875,0,1.0,1.0,const,,0
