epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s
1,0.5570620381518414,0.5486318302781958,0.34691574777427475,0.24859468851426705,0.0,0.016860415433582507,0.35763788159857407,0.34981208532414537,0.1256316990611401,6.835792327307145e-06,0.0,0.015651593817041277,0.0004110331534847892,3.795526071598655,0.024926979609943452,182.8330066204071
2,0.28889043542899584,0.2822171823758828,0.08322232004843261,3.550606915221004e-05,0.0,0.01334650492001521,0.28642131293073614,0.28031368617047653,0.08018838130730263,1.277055116588599e-05,0.0,0.01221525556150269,0.0009451659653397465,0.3391741228044817,0.03956621669312107,182.88102912902832
3,0.2732561860429613,0.266966900229454,0.07467765824771241,1.4599658480189024e-05,0.0,0.012578572362269226,0.28085754098410304,0.2749530336958297,0.07752417166657904,6.514984432485901e-06,0.0,0.011809011356548426,0.0015519101429749846,0.08201888279597226,0.04143968925989689,182.09899401664734
4,0.27122579130687213,0.2691288352796906,0.07580167331585759,6.3950551042293415e-06,0.0,0.004193912025168887,0.27522329811720136,0.2749689489285997,0.07738501384378747,6.734530266027271e-06,0.0,0.0005086981629884054,0.0019467253815796165,0.06922609888409313,0.12898585723435624,183.39728450775146
5,0.2711431177823167,0.27098378374388343,0.07759107651287003,0.0063078282062322515,0.0,0.00031866805662745216,0.27561351878845947,0.27557643328575376,0.07757223262748819,5.4275388052662896e-06,0.0,7.417076149541153e-05,0.0019886063035814703,0.10332792608655597,0.1463143839798075,181.44796562194824
6,0.2742546410152787,0.2741244016509307,0.07956012099197037,5.4268408300566466e-06,0.0,0.00026047897772144615,0.27565463870129686,0.27558799072148954,0.07756848074495792,5.426490564245119e-06,0.0,0.00013329729970212867,0.0019003842154692986,0.08191751882029501,0.14235980975184034,180.66169476509094
7,0.2661720188824754,0.2660445905829731,0.07452615582825321,5.426480627073416e-06,0.0,0.00025485557573055276,0.2746253766595049,0.2744939067262284,0.07723540975216855,5.426680382562212e-06,0.0,0.0002629404454366638,0.001732247892930059,0.07416467661111567,0.1362132265212688,181.24236416816711
8,0.266202796603504,0.2660590696491693,0.07518064229700126,5.42670886955564e-06,0.0,0.0002874536494264764,0.276801068890602,0.27676570764247405,0.078116820768473,5.426468407406107e-06,0.0,7.072178858304691e-05,0.0014991369860754612,0.0844681122499567,0.14780478813546769,180.77221274375916
9,0.27038978699006533,0.2702983366815667,0.07589371418090243,5.426514467456544e-06,0.0,0.0001828990742020446,0.2752567290308628,0.27520038964266474,0.07775960323658396,5.426463579343808e-06,0.0,0.00011267969374636265,0.0012217644219699013,0.07653339421254043,0.1431316337052812,181.0521903038025
10,0.2686836282673635,0.268643707978098,0.0757654675037453,5.426502577010021e-06,0.0,7.983958256424564e-05,0.27463399333522676,0.27458760332553944,0.07711465629015832,5.4265091992110294e-06,0.0,9.277860910631406e-05,0.0009247759701636075,0.1040865578578393,0.15125548950535186,181.1771559715271
11,0.2677326712169145,0.2677029339890731,0.07521535311090319,5.426537970714363e-06,0.0,5.947502653703053e-05,0.27388324477571124,0.27383383950020407,0.07689700022022775,5.426652057607537e-06,0.0,9.881077342677653e-05,0.0006345603579119217,0.11280534266200112,0.15104094242795985,181.66849088668823
12,0.26975071336093703,0.2697252177094158,0.0767785238788316,5.426748336838883e-06,0.0,5.099306392742043e-05,0.2738138806629688,0.2737584225040801,0.07683719112042417,5.4266202494816635e-06,0.0,0.00011091879971358145,0.0003769045159536446,0.11815077486006838,0.1531882845657937,181.54919600486755
13,0.2658859998772019,0.265857631987647,0.07487313084696469,5.426559683703664e-06,0.0,5.673553369722283e-05,0.27376183138248766,0.27370221040984416,0.07678854667601433,5.4266202494816635e-06,0.0,0.0001192389511986709,0.00017470229655080745,0.12261687243161233,0.1540032577641467,181.8308389186859
14,0.2700476992287134,0.27001538708021766,0.07620892153170548,5.426559683703664e-06,0.0,6.46240546652194e-05,0.2737851491633882,0.273721658803047,0.07680045975808134,5.4266202494816635e-06,0.0,0.0001269802988447491,4.592025424717672e-05,0.1165662055590043,0.1547489602197992,181.13396191596985
15,0.2669430879385848,0.2669116706440323,0.0752058917362439,5.426603246106472e-06,0.0,6.283599523852227e-05,0.2737957568878823,0.2737318852797468,0.07680144818856362,5.4266202494816635e-06,0.0,0.00012774398948944832,2.0012386521138383e-06,0.11533343314536308,0.1548262433485782,180.69402194023132
