tag,axis,desc,status,n_ep,val_total_best,val_data_best,val_T_tracking_corr_best,val_T_intra_std_best,spike_rate_avg,best_ep,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,gn_out_fc_v0_mean,gn_decoded_v0_mean,grad_dir_v0_mean,gn_out_fc_T_mean,gn_decoded_T_mean,grad_dir_T_mean,gn_out_fc_s0_mean,gn_decoded_s0_mean,grad_dir_s0_mean,gn_out_fc_a_mean,gn_decoded_a_mean,grad_dir_a_mean,gn_out_fc_b_mean,gn_decoded_b_mean,grad_dir_b_mean
R25_A1_baseline_replica,BASELINE,Replica esatta V08 mixed (val atteso ~0.20),OK,10,0.1953774578473035,0.1831148673800078,0.3527218401432037,0.0884400228870676,0.03865350805906615,10,30.68177780191949,1.0634507175455703,3.6434781208951423,0.4254275010304248,1.3345628095434068,0.006005108036740534,2.083434863473954e-06,0.13489500014763325,0.20753388755768537,0.0008695625076360969,-0.13908999944292008,0.061030617953743746,0.0001562409178222653,-0.10988000066764653,0.045212726477839124,0.0008558281327131652,0.2356799996700138,0.08632066441047934,0.0002736066718498051,0.15955999987386166
R25_A2_seq_len_short,A_memory,seq_len 50→30 (meno contesto),OK,10,0.1781707889130038,0.1678155373060895,0.2895278036594391,0.0902146919960937,0.03953839319127217,10,38.40421602187618,1.2055716368459886,3.81181867430287,0.3842899571503362,1.403806480669206,0.003545898785832784,2.598817974316603e-06,0.05728333319164813,0.19576007885858415,0.0014765844323555424,-0.07210000010766089,0.05195042680925686,0.00021378408581218566,-0.049458333129063246,0.04516465917467117,0.001284897784411391,0.11256666646711529,0.08302330224402245,0.0004440219759562275,0.15204166665114463
R25_A3_seq_len_long,A_memory,seq_len 50→100 (più contesto),OK,10,0.184488057614641,0.1738091660465331,0.3923378586769104,0.095416114566491,0.043973965441530635,10,34.416523933410645,1.207902174046699,3.301285195857921,0.3966978956410225,1.344246930264412,0.01351601865688276,1.6870645818301e-06,0.05230500003416091,0.18957921552285553,0.00042017494948226564,-0.06625499976053834,0.04930625599902119,6.898407948937037e-05,-0.03990250013116747,0.033346078795067985,0.0003719403399736106,0.09773999945446848,0.07595947981998322,0.000144165244273579,0.13998499983781948
R25_A4_delay_long,A_memory,max_delay 6→18 (3× memoria sinaptica),OK,10,0.179997254440442,0.1707594545676987,0.4422426521778106,0.0885878809668282,0.06273431599615732,10,38.151837135883085,1.2987824716466538,1.209691033718434,0.4109715253431746,1.280919189782853,0.00599349684195472,1.5969491720255747e-06,0.08020499995443969,0.25859736094996333,0.0008528231307863692,-0.08032999967224896,0.05096577005974537,0.00013933587250719302,-0.057504999894648794,0.05216117457619107,0.0007981388329644197,0.15136000027135016,0.08968546949978914,0.0002681976812090898,0.1261549998326227
R25_A5_leak_slow,A_memory,bit_shift 3→5 (leak τ 4× più lungo),OK,10,0.2070960130819931,0.1954934710161166,0.2808755040168762,0.0582054705814795,0.07489585690596633,3,36.02508428248953,1.2682850538416113,1.7057842580561942,0.3760772802411242,1.1666533788467974,1.3556685019011638e-07,1.060118165696622e-06,0.4749999940395355,0.0104509387165308,0.0004353878612164,-0.2049999982118606,0.021608268842101,9.160857007373124e-05,-0.2199999988079071,0.0168902296572923,0.0011571714421734,0.2199999988079071,0.0280182044953107,0.0013070916756987,-0.1299999952316284
R25_A6_combo_memory,A_memory,COMBO: seq=100 + delay=18 + bit_shift=5,OK,10,0.1846133173304669,0.175077940872375,0.2003270536661148,0.101566551490984,0.054767917752503656,10,30.010742491864143,1.1462507254265724,3.561230740648635,0.3739577122825257,1.1703662333336282,0.022062000410755737,2.2110725964380863e-06,0.10164500022539869,0.17477907983213664,0.00038617066806177503,-0.11092000004090369,0.040574365486390845,6.020956550854868e-05,-0.07461250063963235,0.03596684466293113,0.0004209929699135908,0.17663499997463078,0.08260245013702658,0.00014430538061421385,0.13831499980390072
R25_B1_T_aux_low,B_loss,lambda_T_aux=0.1 (lieve),OK,10,0.1897758006296576,0.1744012792218238,0.5000502467155457,0.0644285427208276,0.0378613570313702,9,39.72832899905266,1.24141289769335,1.816612848576079,0.3981227356385677,1.1849938405955092,0.005337773215971492,1.7610269738241868e-06,0.07746499974094331,0.21928258332610132,0.0009087019288562685,-0.051609999699518086,0.04005977647495452,0.00014335438408486067,-0.07045999991800636,0.04131801827259911,0.0007759241457096724,0.1319800002835691,0.07156851902441119,0.00026399178685820266,0.13781999941077083
R25_B2_T_aux_mid,B_loss,lambda_T_aux=1.0 (pari L_data),OK,10,0.2399007784242325,0.1863703648856979,0.5594788789749146,0.0608662253027742,0.03419283568769928,10,36.18711677510688,1.2456876083891442,1.7435041241189266,0.5010573076123886,1.2150814067176048,0.0025439419231733608,1.5491483123497573e-06,0.0942100001834333,0.2930836491137743,0.001550602379371362,-0.06575999999418855,0.04480012711536251,0.00015619439750478128,-0.09270500005036593,0.035659587186913956,0.0007796569386263796,0.15156999927200376,0.06238869397062804,0.00027632842791349777,0.151259999955073
R25_B3_T_aux_high,B_loss,lambda_T_aux=10.0 (forte),OK,10,0.541833998516519,0.1736974159770823,0.5770019888877869,0.0479212863707637,0.03687809447143618,7,35.18131291612666,1.192858155420486,2.0171269019867517,0.3899142998964228,1.2794821490632726,0.015648172060224123,4.542101228864226e-06,0.06954000047408045,1.94619508767128,0.008500447997823308,-0.0572600005492568,0.06367995199537832,0.00016170366554067416,-0.05631500041857362,0.046871354515889786,0.0007487704160739157,0.13774999989569187,0.07297617703117427,0.00027743819326856404,0.13304499959759414
R25_C1_sr_off,C_spike_rate,lambda_sr=0.0 (off),OK,10,0.1819249575838763,0.1752790613694393,0.4404276013374328,0.0795698699917882,0.028519895405290558,10,35.97348441468908,1.2913121885441718,1.636077494697368,0.4341130989029052,1.38810381673752,0.0050331935331550505,1.8535475883680874e-06,0.08710999972559512,0.1643502840977162,0.0008858633569324814,-0.0836200003568083,0.03195781799702668,0.0001354664342925145,-0.063769999390468,0.03281066880626163,0.0007835882811923029,0.16495000015199185,0.06316610400890928,0.00027530965251931517,0.14742999977990984
R25_C2_sr_high,C_spike_rate,lambda_sr=5.0 (10×),OK,10,0.2048986608439937,0.1902498114021851,0.11310326308012,0.076047731781418,0.12297533211754039,10,40.06392798525222,1.1924783511364714,3.7840092689433,0.405648390504908,1.0827122993291691,0.0026649247297782027,1.437381603793142e-06,0.2232650003535673,0.33074675044231117,0.0007632994931772777,-0.20945000022277235,0.057596736405830545,0.00011794421915144537,-0.1723950000330806,0.08076727059646507,0.0009764812293578376,0.3261800001952797,0.11413210498112311,0.00040761363335327654,0.08599500002712011
