study,tag,n_ep,Tp_ep,Tp,val_data@Tp,val_phys@Tp,val_ou@Tp,val_bc@Tp,val_sr@Tp,val_total@Tp,spike@Tp,v0@Tp,T@Tp,s0@Tp,a@Tp,b@Tp,v0_std@Tp,T_std@Tp,s0_std@Tp,pd@Tp,lr_eff@Tp,vb_ep,val_data@vb,spike@vb,gn_max,gn_p99,spike_train_avg
R25_v2,R25v2_A2_seq_len_short,10,6,0.0081221153959631,0.2143511609633763,0.0509076856970787,0.0085054315899809,0.0016731419796002,0.0076440783152356,0.2253623817165692,0.0652150838871797,34.22426291402181,1.0384833099047344,1.230514252662659,0.3828894667625427,1.6229874407450358,2.0692141945759457,0.0670041582981745,0.0699191517258683,0.0201043111130272,0.0034729474881676,9,0.1820683800379435,0.0752582509815693,3043882763180428.0,10413150014.830008,0.06871918894723054
R25_v2,R25v2_A3_seq_len_long,10,9,0.0207997262477874,0.18690643063251,0.0367664087345784,0.0104156663304472,0.0003201647513335,0.0093813474250442,0.1961146939466608,0.053692535596325,30.74005163476822,1.3026278183815327,1.1953655557429537,0.4189913139698353,1.2911012933609334,2.6105312375312155,0.0973167338983175,0.0739024414859236,0.0223319930068438,0.000273273169447,10,0.1837669222595843,0.0585292702184078,3.608369270772241e+16,13.82197996471085,0.06249521156772968
R25_v2,R25v2_A4_delay_long,10,10,0.0148572167381644,0.187249879491456,0.038459016299965,0.0138745613871736,0.0016966212683655,0.0038020520451995,0.1953871562442881,0.0905783543402844,26.923389789905958,1.2138916165270703,1.3524617762007611,0.4588541881518161,1.2561070370547316,2.645884159476833,0.0869061340122146,0.0831885698395087,0.0125834471769655,1.2583447176965524e-08,10,0.187249879491456,0.0905783543402844,1615767513436700.0,9.990089773970505,0.09348334439098832
R25_v2,R25v2_A5_leak_slow,8,8,0.0285918209701776,0.1973877713639051,0.0449392032930924,0.0076209696881631,0.0013561392162805,0.0039795624628474,0.205608660077795,0.0887032928975655,39.54969682084753,0.9874374010461442,4.622985340179281,0.3531741010064774,1.2687024264893634,2.210260418342783,0.070695256200084,0.2634916539363404,0.019616022258937,0.0009365994652137,7,0.1954758623020446,0.0762271044696582,24461891346.632526,302039.7159388785,0.0660982744975222
R25_v2,R25v2_A6_combo_memory,7,6,0.0246819090098142,0.2041772768852558,0.0446615095468277,0.0088184499132268,0.0018631988104197,0.003812763705587,0.212853932158744,0.0898453121648189,26.597319227583863,1.139429942724553,1.2164973274190376,0.424958661198616,1.323997827286416,2.361225262601325,0.074742969323663,0.0672456235823003,0.016721132051037,0.0028885154646427,7,0.20095968301943,0.0999841140781311,1.610177443757262e+18,8947374418956.291,0.09552217300049957
R25_v2,R25v2_A1_baseline,10,10,0.0151893310248851,0.1805535644847662,0.0360956318488225,0.010617755058697,0.000986621618241,0.0060418416511272,0.1887015574314492,0.0763469724024229,33.96583361321307,1.2332826440638684,1.6321172219641664,0.4235796538439202,1.2675802752058556,2.224174058342234,0.0776971967177505,0.1868295210631604,0.0191814675869668,1.918146758696681e-08,10,0.1805535644847662,0.0763469724024229,21.79016568561076,8.546208059977005,0.0730706417225301
R25_v2,R25v2_B1_T_aux_low,10,10,0.0171567983925342,0.1798719524386081,0.0353942422637161,0.0057083162902656,0.005664976538723,0.0072858217655324,0.1987298875650827,0.0670619507102256,35.97686355671984,1.2183736391524052,1.4849794291435403,0.3961502917586489,1.1868128954096044,2.1764760905916387,0.0569274917126019,0.1361530739021428,0.0226852860364586,2.2685286036458677e-08,10,0.1798719524386081,0.0670619507102256,21.81158944281069,8.581509786672349,0.06569260194897648
R25_v2,R25v2_B2_T_aux_mid,9,9,0.0215506125241518,0.2109086162787168,0.0520653828626815,0.0053304158772857,0.0048381057774175,0.0088687682935492,0.288577112190901,0.0568287389432179,37.61629168530728,1.3263894408307175,1.451590914041438,0.4976695642826405,1.3728221299800467,1.748219518109839,0.0518837329991003,0.10720353032601,0.0181962755387782,0.0002226650298112,8,0.1818708223786125,0.0585516545564887,2.1984802967275987e+19,9.20215690527365e+17,0.05910375830531116
R25_v2,R25v2_B3_T_aux_high,8,7,0.0301009435206651,0.1853368621953624,0.0385231929137668,0.0103547179537696,0.0059510927191134,0.0117832638021122,0.5845795862693736,0.0417623850120667,32.63118799696577,1.1957337333166853,1.690693978299486,0.4363952185562316,1.229663146937147,2.341511734305544,0.0715359362595258,0.165702066602225,0.0213005947614486,0.0021951217342878,7,0.1853368621953624,0.0417623850120667,21829212572241.234,1434455201.8215506,0.04823639903217549
R25_v2,R25v2_C1_sr_off,7,4,0.0093527203425765,0.2052635300032635,0.0478372114953248,0.0085506429598528,0.0021309459198974,0.0081605729535519,0.212605729659504,0.0610761934534666,38.40038656681142,1.215385449693558,1.4555055245440056,0.4065754568957268,1.4576378528107987,1.3459659699112811,0.068165018381749,0.1085272163866048,0.0141785898653628,0.0046400086710904,7,0.1851140503632895,0.0511825557679255,1.8355184520017416e+19,39899604957.77177,0.06147083091083909
R25_v2,R25v2_C2_sr_high,10,8,0.0288677979260683,0.2006467463884582,0.0433321114520522,0.0100199614002547,0.0014915626985,0.0017685580690941,0.2158153106636823,0.1294884597288167,35.56657802297714,0.9005482469467406,3.628914063281201,0.378339077405473,1.1136480214747977,2.16081051270854,0.0744097791017687,0.3017069386675002,0.0152186718392416,0.0007266406877879,10,0.1856771735276313,0.1338915628321627,21.786159621896523,8.473869147091829,0.12787920590117574
