collided,min_gap,min_ttc,TET,TIT,max_DRAC,min_time_headway,rms_accel,max_decel,rms_jerk,rms_gap_error,mean_time_gap,mean_T_pred,string_gain,mode,scenario,driver,driver_type
False,15.034400619238518,16.14422165481901,0.0,0.0,0.02947532671249905,1.3434453166013878,0.17010506013164717,0.6272252798080444,2.520955350871904,1.0029631539512034,1.3553003298233302,1.1654114723205566,,oracle,following,0,urban
False,15.023725182436284,16.338645365375047,0.0,0.0,0.028972051085502194,1.3435657722569303,0.10834310569978105,0.4518655240535736,1.5901760580711934,2.3159068789506683,1.3582175437008956,1.0873550060391426,,normal,following,0,urban
False,15.05287123160899,17.69870048516537,0.0,0.0,0.02679449189349047,1.3435657722569303,0.17705554446024097,0.6023621559143066,2.611795627426122,1.360016480479401,1.4736440674928186,1.2491411113739013,,memoryless,following,0,urban
False,14.79045139880965,15.561129487691092,0.0,0.0,0.03134191068076094,1.3244563206111801,0.19353489503038843,0.7002573609352112,2.9147439530638204,1.3491446068525126,1.3408439807938817,1.0820472958683967,,hybrid,following,0,urban
False,2.6453450059725716,1.8078668704215053,0.0,0.0,1.3647200665918855,1.1897016384009846,1.4353501261604873,3.038208484649658,0.9088035245308874,8.651531026729652,2.234022503757201,1.1654114723205566,,oracle,stop_and_go,0,urban
False,2.54679445657109,1.9865090947977184,0.0,0.0,1.2260785792233,1.1869634485767822,1.2369538288180844,3.3489112854003906,1.2859910760889603,10.90725888208625,2.492923157240632,1.25219422797362,,normal,stop_and_go,0,urban
False,2.981431583000539,2.115521627137628,0.0,0.0,1.210510452155837,1.158809488168871,1.2573813554598434,2.7408952713012695,0.9478194540429635,9.565357151001539,2.503699928042287,1.3231335081656774,,memoryless,stop_and_go,0,urban
False,2.6713251642014986,2.009029255834831,0.0,0.0,1.2614942629303556,1.1460987422249282,1.2779148762114314,2.7323977947235107,1.2328504217130594,9.239255710777144,2.3949897939259603,1.2420541641116143,,hybrid,stop_and_go,0,urban
False,1.9533250141788554,1.5781383067911252,0.0,0.0,1.962581185141325,1.3435657722569303,0.7535651043388162,5.015089988708496,0.7598967702210481,1.8453534344157323,1.7896582852134564,1.1654114723205566,,oracle,hard_brake,0,urban
False,1.93408044375394,1.5027012335515266,0.0,0.0,2.09390308645057,1.3220727110553732,0.7847898057646654,5.530465602874756,1.2592567194767326,4.947117056893119,1.7470712611794186,1.166551836927732,,normal,hard_brake,0,urban
False,2.2248227698184535,1.747357411979365,0.0,0.0,1.8162476045676657,1.3435657722569303,0.7485809891101014,5.412318229675293,0.9181691669102142,2.6429905616841993,1.9634003107369085,1.2613220236698786,,memoryless,hard_brake,0,urban
False,1.9601694349969783,1.6080035040850584,0.0,0.0,1.8910683343354373,1.330960138836738,0.7795395031780958,5.6047844886779785,1.7042504183589746,2.478456343923941,1.8508548905112117,1.1656579506397247,,hybrid,hard_brake,0,urban
False,4.891769542694091,1.4964961194655395,0.1,0.0003503880534460491,1.3395843485568733,0.5344628998091211,0.6693942692295733,7.396903038024902,3.1281921918402045,1.6401901031678807,1.3670393134800887,1.1654114723205566,,oracle,cut_in,0,urban
False,4.591661425554559,1.4975030142755903,0.1,0.0002496985724409706,1.3377835280527688,0.5345912747427143,0.5585840978815428,6.596344470977783,2.9124447026261038,3.082143630971794,1.3368272646766377,1.0996905623873074,,normal,cut_in,0,urban
False,4.720585823179347,1.496505051922118,0.1,0.00034949480778820877,1.339568356972615,0.5344640391487007,0.6253494971818453,6.715142250061035,2.8349716145844206,2.1779764579921426,1.5113743029652464,1.2709508148829143,,memoryless,cut_in,0,urban
False,4.71164087923011,1.4980299095841687,0.1,0.00019700904158312938,1.3368426284090253,0.5346584074881927,0.6105502219001724,6.695862293243408,3.0978782694055447,2.023807055222294,1.3542028915593747,1.1042601401607195,,hybrid,cut_in,0,urban
