tag,axis,n_ep,val_total_best,val_data_best,val_phys_best,val_ou_best,spike_rate_best,val_T_tracking_corr_best,val_T_intra_std_best,val_v0_pred_mean_best,val_T_pred_mean_best,val_s0_pred_mean_best,val_a_pred_mean_best,val_b_pred_mean_best,val_v0_intra_std_best,val_s0_intra_std_best,val_a_intra_std_best,val_b_intra_std_best,best_ep
R25_A1_baseline_replica,BASELINE,10,0.1953774578473035,0.1831148673800078,0.0368592392682949,0.0158131792150596,0.0343797590652916,0.3527218401432037,0.0884400228870676,30.68177780191949,1.0634507175455703,3.6434781208951423,0.4254275010304248,1.3345628095434068,2.931438530379153,0.2364110179304918,0.0510400429847651,0.1335955883990577,10
R25_A2_seq_len_short,A_memory,10,0.1781707889130038,0.1678155373060895,0.0328764708367206,0.0147458844397577,0.0434513797983527,0.2895278036594391,0.0902146919960937,38.40421602187618,1.2055716368459886,3.81181867430287,0.3842899571503362,1.403806480669206,1.7643220095624847,0.2135522276358378,0.0379476521247428,0.1585225924609168,10
R25_A3_seq_len_long,A_memory,10,0.184488057614641,0.1738091660465331,0.0319572255074819,0.008254270861916,0.0474165764419322,0.3923378586769104,0.095416114566491,34.416523933410645,1.207902174046699,3.301285195857921,0.3966978956410225,1.344246930264412,2.002818455721469,0.2326769155073673,0.0660497075215507,0.1612326919715455,10
R25_A4_delay_long,A_memory,10,0.179997254440442,0.1707594545676987,0.0325455225092616,0.012480626888375,0.0585426984929499,0.4422426521778106,0.0885878809668282,38.151837135883085,1.2987824716466538,1.209691033718434,0.4109715253431746,1.280919189782853,1.542243330759254,0.0660457983390091,0.043587753066528,0.1605505098370795,10
R25_A5_leak_slow,A_memory,10,0.2070960130819931,0.1954934710161166,0.0441486254975972,0.0064099910830028,0.038427237015059,0.2808755040168762,0.0582054705814795,36.02508428248953,1.2682850538416113,1.7057842580561942,0.3760772802411242,1.1666533788467974,2.487737054203419,0.1981301822085329,0.0439528922749772,0.1257433438713246,3
R25_A6_combo_memory,A_memory,10,0.1846133173304669,0.175077940872375,0.0325852580507226,0.0106058319376662,0.0532653214449578,0.2003270536661148,0.101566551490984,30.010742491864143,1.1462507254265724,3.561230740648635,0.3739577122825257,1.1703662333336282,2.6191189117888185,0.3210008852976433,0.0532786954879176,0.1991464865017444,10
R25_B1_T_aux_low,B_loss,10,0.1897758006296576,0.1744012792218238,0.0345176208969899,0.0077944494885432,0.041642486058334,0.5000502467155457,0.0644285427208276,39.72832899905266,1.24141289769335,1.816612848576079,0.3981227356385677,1.1849938405955092,1.4402324197259038,0.2433664633080046,0.0469636597627587,0.1352028282398873,9
R25_B2_T_aux_mid,B_loss,10,0.2399007784242325,0.1863703648856979,0.039102792868668,0.0077513772319318,0.0261639599153336,0.5594788789749146,0.0608662253027742,36.18711677510688,1.2456876083891442,1.7435041241189266,0.5010573076123886,1.2150814067176048,2.92234572641393,0.2771307113481329,0.0859079307540904,0.1438284733511032,10
R25_B3_T_aux_high,B_loss,10,0.541833998516519,0.1736974159770823,0.0337882195128762,0.0039959897403605,0.0339953566386186,0.5770019888877869,0.0479212863707637,35.18131291612666,1.192858155420486,2.0171269019867517,0.3899142998964228,1.2794821490632726,2.540382758575551,0.2622487441180868,0.0538092667400323,0.1524833521231058,7
