epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s
1,0.7374276161978119,0.6676954528218821,0.5600991637887139,0.2744449106376435,0.0,0.01428535786016207,0.3248611384249748,0.31451647538453975,0.10318443765665622,0.0005243777235823762,0.0,0.014008247779008555,0.0004110331534847892,5.0431523588142895,0.03171665488960261,206.583571434021
2,0.2542894581038701,0.2477791579146134,0.06509905688366607,7.935691375774025e-06,0.0,0.011525020939543058,0.24016624609840678,0.23448725060579625,0.05678720054949852,5.6064157414515105e-06,0.0,0.010973906818222492,0.0009451659653397465,0.34403306722739024,0.04537856364820866,206.98195886611938
3,0.23543389404290602,0.2297920876035565,0.05641533413803891,5.516602169863242e-06,0.0,0.010927080706154045,0.22793823226969293,0.22277033963101975,0.0516754547728503,6.97233814846302e-06,0.0,0.010485161214749864,0.0015519101429749846,0.08221096162145075,0.047738983632719265,205.97943496704102
4,0.22357563231336444,0.2185014436511617,0.05073704628862048,9.7116393877322e-06,0.0,0.010299528360758958,0.22802527835394473,0.22284073461877538,0.051823799676717595,4.32887772671591e-05,0.0,0.010238513875594164,0.0019467253815796165,0.0622398461717622,0.04897035468131938,206.90667390823364
5,0.2280302242620995,0.22273467488979037,0.05294918647330058,1.2641867227246525e-05,0.0,0.009417343178862019,0.22734234593016037,0.22219967429942272,0.05139589763464446,6.164466518829942e-05,0.0,0.009173076149036593,0.0019886063035814703,0.056972716180117504,0.05447268180866191,205.22576141357422
6,0.21624947660847715,0.21144168639653607,0.04792887524358536,0.0002980644792555004,0.0,0.009401507202633901,0.22870058709002555,0.22352867684465774,0.05171641360651305,5.431301065556831e-06,0.0,0.0032960877882594122,0.0019003842154692986,0.09013410619901199,0.09358487381262982,203.78981494903564
7,0.2206347475710668,0.21565912507082285,0.04975325934784977,5.989663371732795e-06,0.0,0.007446515049148155,0.2276600347237384,0.22252142762250088,0.051383391557697285,5.432312897763505e-06,0.0,0.005340040859548335,0.001732247892930059,0.05825435630241899,0.07738559617799648,202.84363842010498
8,0.2263140154512305,0.22105515536509063,0.05258522618954119,6.796695992019713e-06,0.0,0.006922797507018243,0.22707517413382836,0.221936785477273,0.05138103377589203,5.755848362357628e-06,0.0,0.006839742388655531,0.0014991369860754612,0.06561456235297221,0.06762613566156397,204.04855108261108
9,0.21698294697623505,0.2121226968733888,0.04859972316281576,5.6178086580123486e-06,0.0,0.006713299391987292,0.22695795113736011,0.2218385216720561,0.05119157525056854,5.49837683196374e-06,0.0,0.0065906937580872725,0.0012217644219699013,0.07235487313745054,0.06918053566775423,205.48549461364746
10,0.21753420025894515,0.2126737093847049,0.048601445879199005,6.979611180213397e-06,0.0,0.006959886638153541,0.2265662764932247,0.2214466358752961,0.05119359104874286,5.686690762578361e-06,0.0,0.006700804670083713,0.0009247759701636075,0.08668888826413375,0.06849729491675154,204.43987441062927
11,0.22476774034531494,0.21958650538795874,0.05180963592505769,5.485900469705628e-06,0.0,0.007043080553902607,0.2258993464105941,0.22081543394225708,0.050836430783284474,5.445521455453188e-06,0.0,0.006516975578554767,0.0006345603579119217,0.11756540495706232,0.06965421409683024,204.05421113967896
12,0.2191644991699018,0.21419322922041542,0.04970992588389077,5.606655651335084e-06,0.0,0.0071943068227387575,0.22601637149110754,0.22092636008845998,0.050897421543189186,5.457741585911556e-06,0.0,0.00692568658950164,0.0003769045159536446,0.10928432030211153,0.0671401071817951,203.1802864074707
13,0.21719512676722125,0.21232007208623385,0.04874778698737684,5.5744853996561446e-06,0.0,0.006837979816880666,0.22583367445684494,0.22074853866658312,0.050847617354481775,7.524034775455453e-06,0.0,0.007833363191085928,0.00017470229655080745,0.12714906119447397,0.061897973787594346,203.5742814540863
14,0.21645017466262767,0.2116885952259365,0.04761293596637092,5.7820696096505826e-06,0.0,0.007520676092979939,0.22557758722216525,0.22050791122811905,0.05069394180788956,5.674374530459085e-06,0.0,0.007504233292878625,4.592025424717672e-05,0.12699460156359954,0.0638330442870551,203.3209366798401
15,0.222445344807286,0.21735131642536112,0.05093750080191775,5.613877948761863e-06,0.0,0.007497935938207727,0.2254252864959392,0.22036458813446633,0.050604090362073896,5.834498619577139e-06,0.0,0.007492315118260523,2.0012386521138383e-06,0.13866199674084784,0.06390404443633049,202.50002264976501
