epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff,val_T_tracking_corr,val_T_intra_corr,val_v0_pred_mean,val_T_pred_mean,val_s0_pred_mean,val_a_pred_mean,val_b_pred_mean,val_v0_intra_std,val_T_intra_std,val_s0_intra_std,val_a_intra_std,val_b_intra_std
1,1.2269901573657989,0.9404701748490334,1.0501896282285452,0.03357146696187556,0.1785098636598559,0.0026251596841029823,0.31248435679268327,0.2997480291635432,0.09833917911461693,0.01969276734707045,0.0005820675522050186,0.0026714079515628287,0.48776415354553027,16157683020027.668,0.09966256667641883,220.78843116760254,0.008434363478938032,0.008434363478938032,0.004113980162999543,-0.03483003005385399,0.0038463925011456013,30.71062000761641,0.9689128849100559,1.1686536263912282,0.6300805066811278,0.5786011656548115,2.2318106230269086,0.10496737689096877,0.06370065057590762,0.15582648886645095,0.059865530699174455
2,0.28866390362381933,0.2740322870761156,0.08814586718566715,0.015259981914423406,0.004041628730662978,0.0020248002011794596,0.2645929177549291,0.25450133132015135,0.08056202902894546,0.012485580823503118,2.7629130594679333e-05,0.0027669534450824166,0.4522543440852397,0.4341388311609626,0.09896783657530521,220.89427709579468,0.012583447176965525,0.012583447176965525,0.0056909186493498045,-0.006018202751874924,0.00441737612709403,33.00312163981985,1.0377395441557498,1.1673419386782544,0.30901781707368,0.9276833689593255,2.031052647435919,0.1054163571605657,0.048320488444470025,0.017962918814985043,0.10984519754159958
3,0.26573007881641386,0.2549814418703318,0.07082783359102905,0.015121727436780929,0.0011772927959236767,0.003464947855100036,0.23270074171113206,0.22255612299480337,0.060134461389834734,0.012792416412304056,0.001714263238198405,0.0035545750514311874,0.3969465191804922,0.5982954502105713,0.0916368971638223,221.4080729484558,0.012583447176965525,0.012583447176965525,0.004994955556188056,0.06364388763904572,0.005962176714092493,29.299777304872553,1.086116223576221,1.2411991243666791,0.35468088137976667,0.9655360963116301,2.3752509003624005,0.0822893605626961,0.06112677545504684,0.03601032506644805,0.10094821853365035
4,0.2342756436765194,0.2255588997155428,0.05564547661691904,0.013884448260068894,0.0009532322229460988,0.0030094847886357455,0.22437120359787283,0.21334559716125753,0.0511292351280993,0.015254327819306166,0.0034638543288891964,0.003372222422764567,0.3272545940852397,0.695943087041378,0.09387650562727705,221.40738201141357,0.012583447176965525,0.012583447176965525,0.004117990898090908,0.10451986640691757,0.005596681497991085,29.729526286429547,1.179838421496939,1.2344733990253287,0.46706001286176924,1.607937957378144,2.7577568955243903,0.08774082437950245,0.060275825898489975,0.03848363693736672,0.1659399263877818
5,0.23111308246850967,0.22221601746976374,0.05451656614430249,0.011111972541548311,0.0012246964722453413,0.0033302238944452256,0.2310281329332514,0.21731009936713158,0.05118885888975668,0.008855844676950352,0.006186587506895291,0.003939536430172008,0.25000050000000007,2.863118894547224,0.08964884273232297,219.34470534324646,0.012583447176965525,0.012583447176965525,0.0031458680859649704,0.13538290560245514,0.007275970187038183,27.995069001583342,0.9740322663428935,1.3464574002205056,0.44765488692420596,1.2027147206220221,2.65594742827593,0.07036025528895094,0.07956234993910952,0.035943191748996704,0.1356332653221932
6,0.22549951307475566,0.21694271616637706,0.0507639342918992,0.01073149399831891,0.0011648133399330617,0.003558031702414155,0.21691846780161908,0.2019589495785693,0.0469496820265665,0.011473974572157765,0.007626982628162876,0.004127735883539959,0.1727464059147604,0.6898449763655663,0.08810126149353195,215.03188586235046,0.012583447176965525,0.012583447176965525,0.0021737452738390325,0.18609903752803802,0.005456505808979273,27.196057603714316,1.1917023557297728,1.4096639004159481,0.39583338511751054,1.1970497918255785,2.6526217230773987,0.08395935912081536,0.09371346605544108,0.030448135577628026,0.13303603220017665
7,0.2143632484227419,0.20591669104993343,0.04634076529182494,0.01184366867877543,0.001228108283099907,0.0039843767648562785,0.20395082873391343,0.19542802620599878,0.042882106467546456,0.010165333715663787,0.001739072479844534,0.003974504079025714,0.10305448081950792,0.6446353729069233,0.08894895980174237,215.27803993225098,0.012583447176965525,0.012583447176965525,0.0012967806157418848,0.2527046203613281,0.012393597513437271,27.32939739937478,1.2526942294962862,1.3432591519457229,0.40504323310674506,1.4287733346857923,2.510973741558004,0.07865297723006695,0.07898285524657075,0.036074583443591345,0.15017550779466934
8,0.20230222277343274,0.19468946248292923,0.0413440170371905,0.01116445601452142,0.0012062055522267202,0.0034278615924995394,0.20154742341726384,0.1923683086370534,0.04117997327046667,0.01149353238833236,0.0024696484140615716,0.0040335862863588425,0.04774665591476037,0.6332775849103928,0.08839225610519977,214.77696824073792,0.012583447176965525,0.012583447176965525,0.0006008175225801356,0.25655829906463623,0.011015625670552254,26.13476218568518,1.1919780912551474,1.3697965886998684,0.40379168505364277,1.339461661399679,2.715156636815122,0.08294637869805732,0.08546333339317959,0.038094887639980445,0.14269155105377765
9,0.2003068370372057,0.19267939224839212,0.03984123854897916,0.012078276462852955,0.001191720812139323,0.003695373648079112,0.2018940494732654,0.19374106241826047,0.041989543660979796,0.010951688488390534,0.0014467571535100375,0.003919381843514473,0.012236846454469768,0.594121144413948,0.08956800627106047,214.64737010002136,0.012583447176965525,0.012583447176965525,0.0001539817109724582,0.28930404782295227,0.012330591678619385,27.40051897535933,1.225001941335962,1.3413520658269842,0.4907811895963993,1.1925933082053002,2.611353003281228,0.07900005131167301,0.0809963303779133,0.059278079083479165,0.13071801687808746
10,0.2012599928677082,0.19325252093374728,0.04089339068159461,0.011495571918785571,0.0014801650294975844,0.0037263780471403153,0.1953871562442881,0.18724987949145602,0.03845901629996506,0.013874561387173672,0.0016966212683655613,0.0038020520451995097,1e-06,0.7777150681614876,0.09057835434028443,215.01118206977844,0.012583447176965525,0.012583447176965525,1.2583447176965524e-08,0.28882041573524475,0.014857216738164425,26.923389789905954,1.2138916165270703,1.3524617762007611,0.4588541881518161,1.2561070370547316,2.645884159476833,0.08690613401221468,0.08318856983950877,0.05510271356522819,0.13686040329172255
