key,sweep,arm,family,optimizer,scheduler,lr,spectral_lambda,spectral_target,rank,decode_on,seed,cache,common_val,budget_ep,ran_ep,aborted,has_diag,val_data_min,val_data_final3,nrmse_mean,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b,time_total_s,final_spectral_radius,final_spike_rate
BigSweep2/P1_lr5e3_t06,BigSweep2,P1_lr5e3_t06,AdamW_decodeOFF,adamw,cosine_no_restart,0.005,1.0,0.6,,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2141,0.224,0.343,0.42,0.294,0.349,0.304,0.346,7597.5,0.644,0.205
Study/PEAK_SINGLECYCLE,Study,PEAK_SINGLECYCLE,BPTT_champion,prodigy,cosine_no_restart,0.5,0.0,nan,8,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,16,True,False,0.2144,0.2496,0.255,0.326,0.201,0.192,0.278,0.275,2180.1,,0.107
BigSweep/BPTT_REF,BigSweep,BPTT_REF,BPTT_champion,prodigy,cosine_no_restart,0.5,0.0,1.5,8,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,16,True,True,0.2144,0.2496,0.255,0.326,0.201,0.192,0.278,0.275,2220.9,22.043,0.107
BigSweep2/P1_lr5e3_t07,BigSweep2,P1_lr5e3_t07,AdamW_decodeOFF,adamw,cosine_no_restart,0.005,1.0,0.7,,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2148,0.2242,0.301,0.284,0.301,0.354,0.246,0.322,3785.0,0.758,0.189
BigSweep2/P2_lr2e3_t07_r16,BigSweep2,P2_lr2e3_t07_r16,AdamW_decodeON,adamw,cosine_no_restart,0.002,1.0,0.7,16,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2149,0.2343,0.198,0.224,0.147,0.192,0.253,0.176,3744.9,0.736,0.202
BigSweep2/P2_lr3e3_t06_r16,BigSweep2,P2_lr3e3_t06_r16,AdamW_decodeON,adamw,cosine_no_restart,0.003,1.0,0.6,16,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.215,0.2161,0.203,0.185,0.209,0.133,0.237,0.248,3722.8,0.62,0.187
BigSweep2/P2_lr3e3_t06_r8,BigSweep2,P2_lr3e3_t06_r8,AdamW_decodeON,adamw,cosine_no_restart,0.003,1.0,0.6,8,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.215,0.2155,0.209,0.18,0.262,0.105,0.217,0.281,3740.7,0.614,0.152
BigSweep2/P2_lr3e3_t05_r16,BigSweep2,P2_lr3e3_t05_r16,AdamW_decodeON,adamw,cosine_no_restart,0.003,1.0,0.5,16,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2153,0.2258,0.205,0.173,0.195,0.177,0.24,0.238,3739.9,0.508,0.191
BigSweep/ADAM_lr3e3_t08,BigSweep,ADAM_lr3e3_t08,AdamW_decodeOFF,adamw,cosine_no_restart,0.003,1.0,0.8,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2161,0.2193,0.285,0.254,0.285,0.354,0.262,0.27,5657.6,0.821,0.17
BigSweep3/A_lr15e2_t05_r16,BigSweep3,A_lr15e2_t05_r16,AdamW_decodeON,adamw,cosine_no_restart,0.015,1.0,0.5,16,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2161,0.2198,0.209,0.164,0.238,0.122,0.238,0.283,3756.8,0.642,0.219
