key,sweep,arm,family,optimizer,scheduler,lr,spectral_lambda,spectral_target,rank,decode_on,seed,cache,common_val,budget_ep,ran_ep,aborted,has_diag,val_data_min,val_data_final3,nrmse_mean,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b,time_total_s,final_spectral_radius,final_spike_rate
Spectral/SPEC_REF_noconstraint,Spectral,SPEC_REF_noconstraint,Spectral_sweep,adamw,cosine_no_restart,0.002,0.0,1.5,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,7,True,True,0.2721,0.2819,0.301,0.229,0.303,0.261,0.324,0.391,531.7,2.868,0.153
Spectral/SPEC_l05_t20,Spectral,SPEC_l05_t20,Spectral_sweep,adamw,cosine_no_restart,0.002,0.5,2.0,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,6,True,True,0.2777,0.3806,0.302,0.174,0.392,0.193,0.274,0.476,457.7,2.579,0.17
Spectral/SPEC_l100_t20,Spectral,SPEC_l100_t20,Spectral_sweep,adamw,cosine_no_restart,0.002,10.0,2.0,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,7,True,True,0.2777,0.3776,0.341,0.3,0.395,0.197,0.305,0.508,526.7,2.343,0.16
Spectral/SPEC_l100_t25,Spectral,SPEC_l100_t25,Spectral_sweep,adamw,cosine_no_restart,0.002,10.0,2.5,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,7,True,True,0.2777,0.3362,0.316,0.239,0.367,0.232,0.315,0.425,529.7,2.537,0.176
Spectral/SPEC_l10_t25,Spectral,SPEC_l10_t25,Spectral_sweep,adamw,cosine_no_restart,0.002,1.0,2.5,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,7,True,True,0.2777,0.3584,0.276,0.275,0.197,0.224,0.345,0.337,529.8,2.685,0.18
Spectral/SPEC_l30_t20,Spectral,SPEC_l30_t20,Spectral_sweep,adamw,cosine_no_restart,0.002,3.0,2.0,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,7,True,True,0.2777,0.3035,0.298,0.352,0.193,0.209,0.33,0.405,530.0,2.771,0.169
Spectral/SPEC_l30_t25,Spectral,SPEC_l30_t25,Spectral_sweep,adamw,cosine_no_restart,0.002,3.0,2.5,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,7,True,True,0.2777,0.3099,0.296,0.314,0.265,0.262,0.343,0.295,528.6,2.689,0.179
BigSweep/PE_axis_lr03,BigSweep,PE_axis_lr03,ProdigyEvent,prodigy_event,cosine_no_restart,0.3,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,25,True,True,0.2886,0.3186,0.351,0.467,0.242,0.353,0.308,0.385,1898.7,1.837,0.173
BigSweep/PE_bd03_gp002,BigSweep,PE_bd03_gp002,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2951,0.2951,0.2,0.288,0.156,0.152,0.251,0.152,3718.7,0.524,0.202
BigSweep/PE_bd03_gp0,BigSweep,PE_bd03_gp0,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.3275,0.3277,0.207,0.256,0.176,0.187,0.265,0.151,3749.5,0.31,0.207
BigSweep/PE_bd05_gp002,BigSweep,PE_bd05_gp002,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,17,True,True,0.3276,0.5613,0.458,0.559,0.37,0.38,0.387,0.594,1308.4,5.915,0.266
BigSweep/PE_axis_pp40,BigSweep,PE_axis_pp40,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,9,True,True,0.3351,0.5805,0.423,0.56,0.37,0.371,0.388,0.425,696.7,17.051,0.274
Study/EVP_PRODIGYEVENT_PROBE,Study,EVP_PRODIGYEVENT_PROBE,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.0,nan,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,4,True,False,0.3438,1.0068,0.47,0.506,0.658,0.371,0.388,0.425,381.0,,0.228
BigSweep2/PE_t05_gp0002,BigSweep2,PE_t05_gp0002,ProdigyEvent,prodigy_event,cosine_no_restart,0.3,1.0,0.5,16,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.346,0.3502,0.152,0.187,0.137,0.094,0.231,0.109,3734.4,0.27,0.203
Study/EVP_PRODIGYEVENT,Study,EVP_PRODIGYEVENT,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.0,nan,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,4,True,False,0.3481,0.4818,0.454,0.56,0.37,0.371,0.387,0.583,385.1,,0.655
BigSweep/PE_bd05_gp0,BigSweep,PE_bd05_gp0,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.3484,0.4473,0.431,0.56,0.37,0.371,0.388,0.467,3731.5,1.181,0.321
BigSweep/PE_bd05_gp0005,BigSweep,PE_bd05_gp0005,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.3551,0.6125,0.51,0.557,0.643,0.371,0.388,0.593,3743.3,1.984,0.279
BigSweep/PE_axis_lr10,BigSweep,PE_axis_lr10,ProdigyEvent,prodigy_event,cosine_no_restart,1.0,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,12,True,True,0.3593,0.5929,0.531,0.56,0.496,0.616,0.388,0.594,928.5,4.997,0.273
BigSweep/PE_bd07_gp002,BigSweep,PE_bd07_gp002,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,10,True,True,0.36,0.5637,0.457,0.56,0.37,0.371,0.388,0.594,870.2,22.921,0.401
BigSweep/PE_bd07_gp0005,BigSweep,PE_bd07_gp0005,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,9,True,True,0.361,0.6375,0.501,0.546,0.657,0.371,0.386,0.544,702.6,11.75,0.178
BigSweep/PE_bd07_gp0,BigSweep,PE_bd07_gp0,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,8,True,True,0.3619,0.5584,0.389,0.221,0.37,0.371,0.388,0.594,672.5,14.86,0.373
Study/EVP_PE_PROBE_LSR,Study,EVP_PE_PROBE_LSR,AdamW_decodeOFF,prodigy_event,cosine_no_restart,0.5,0.0,nan,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,4,True,False,0.3673,0.5748,0.326,0.376,0.297,0.371,0.31,0.274,371.8,,0.172
BigSweep/PE_bd03_gp0005,BigSweep,PE_bd03_gp0005,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.401,0.4551,0.197,0.232,0.186,0.141,0.247,0.178,3746.3,0.225,0.207
BigSweep3/DS_widebig,BigSweep3,DS_widebig,Dataset,adamw,cosine_no_restart,0.007,1.0,0.5,16,True,42,data/cache_ds_widebig.pt,False,50,50,False,True,0.4251,0.4262,0.406,0.312,0.35,0.489,0.459,0.419,4178.2,0.505,0.221
BigSweep/PE_axis_pp15,BigSweep,PE_axis_pp15,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.4284,0.4299,0.202,0.239,0.209,0.155,0.234,0.173,3723.1,0.17,0.204
BigSweep3/DS_wide,BigSweep3,DS_wide,Dataset,adamw,cosine_no_restart,0.007,1.0,0.5,16,True,42,data/cache_ds_wide.pt,False,50,50,False,True,0.4322,0.4328,0.438,0.434,0.324,0.554,0.446,0.432,4162.9,0.52,0.226
BigSweep/PE_axis_gr101,BigSweep,PE_axis_gr101,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.4349,0.4729,0.221,0.207,0.226,0.258,0.243,0.171,3720.4,0.147,0.21
BigSweep3/DS_narrow,BigSweep3,DS_narrow,Dataset,adamw,cosine_no_restart,0.007,1.0,0.5,16,True,42,data/cache_ds_narrow.pt,False,50,50,False,True,0.4902,0.4976,0.321,0.271,0.218,0.327,0.467,0.322,4174.0,0.5,0.172
BigSweep/PE_axis_gr105,BigSweep,PE_axis_gr105,ProdigyEvent,prodigy_event,cosine_no_restart,0.5,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,6,True,True,0.5072,0.5637,0.457,0.56,0.37,0.371,0.388,0.594,461.1,4.653,0.354
