arm,role,collision_rate,mean_min_gap,mean_max_decel,mean_rms_jerk
EVP_ADAMW_LSR,SNN,0.06,12.169,4.016,1.585
EVP_PE_PROBE_LSR,oracolo,0.0,12.607,4.083,1.898
EVP_PE_PROBE_LSR,SNN,0.2,9.43,4.236,2.131
EVP_PRODIGYEVENT,oracolo,0.0,12.607,4.083,1.898
EVP_PRODIGYEVENT,SNN,0.2,8.858,4.26,2.157
EVP_PRODIGYEVENT_PROBE,oracolo,0.0,12.607,4.083,1.898
EVP_PRODIGYEVENT_PROBE,SNN,0.2,9.94,4.151,2.003
P2_lr2e3_t05_r16,oracolo,0.0,12.607,4.083,1.898
P2_lr2e3_t05_r16,SNN,0.06,11.813,4.006,1.649
P2_lr2e3_t05_r8,oracolo,0.0,12.607,4.083,1.898
P2_lr2e3_t05_r8,SNN,0.01,12.046,4.014,1.628
P2_lr2e3_t06_r16,oracolo,0.0,12.607,4.083,1.898
P2_lr2e3_t06_r16,SNN,0.04,12.137,4.0,1.614
P2_lr2e3_t06_r8,oracolo,0.0,12.607,4.083,1.898
P2_lr2e3_t06_r8,SNN,0.02,12.14,4.01,1.612
P2_lr2e3_t07_r16,oracolo,0.0,12.607,4.083,1.898
P2_lr2e3_t07_r16,SNN,0.06,11.844,3.995,1.646
P2_lr2e3_t07_r8,oracolo,0.0,12.607,4.083,1.898
P2_lr2e3_t07_r8,SNN,0.01,12.127,4.014,1.607
P2_lr3e3_t05_r16,oracolo,0.0,12.607,4.083,1.898
P2_lr3e3_t05_r16,SNN,0.05,12.056,4.002,1.607
P2_lr3e3_t05_r8,oracolo,0.0,12.607,4.083,1.898
P2_lr3e3_t05_r8,SNN,0.03,12.064,4.011,1.613
P2_lr3e3_t06_r16,oracolo,0.0,12.607,4.083,1.898
P2_lr3e3_t06_r16,SNN,0.05,12.027,3.991,1.611
P2_lr3e3_t06_r8,oracolo,0.0,12.607,4.083,1.898
P2_lr3e3_t06_r8,SNN,0.01,12.321,4.012,1.606
P2_lr3e3_t07_r16,oracolo,0.0,12.607,4.083,1.898
P2_lr3e3_t07_r16,SNN,0.04,11.985,4.012,1.618
P2_lr3e3_t07_r8,oracolo,0.0,12.607,4.083,1.898
P2_lr3e3_t07_r8,SNN,0.0,12.187,4.022,1.605
PEAK_BASELINE,oracolo,0.0,12.607,4.083,1.898
PEAK_BASELINE,SNN,0.0,12.559,4.127,1.867
PEAK_SINGLECYCLE,oracolo,0.0,12.607,4.083,1.898
PEAK_SINGLECYCLE,SNN,0.0,13.035,4.062,1.679
PE_axis_gr101,oracolo,0.0,12.607,4.083,1.898
PE_axis_gr101,SNN,0.0,10.712,4.105,1.838
PE_axis_gr105,oracolo,0.0,12.607,4.083,1.898
PE_axis_gr105,SNN,0.06,10.028,4.258,1.998
PE_axis_lr03,oracolo,0.0,12.607,4.083,1.898
PE_axis_lr03,SNN,0.2,12.047,3.959,1.505
