arm,scenario,n,data,phys,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b
ADAM_lr3e3_t08,launch,102,0.2408,0.0598,0.279,0.314,0.346,0.206,0.294
ADAM_lr3e3_t08,mixed,19,0.251,0.0666,0.482,0.129,0.327,0.198,0.129
ADAM_lr3e3_t08,truck,26,0.1334,0.0185,0.489,0.119,0.486,0.041,0.354
ADAM_lr3e3_t08,urban,47,0.2659,0.0727,0.497,0.11,0.172,0.327,0.19
ADAM_lr3e3_t10,freeflow,50,0.1743,0.0324,0.141,0.511,0.127,0.284,0.46
ADAM_lr3e3_t10,highway,56,0.1758,0.0326,0.227,0.142,0.239,0.306,0.139
ADAM_lr3e3_t10,launch,102,0.2645,0.0731,0.218,0.3,0.163,0.196,0.262
ADAM_lr3e3_t10,mixed,19,0.2381,0.06,0.449,0.119,0.161,0.221,0.096
ADAM_lr3e3_t10,truck,26,0.1225,0.0157,0.434,0.112,0.299,0.026,0.285
ADAM_lr3e3_t10,urban,47,0.2624,0.0735,0.503,0.107,0.053,0.328,0.195
ADAM_lr3e3_t12,freeflow,50,0.178,0.0333,0.149,0.475,0.07,0.313,0.534
ADAM_lr3e3_t12,highway,56,0.1653,0.0289,0.204,0.119,0.082,0.309,0.232
ADAM_lr3e3_t12,launch,102,0.2795,0.0804,0.178,0.308,0.105,0.193,0.334
ADAM_lr3e3_t12,mixed,19,0.2363,0.0587,0.352,0.122,0.088,0.201,0.144
ADAM_lr3e3_t12,truck,26,0.1185,0.0145,0.375,0.11,0.165,0.034,0.372
ADAM_lr3e3_t12,urban,47,0.272,0.0781,0.35,0.108,0.059,0.308,0.179
ADAM_lr3e3_t14,freeflow,50,0.2021,0.0418,0.341,0.535,0.415,0.324,0.473
ADAM_lr3e3_t14,highway,56,0.1695,0.03,0.31,0.133,0.222,0.306,0.139
ADAM_lr3e3_t14,launch,102,0.2902,0.0873,0.415,0.344,0.21,0.211,0.279
ADAM_lr3e3_t14,mixed,19,0.2369,0.0591,0.528,0.132,0.165,0.211,0.109
ADAM_lr3e3_t14,truck,26,0.1441,0.0212,0.529,0.124,0.322,0.03,0.282
ADAM_lr3e3_t14,urban,47,0.2686,0.075,0.526,0.114,0.061,0.337,0.231
ADAM_lr5e4_t08,freeflow,50,0.1957,0.0405,0.188,0.483,0.101,0.285,0.531
ADAM_lr5e4_t08,highway,56,0.1841,0.0353,0.134,0.128,0.221,0.254,0.356
ADAM_lr5e4_t08,launch,102,0.2816,0.0813,0.193,0.287,0.13,0.196,0.339
ADAM_lr5e4_t08,mixed,19,0.2645,0.0729,0.289,0.122,0.188,0.178,0.198
ADAM_lr5e4_t08,truck,26,0.1649,0.0279,0.287,0.121,0.335,0.077,0.469
