arm,scenario,n,data,phys,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b
P2_lr2e3_t06_r16,mixed,19,0.2437,0.0618,0.304,0.111,0.11,0.18,0.102
P2_lr2e3_t06_r16,truck,26,0.1424,0.0213,0.307,0.107,0.234,0.046,0.335
P2_lr2e3_t06_r16,urban,47,0.2784,0.0814,0.32,0.106,0.026,0.294,0.185
P2_lr2e3_t06_r8,freeflow,50,0.1773,0.0337,0.112,0.415,0.078,0.294,0.435
P2_lr2e3_t06_r8,highway,56,0.1761,0.0329,0.085,0.116,0.103,0.268,0.194
P2_lr2e3_t06_r8,launch,102,0.2444,0.0621,0.153,0.257,0.124,0.196,0.263
P2_lr2e3_t06_r8,mixed,19,0.2463,0.0636,0.315,0.112,0.101,0.174,0.114
P2_lr2e3_t06_r8,truck,26,0.1453,0.0221,0.28,0.107,0.218,0.058,0.339
P2_lr2e3_t06_r8,urban,47,0.2649,0.0728,0.364,0.111,0.034,0.292,0.191
P2_lr2e3_t07_r16,freeflow,50,0.1877,0.0378,0.1,0.352,0.207,0.263,0.362
P2_lr2e3_t07_r16,highway,56,0.1715,0.0311,0.119,0.112,0.158,0.284,0.15
P2_lr2e3_t07_r16,launch,102,0.2358,0.0582,0.141,0.222,0.153,0.178,0.196
P2_lr2e3_t07_r16,mixed,19,0.2421,0.0615,0.328,0.11,0.13,0.191,0.074
P2_lr2e3_t07_r16,truck,26,0.15,0.0236,0.311,0.107,0.267,0.041,0.291
P2_lr2e3_t07_r16,urban,47,0.268,0.0743,0.366,0.115,0.022,0.319,0.225
P2_lr2e3_t07_r8,freeflow,50,0.1752,0.0331,0.121,0.451,0.038,0.282,0.458
P2_lr2e3_t07_r8,highway,56,0.1726,0.0315,0.097,0.117,0.106,0.287,0.199
P2_lr2e3_t07_r8,launch,102,0.2449,0.0624,0.158,0.26,0.126,0.2,0.266
P2_lr2e3_t07_r8,mixed,19,0.2483,0.0648,0.332,0.112,0.109,0.194,0.105
P2_lr2e3_t07_r8,truck,26,0.1442,0.0216,0.297,0.108,0.231,0.037,0.327
P2_lr2e3_t07_r8,urban,47,0.2653,0.0724,0.375,0.118,0.03,0.304,0.176
P2_lr3e3_t05_r16,freeflow,50,0.1781,0.035,0.095,0.393,0.181,0.234,0.412
P2_lr3e3_t05_r16,highway,56,0.1786,0.0337,0.108,0.123,0.141,0.276,0.215
P2_lr3e3_t05_r16,launch,102,0.2342,0.0565,0.167,0.249,0.146,0.175,0.237
P2_lr3e3_t05_r16,mixed,19,0.2531,0.0674,0.248,0.111,0.124,0.173,0.104
P2_lr3e3_t05_r16,truck,26,0.1569,0.0257,0.254,0.108,0.257,0.062,0.332
P2_lr3e3_t05_r16,urban,47,0.2655,0.0726,0.257,0.113,0.019,0.319,0.178
P2_lr3e3_t05_r8,freeflow,50,0.1644,0.0301,0.104,0.404,0.084,0.269,0.437
P2_lr3e3_t05_r8,highway,56,0.1705,0.0307,0.092,0.11,0.139,0.274,0.194
P2_lr3e3_t05_r8,launch,102,0.2381,0.0582,0.169,0.247,0.136,0.178,0.265
P2_lr3e3_t05_r8,mixed,19,0.2519,0.0669,0.283,0.109,0.133,0.174,0.113
P2_lr3e3_t05_r8,truck,26,0.1584,0.0262,0.266,0.107,0.261,0.054,0.335
P2_lr3e3_t05_r8,urban,47,0.2645,0.0724,0.308,0.11,0.025,0.283,0.179
P2_lr3e3_t06_r16,freeflow,50,0.17,0.0316,0.095,0.358,0.154,0.263,0.395
P2_lr3e3_t06_r16,highway,56,0.174,0.0321,0.11,0.11,0.105,0.281,0.157
P2_lr3e3_t06_r16,launch,102,0.2446,0.0618,0.165,0.221,0.135,0.188,0.216
P2_lr3e3_t06_r16,mixed,19,0.242,0.0613,0.257,0.107,0.108,0.184,0.081
P2_lr3e3_t06_r16,truck,26,0.1568,0.0257,0.26,0.107,0.232,0.049,0.295
P2_lr3e3_t06_r16,urban,47,0.2584,0.0696,0.268,0.111,0.027,0.315,0.216
P2_lr3e3_t06_r8,freeflow,50,0.1679,0.0308,0.093,0.464,0.043,0.259,0.446
P2_lr3e3_t06_r8,highway,56,0.1738,0.032,0.085,0.116,0.094,0.255,0.18
P2_lr3e3_t06_r8,launch,102,0.2378,0.0585,0.157,0.278,0.115,0.169,0.271
P2_lr3e3_t06_r8,mixed,19,0.2559,0.0686,0.25,0.114,0.093,0.158,0.113
P2_lr3e3_t06_r8,truck,26,0.1485,0.0231,0.24,0.108,0.207,0.076,0.329
P2_lr3e3_t06_r8,urban,47,0.2739,0.0776,0.279,0.113,0.037,0.277,0.17
P2_lr3e3_t07_r16,freeflow,50,0.1779,0.0345,0.105,0.361,0.154,0.271,0.427
P2_lr3e3_t07_r16,highway,56,0.1762,0.033,0.116,0.112,0.102,0.281,0.251
P2_lr3e3_t07_r16,launch,102,0.2455,0.0624,0.154,0.219,0.13,0.199,0.241
P2_lr3e3_t07_r16,mixed,19,0.2426,0.0616,0.316,0.108,0.101,0.195,0.122
P2_lr3e3_t07_r16,truck,26,0.1578,0.0261,0.301,0.109,0.226,0.044,0.366
P2_lr3e3_t07_r16,urban,47,0.2607,0.0703,0.347,0.113,0.034,0.318,0.178
P2_lr3e3_t07_r8,freeflow,50,0.1731,0.0327,0.1,0.419,0.1,0.263,0.46
P2_lr3e3_t07_r8,highway,56,0.1747,0.0324,0.101,0.114,0.036,0.278,0.211
P2_lr3e3_t07_r8,launch,102,0.2384,0.0591,0.147,0.239,0.122,0.191,0.276
P2_lr3e3_t07_r8,mixed,19,0.2462,0.0637,0.3,0.111,0.072,0.196,0.13
P2_lr3e3_t07_r8,truck,26,0.1474,0.0227,0.28,0.107,0.163,0.041,0.357
P2_lr3e3_t07_r8,urban,47,0.2618,0.071,0.336,0.121,0.052,0.319,0.16
PEAK_BASELINE,freeflow,50,1.4123,2.1639,0.19,0.135,0.182,0.361,0.243
PEAK_BASELINE,highway,56,0.9232,0.9744,0.157,0.163,0.165,0.295,0.186
PEAK_BASELINE,launch,102,0.6797,0.4684,0.107,0.15,0.188,0.282,0.252
PEAK_BASELINE,mixed,19,0.7442,0.5768,0.282,0.15,0.179,0.224,0.222
PEAK_BASELINE,truck,26,0.4935,0.2732,0.167,0.136,0.046,0.529,0.405
PEAK_BASELINE,urban,47,0.9531,0.9538,0.374,0.151,0.31,0.04,0.042
PEAK_SINGLECYCLE,freeflow,50,1.3902,2.1811,0.219,0.194,0.261,0.062,0.36
PEAK_SINGLECYCLE,highway,56,1.0761,1.2527,0.189,0.234,0.201,0.089,0.162
PEAK_SINGLECYCLE,launch,102,0.3461,0.1257,0.099,0.249,0.193,0.143,0.257
PEAK_SINGLECYCLE,mixed,19,0.8475,0.7562,0.259,0.245,0.176,0.114,0.165
PEAK_SINGLECYCLE,truck,26,0.6019,0.3926,0.138,0.21,0.067,0.335,0.33
PEAK_SINGLECYCLE,urban,47,1.1689,1.3989,0.35,0.262,0.29,0.053,0.048
PE_axis_gr101,freeflow,50,0.2484,0.0635,0.273,0.275,0.12,0.343,0.09
PE_axis_gr101,highway,56,0.2681,0.0739,0.146,0.204,0.116,0.266,0.181
PE_axis_gr101,launch,102,0.4692,0.2247,0.257,0.2,0.229,0.234,0.13
PE_axis_gr101,mixed,19,0.4904,0.266,0.232,0.165,0.174,0.176,0.137
PE_axis_gr101,truck,26,0.2687,0.073,0.198,0.191,0.168,0.115,0.088
PE_axis_gr101,urban,47,0.7575,0.6236,0.222,0.156,0.3,0.175,0.289
PE_axis_gr105,freeflow,50,0.2394,0.0582,0.314,0.347,0.144,0.372,0.341
PE_axis_gr105,highway,56,0.231,0.0556,0.176,0.31,0.178,0.336,0.354
PE_axis_gr105,launch,102,0.8267,0.6944,0.333,0.304,0.118,0.303,0.279
PE_axis_gr105,mixed,19,0.3324,0.115,0.392,0.268,0.157,0.259,0.296
PE_axis_gr105,truck,26,0.2642,0.0704,0.388,0.315,0.294,0.046,0.141
PE_axis_gr105,urban,47,0.4574,0.2176,0.361,0.237,0.115,0.34,0.449
PE_axis_lr03,freeflow,50,0.1951,0.0389,0.346,0.625,0.375,0.369,0.575
PE_axis_lr03,highway,56,0.2575,0.0682,0.337,0.28,0.371,0.348,0.313
PE_axis_lr03,launch,102,0.3966,0.1637,0.497,0.419,0.335,0.3,0.393
PE_axis_lr03,mixed,19,0.2375,0.0603,0.678,0.198,0.303,0.296,0.204
PE_axis_lr03,truck,26,0.1187,0.0146,0.619,0.217,0.48,0.069,0.438
PE_axis_lr03,urban,47,0.2641,0.076,0.72,0.129,0.128,0.432,0.188
PE_axis_lr10,freeflow,50,0.2382,0.0577,0.303,0.323,0.145,0.368,0.128
PE_axis_lr10,highway,56,0.213,0.0469,0.135,0.257,0.196,0.331,0.25
PE_axis_lr10,launch,102,0.5289,0.2879,0.303,0.261,0.152,0.304,0.158
PE_axis_lr10,mixed,19,0.3014,0.0949,0.308,0.22,0.209,0.264,0.207
PE_axis_lr10,truck,26,0.2249,0.051,0.286,0.261,0.333,0.046,0.064
PE_axis_lr10,urban,47,0.3265,0.1097,0.286,0.198,0.103,0.38,0.362
PE_axis_pp15,freeflow,50,0.2503,0.0645,0.261,0.275,0.136,0.338,0.1
PE_axis_pp15,highway,56,0.2989,0.0929,0.159,0.209,0.13,0.257,0.204
PE_axis_pp15,launch,102,0.4728,0.2271,0.262,0.204,0.149,0.232,0.129
PE_axis_pp15,mixed,19,0.4471,0.2097,0.252,0.169,0.125,0.171,0.144
PE_axis_pp15,truck,26,0.2875,0.0836,0.193,0.192,0.213,0.135,0.086
PE_axis_pp15,urban,47,0.6922,0.5126,0.26,0.154,0.182,0.162,0.285
PE_axis_pp40,freeflow,50,0.2332,0.0551,0.29,0.287,0.266,0.37,0.23
PE_axis_pp40,highway,56,0.2375,0.0588,0.142,0.213,0.266,0.344,0.098
PE_axis_pp40,launch,102,0.4762,0.2343,0.267,0.211,0.239,0.333,0.147
PE_axis_pp40,mixed,19,0.2897,0.0948,0.238,0.178,0.256,0.312,0.104
PE_axis_pp40,truck,26,0.1685,0.0287,0.215,0.211,0.378,0.066,0.209
PE_axis_pp40,urban,47,0.3168,0.1088,0.226,0.161,0.141,0.471,0.296
PE_bd03_gp0,freeflow,50,0.244,0.061,0.282,0.217,0.143,0.348,0.096
PE_bd03_gp0,highway,56,0.2425,0.0607,0.14,0.168,0.224,0.298,0.142
PE_bd03_gp0,launch,102,0.4144,0.1774,0.282,0.181,0.157,0.242,0.099
PE_bd03_gp0,mixed,19,0.305,0.0954,0.274,0.151,0.207,0.199,0.115
PE_bd03_gp0,truck,26,0.2115,0.0456,0.22,0.17,0.346,0.051,0.124
PE_bd03_gp0,urban,47,0.3749,0.1454,0.278,0.14,0.099,0.268,0.28
PE_bd03_gp0005,freeflow,50,0.25,0.0639,0.294,0.296,0.154,0.348,0.142
PE_bd03_gp0005,highway,56,0.2245,0.0519,0.13,0.222,0.107,0.279,0.21
PE_bd03_gp0005,launch,102,0.4397,0.1976,0.289,0.221,0.232,0.237,0.145
PE_bd03_gp0005,mixed,19,0.4364,0.2066,0.315,0.177,0.16,0.177,0.167
PE_bd03_gp0005,truck,26,0.2848,0.0821,0.297,0.211,0.143,0.09,0.068
PE_bd03_gp0005,urban,47,0.68,0.5054,0.294,0.154,0.267,0.202,0.308
PE_bd03_gp002,freeflow,50,0.2671,0.0736,0.31,0.172,0.106,0.314,0.134
PE_bd03_gp002,highway,56,0.2168,0.0495,0.138,0.144,0.159,0.275,0.099
PE_bd03_gp002,launch,102,0.3428,0.1222,0.318,0.166,0.13,0.218,0.102
PE_bd03_gp002,mixed,19,0.3051,0.0954,0.32,0.139,0.174,0.186,0.103
PE_bd03_gp002,truck,26,0.2214,0.0503,0.284,0.151,0.297,0.063,0.158
PE_bd03_gp002,urban,47,0.3348,0.1162,0.312,0.137,0.082,0.296,0.277
PE_bd05_gp0,freeflow,50,0.2378,0.0573,0.346,0.191,0.15,0.365,0.521
PE_bd05_gp0,highway,56,0.1983,0.0415,0.33,0.14,0.239,0.333,0.323
PE_bd05_gp0,launch,102,0.5246,0.2849,0.46,0.192,0.138,0.308,0.336
PE_bd05_gp0,mixed,19,0.2842,0.0872,0.615,0.152,0.194,0.281,0.181
PE_bd05_gp0,truck,26,0.1769,0.0319,0.604,0.157,0.326,0.05,0.429
PE_bd05_gp0,urban,47,0.3102,0.1009,0.585,0.144,0.089,0.418,0.151
PE_bd05_gp0005,freeflow,50,0.2402,0.0584,0.346,0.3,0.178,0.373,0.484
PE_bd05_gp0005,highway,56,0.253,0.0659,0.331,0.271,0.246,0.345,0.21
PE_bd05_gp0005,launch,102,0.5071,0.2656,0.465,0.241,0.126,0.333,0.284
PE_bd05_gp0005,mixed,19,0.2972,0.0941,0.629,0.214,0.166,0.304,0.113
PE_bd05_gp0005,truck,26,0.2264,0.0516,0.61,0.262,0.315,0.065,0.3
PE_bd05_gp0005,urban,47,0.3164,0.1063,0.604,0.175,0.085,0.449,0.211
PE_bd05_gp002,freeflow,50,0.2587,0.0689,0.315,0.243,0.214,0.322,0.209
PE_bd05_gp002,highway,56,0.2403,0.0596,0.136,0.203,0.289,0.295,0.112
PE_bd05_gp002,launch,102,0.4184,0.1814,0.326,0.195,0.159,0.235,0.122
PE_bd05_gp002,mixed,19,0.2917,0.0865,0.32,0.183,0.209,0.219,0.094
PE_bd05_gp002,truck,26,0.2663,0.0717,0.276,0.215,0.377,0.04,0.205
PE_bd05_gp002,urban,47,0.3339,0.1151,0.303,0.166,0.085,0.343,0.285
PE_bd07_gp0,freeflow,50,0.2586,0.0685,0.346,0.35,0.351,0.331,0.406
PE_bd07_gp0,highway,56,0.3243,0.1073,0.333,0.342,0.339,0.314,0.197
PE_bd07_gp0,launch,102,0.3575,0.1335,0.474,0.32,0.335,0.267,0.195
PE_bd07_gp0,mixed,19,0.4645,0.2236,0.639,0.308,0.338,0.254,0.108
PE_bd07_gp0,truck,26,0.3705,0.1376,0.612,0.355,0.463,0.031,0.32
PE_bd07_gp0,urban,47,0.4967,0.2511,0.631,0.285,0.214,0.408,0.215
PE_bd07_gp0005,freeflow,50,0.2549,0.0666,0.316,0.308,0.098,0.347,0.126
PE_bd07_gp0005,highway,56,0.2278,0.0534,0.165,0.232,0.117,0.28,0.227
PE_bd07_gp0005,launch,102,0.4161,0.1777,0.33,0.237,0.128,0.235,0.138
PE_bd07_gp0005,mixed,19,0.3538,0.1276,0.371,0.19,0.117,0.175,0.191
PE_bd07_gp0005,truck,26,0.317,0.1014,0.361,0.227,0.207,0.082,0.064
PE_bd07_gp0005,urban,47,0.5089,0.2702,0.337,0.166,0.123,0.228,0.337
PE_bd07_gp002,freeflow,50,0.2554,0.0669,0.306,0.317,0.16,0.343,0.206
PE_bd07_gp002,highway,56,0.2375,0.0583,0.157,0.245,0.1,0.274,0.184
PE_bd07_gp002,launch,102,0.4105,0.1727,0.33,0.252,0.154,0.231,0.145
PE_bd07_gp002,mixed,19,0.358,0.1307,0.37,0.203,0.113,0.168,0.165
PE_bd07_gp002,truck,26,0.3339,0.1126,0.344,0.239,0.174,0.094,0.076
PE_bd07_gp002,urban,47,0.4942,0.2518,0.35,0.178,0.126,0.225,0.326
PE_t05_gp00,freeflow,50,0.2117,0.0484,0.112,0.146,0.245,0.27,0.145
PE_t05_gp00,highway,56,0.1838,0.0355,0.068,0.112,0.195,0.248,0.047
PE_t05_gp00,launch,102,0.2444,0.0628,0.136,0.141,0.193,0.2,0.083
PE_t05_gp00,mixed,19,0.2595,0.0706,0.278,0.115,0.17,0.179,0.041
PE_t05_gp00,truck,26,0.2062,0.044,0.234,0.122,0.308,0.064,0.199
PE_t05_gp00,urban,47,0.2749,0.0783,0.32,0.122,0.036,0.318,0.242
SPEC_REF_noconstraint,freeflow,50,0.1952,0.0389,0.271,0.554,0.119,0.35,0.528
SPEC_REF_noconstraint,highway,56,0.234,0.0566,0.126,0.201,0.294,0.296,0.391
SPEC_REF_noconstraint,launch,102,0.3507,0.1283,0.262,0.362,0.178,0.263,0.35
SPEC_REF_noconstraint,mixed,19,0.2645,0.0758,0.328,0.144,0.233,0.24,0.219
SPEC_REF_noconstraint,truck,26,0.1306,0.0174,0.302,0.146,0.39,0.035,0.485
SPEC_REF_noconstraint,urban,47,0.2824,0.0843,0.351,0.124,0.102,0.382,0.143
SPEC_l05_t12,freeflow,50,0.1796,0.0342,0.168,0.484,0.513,0.288,0.538
SPEC_l05_t12,highway,56,0.1741,0.0318,0.234,0.126,0.247,0.295,0.255
SPEC_l05_t12,launch,102,0.2741,0.0776,0.225,0.274,0.272,0.198,0.304
SPEC_l05_t12,mixed,19,0.2443,0.0621,0.394,0.116,0.148,0.2,0.14
SPEC_l05_t12,truck,26,0.15,0.0229,0.435,0.121,0.117,0.04,0.378
SPEC_l05_t12,urban,47,0.2824,0.0836,0.362,0.119,0.114,0.32,0.182
SPEC_l05_t15,freeflow,50,0.1926,0.0385,0.211,0.412,0.486,0.32,0.414
SPEC_l05_t15,highway,56,0.1794,0.0338,0.123,0.12,0.123,0.284,0.165
SPEC_l05_t15,launch,102,0.2861,0.0848,0.199,0.268,0.269,0.199,0.233
SPEC_l05_t15,mixed,19,0.2476,0.063,0.292,0.119,0.107,0.195,0.105
SPEC_l05_t15,truck,26,0.1567,0.0251,0.273,0.125,0.152,0.039,0.308
SPEC_l05_t15,urban,47,0.3028,0.0959,0.328,0.119,0.12,0.292,0.202
SPEC_l05_t20,freeflow,50,0.2104,0.0453,0.3,0.407,0.229,0.328,0.495
SPEC_l05_t20,highway,56,0.249,0.0662,0.155,0.173,0.145,0.275,0.166
SPEC_l05_t20,launch,102,0.3325,0.1149,0.308,0.252,0.156,0.253,0.251
SPEC_l05_t20,mixed,19,0.2929,0.0883,0.329,0.136,0.154,0.223,0.085
SPEC_l05_t20,truck,26,0.1794,0.0335,0.316,0.151,0.249,0.046,0.27
SPEC_l05_t20,urban,47,0.2948,0.091,0.335,0.126,0.074,0.371,0.176
SPEC_l05_t25,freeflow,50,0.218,0.0485,0.311,0.31,0.106,0.342,0.415
SPEC_l05_t25,highway,56,0.1964,0.0398,0.18,0.127,0.275,0.283,0.32
SPEC_l05_t25,launch,102,0.3081,0.098,0.317,0.278,0.129,0.24,0.267
SPEC_l05_t25,mixed,19,0.2725,0.0774,0.362,0.137,0.184,0.205,0.198
SPEC_l05_t25,truck,26,0.1791,0.0324,0.358,0.13,0.348,0.05,0.449
SPEC_l05_t25,urban,47,0.2969,0.0914,0.351,0.124,0.069,0.326,0.138
SPEC_l100_t12,freeflow,50,0.1902,0.0378,0.127,0.38,0.532,0.267,0.509
SPEC_l100_t12,highway,56,0.1765,0.0328,0.228,0.118,0.237,0.265,0.235
SPEC_l100_t12,launch,102,0.2752,0.0774,0.19,0.25,0.258,0.17,0.315
SPEC_l100_t12,mixed,19,0.2788,0.0817,0.39,0.118,0.133,0.181,0.161
SPEC_l100_t12,truck,26,0.17,0.0298,0.413,0.123,0.11,0.053,0.387
SPEC_l100_t12,urban,47,0.2889,0.0855,0.398,0.123,0.095,0.285,0.147
SPEC_l100_t15,freeflow,50,0.1801,0.0342,0.151,0.478,0.47,0.3,0.471
SPEC_l100_t15,highway,56,0.1745,0.0318,0.192,0.128,0.165,0.286,0.179
SPEC_l100_t15,launch,102,0.2806,0.0816,0.205,0.299,0.226,0.193,0.26
SPEC_l100_t15,mixed,19,0.256,0.0681,0.35,0.125,0.123,0.197,0.098
SPEC_l100_t15,truck,26,0.1623,0.0269,0.368,0.123,0.174,0.044,0.289
SPEC_l100_t15,urban,47,0.2833,0.0832,0.357,0.128,0.065,0.315,0.196
SPEC_l100_t20,freeflow,50,0.2104,0.0453,0.3,0.407,0.229,0.328,0.495
SPEC_l100_t20,highway,56,0.249,0.0662,0.155,0.173,0.145,0.275,0.166
SPEC_l100_t20,launch,102,0.3325,0.1149,0.308,0.252,0.156,0.253,0.251
SPEC_l100_t20,mixed,19,0.2929,0.0883,0.329,0.136,0.154,0.223,0.085
SPEC_l100_t20,truck,26,0.1794,0.0335,0.316,0.151,0.249,0.046,0.27
SPEC_l100_t20,urban,47,0.2948,0.091,0.335,0.126,0.074,0.371,0.176
SPEC_l100_t25,freeflow,50,0.2104,0.0453,0.3,0.407,0.229,0.328,0.495
SPEC_l100_t25,highway,56,0.249,0.0662,0.155,0.173,0.145,0.275,0.166
SPEC_l100_t25,launch,102,0.3325,0.1149,0.308,0.252,0.156,0.253,0.251
SPEC_l100_t25,mixed,19,0.2929,0.0883,0.329,0.136,0.154,0.223,0.085
SPEC_l100_t25,truck,26,0.1794,0.0335,0.316,0.151,0.249,0.046,0.27
SPEC_l100_t25,urban,47,0.2948,0.091,0.335,0.126,0.074,0.371,0.176
SPEC_l10_t12,freeflow,50,0.175,0.0322,0.161,0.495,0.495,0.313,0.513
SPEC_l10_t12,highway,56,0.1744,0.0319,0.223,0.126,0.135,0.296,0.182
SPEC_l10_t12,launch,102,0.278,0.08,0.204,0.286,0.229,0.218,0.281
SPEC_l10_t12,mixed,19,0.256,0.0683,0.358,0.125,0.107,0.204,0.099
SPEC_l10_t12,truck,26,0.168,0.0288,0.388,0.13,0.163,0.037,0.303
SPEC_l10_t12,urban,47,0.2785,0.0795,0.342,0.131,0.078,0.324,0.185
SPEC_l10_t15,freeflow,50,0.1783,0.0333,0.147,0.479,0.088,0.322,0.51
SPEC_l10_t15,highway,56,0.1717,0.0311,0.164,0.122,0.223,0.311,0.255
SPEC_l10_t15,launch,102,0.2758,0.0791,0.174,0.314,0.143,0.192,0.32
SPEC_l10_t15,mixed,19,0.2448,0.0628,0.3,0.124,0.177,0.199,0.167
SPEC_l10_t15,truck,26,0.1364,0.019,0.321,0.116,0.328,0.041,0.388
SPEC_l10_t15,urban,47,0.2786,0.0813,0.307,0.112,0.056,0.32,0.155
SPEC_l10_t20,freeflow,50,0.207,0.0454,0.234,0.479,0.361,0.292,0.521
SPEC_l10_t20,highway,56,0.2347,0.0576,0.115,0.157,0.194,0.227,0.283
SPEC_l10_t20,launch,102,0.291,0.086,0.241,0.307,0.197,0.19,0.296
SPEC_l10_t20,mixed,19,0.292,0.0873,0.315,0.133,0.136,0.164,0.16
SPEC_l10_t20,truck,26,0.1855,0.0351,0.278,0.129,0.279,0.105,0.399
SPEC_l10_t20,urban,47,0.3203,0.1068,0.357,0.132,0.07,0.297,0.138
SPEC_l10_t25,freeflow,50,0.2104,0.0453,0.3,0.407,0.229,0.328,0.495
SPEC_l10_t25,highway,56,0.249,0.0662,0.155,0.173,0.145,0.275,0.166
SPEC_l10_t25,launch,102,0.3325,0.1149,0.308,0.252,0.156,0.253,0.251
SPEC_l10_t25,mixed,19,0.2929,0.0883,0.329,0.136,0.154,0.223,0.085
SPEC_l10_t25,truck,26,0.1794,0.0335,0.316,0.151,0.249,0.046,0.27
SPEC_l10_t25,urban,47,0.2948,0.091,0.335,0.126,0.074,0.371,0.176
SPEC_l30_t12,freeflow,50,0.1846,0.0351,0.129,0.455,0.487,0.271,0.532
SPEC_l30_t12,highway,56,0.183,0.035,0.152,0.127,0.214,0.272,0.284
SPEC_l30_t12,launch,102,0.281,0.0821,0.176,0.286,0.257,0.183,0.336
SPEC_l30_t12,mixed,19,0.2583,0.0697,0.316,0.124,0.136,0.188,0.157
SPEC_l30_t12,truck,26,0.1675,0.0285,0.312,0.125,0.103,0.05,0.387
SPEC_l30_t12,urban,47,0.278,0.0795,0.313,0.129,0.119,0.309,0.163
SPEC_l30_t15,freeflow,50,0.2051,0.044,0.255,0.496,0.335,0.3,0.496
SPEC_l30_t15,highway,56,0.1746,0.032,0.195,0.134,0.105,0.315,0.211
SPEC_l30_t15,launch,102,0.2839,0.0832,0.241,0.338,0.169,0.18,0.297
SPEC_l30_t15,mixed,19,0.2462,0.0634,0.365,0.135,0.149,0.212,0.136
SPEC_l30_t15,truck,26,0.1253,0.0163,0.373,0.127,0.223,0.032,0.345
SPEC_l30_t15,urban,47,0.2664,0.0739,0.368,0.115,0.069,0.329,0.226
SPEC_l30_t20,freeflow,50,0.2104,0.0453,0.3,0.407,0.229,0.328,0.495
SPEC_l30_t20,highway,56,0.249,0.0662,0.155,0.173,0.145,0.275,0.166
SPEC_l30_t20,launch,102,0.3325,0.1149,0.308,0.252,0.156,0.253,0.251
SPEC_l30_t20,mixed,19,0.2929,0.0883,0.329,0.136,0.154,0.223,0.085
SPEC_l30_t20,truck,26,0.1794,0.0335,0.316,0.151,0.249,0.046,0.27
SPEC_l30_t20,urban,47,0.2948,0.091,0.335,0.126,0.074,0.371,0.176
SPEC_l30_t25,freeflow,50,0.2104,0.0453,0.3,0.407,0.229,0.328,0.495
SPEC_l30_t25,highway,56,0.249,0.0662,0.155,0.173,0.145,0.275,0.166
SPEC_l30_t25,launch,102,0.3325,0.1149,0.308,0.252,0.156,0.253,0.251
SPEC_l30_t25,mixed,19,0.2929,0.0883,0.329,0.136,0.154,0.223,0.085
SPEC_l30_t25,truck,26,0.1794,0.0335,0.316,0.151,0.249,0.046,0.27
SPEC_l30_t25,urban,47,0.2948,0.091,0.335,0.126,0.074,0.371,0.176
P1_lr2e3_t05,freeflow,50,0.1878,0.0375,0.15,0.457,0.071,0.267,0.446
P1_lr2e3_t05,highway,56,0.1703,0.0303,0.14,0.114,0.195,0.289,0.1
P1_lr2e3_t05,launch,102,0.2607,0.07,0.193,0.277,0.118,0.185,0.256
P1_lr2e3_t05,mixed,19,0.2389,0.0598,0.277,0.114,0.143,0.19,0.103
P1_lr2e3_t05,truck,26,0.1492,0.023,0.268,0.111,0.284,0.047,0.287
P1_lr2e3_t05,urban,47,0.2614,0.0718,0.297,0.113,0.051,0.319,0.242
P1_lr2e3_t06,freeflow,50,0.1755,0.0324,0.176,0.536,0.185,0.302,0.476
P1_lr2e3_t06,highway,56,0.1714,0.0311,0.127,0.13,0.072,0.314,0.148
P1_lr2e3_t06,launch,102,0.2761,0.0789,0.228,0.317,0.127,0.216,0.275
P1_lr2e3_t06,mixed,19,0.2272,0.054,0.279,0.12,0.113,0.215,0.095
P1_lr2e3_t06,truck,26,0.1188,0.0148,0.279,0.117,0.16,0.031,0.284
P1_lr2e3_t06,urban,47,0.2591,0.0701,0.265,0.11,0.06,0.341,0.228
P1_lr2e3_t07,freeflow,50,0.1717,0.0312,0.117,0.43,0.612,0.298,0.488
P1_lr2e3_t07,highway,56,0.1658,0.0291,0.166,0.118,0.543,0.31,0.14
P1_lr2e3_t07,launch,102,0.2498,0.0644,0.189,0.246,0.464,0.188,0.282
P1_lr2e3_t07,mixed,19,0.2615,0.0727,0.326,0.126,0.375,0.202,0.1
P1_lr2e3_t07,truck,26,0.1315,0.018,0.323,0.125,0.352,0.033,0.291
P1_lr2e3_t07,urban,47,0.2699,0.0755,0.337,0.138,0.367,0.304,0.191
P1_lr3e3_t05,freeflow,50,0.1754,0.0329,0.154,0.432,0.375,0.321,0.46
P1_lr3e3_t05,highway,56,0.167,0.0295,0.179,0.123,0.374,0.303,0.228
P1_lr3e3_t05,launch,102,0.2511,0.0651,0.237,0.3,0.36,0.203,0.301
P1_lr3e3_t05,mixed,19,0.2468,0.0644,0.373,0.127,0.352,0.193,0.139
P1_lr3e3_t05,truck,26,0.1429,0.0211,0.362,0.112,0.498,0.042,0.367
P1_lr3e3_t05,urban,47,0.2617,0.0709,0.395,0.112,0.21,0.301,0.17
P1_lr3e3_t06,freeflow,50,0.166,0.0303,0.136,0.483,0.372,0.264,0.533
P1_lr3e3_t06,highway,56,0.169,0.03,0.182,0.118,0.366,0.291,0.21
P1_lr3e3_t06,launch,102,0.2433,0.0609,0.209,0.292,0.333,0.184,0.331
P1_lr3e3_t06,mixed,19,0.25,0.0661,0.358,0.117,0.305,0.194,0.137
