epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff
1,1.1834033194184304,0.9251110270619393,0.9387049712240696,0.031945619825273754,0.15869899072567933,0.008251053905114531,1.1278029380643622,0.8938284281720507,0.8928590132359494,0.03221079397035089,0.13887558342576858,0.00840498261312221,0.5,4.575748012661934,0.05862910476850068,138.21540904045105,2.2017964834512508e-06,1.4149104643923185e-05,1.1008982417256254e-06
2,0.9943601423501969,0.8286065635085106,0.7718655274808407,0.032853153739124535,0.08277121471087412,0.00830630656797439,1.1271075106998707,0.893222061877555,0.8913357276865777,0.032264270948523535,0.13893787607555574,0.008401569905393619,0.5,3.7665877491235733,0.0586480646334747,137.7333700656891,5.955449578010636e-06,8.414570339791855e-05,2.977724789005318e-06
3,1.1112676852941512,0.8840894755721093,0.8515959650278091,0.03226255534216762,0.13625012479351425,0.00831073201727122,1.1214990260753226,0.8885222128097047,0.883190139137367,0.03234539072009477,0.13884024182458388,0.008400587166877502,0.5,3.6645871758461,0.05865347759917061,138.22724652290344,1.6108382379025784e-05,0.0003030868651127359,8.054191189512892e-06
4,1.0879794591665268,0.8944968518614769,0.92653120175004,0.03186587356030941,0.09519985114540759,0.008072689198888839,1.067529025864094,0.8440385971297609,0.7970213142639779,0.03240236783637963,0.1379700367886355,0.008396288429565251,0.5,309.50583594202993,0.058676343648991686,138.09040904045105,4.3570175428398985e-05,0.0009267617089187461,2.1785087714199492e-05
5,1.0083412307500839,0.8403198757767677,0.7806866897642613,0.0317161026597023,0.08429044450924267,0.008152854996733367,1.0285236339302772,0.8278580254062693,0.7653324625831335,0.03178501996073,0.11833275083026433,0.008420715740128875,0.5,4.242684692740441,0.05854195181993728,137.3524615764618,0.0001178492130490556,0.0026465834396857827,5.89246065245278e-05
6,0.8471858975291252,0.7141368508338928,0.560066791921854,0.030425161868333817,0.07141293692257022,0.008216341808438301,0.8375925341660672,0.6736000174696141,0.5109350620669887,0.02638402651559482,0.10741382656108707,0.00833196582104218,0.5,3.2103830099105837,0.05904329146080194,138.7919523715973,0.00031876018124152967,0.00727116152402738,0.00015938009062076483
7,0.5405098102986813,0.45190340280532837,0.22237326227128507,0.018210880598053335,0.061564564841771696,0.007787950360216201,0.37276904166061825,0.33918180380095825,0.12597048755219958,0.014949631297643831,0.016669371424018694,0.007146675924849796,0.5,1.63887348651886,0.06626684157217437,137.87081670761108,0.0008621869464910018,0.01705058567806041,0.0004310934732455009
8,0.29487427428364754,0.27976059913635254,0.09064380861818791,0.016566448323428632,0.002384246422079741,0.005673450997564941,0.2661796295024613,0.2538189578880655,0.07430987127937694,0.012427770515329185,0.0018488488778936525,0.004918894940427445,0.5,0.7070899693667889,0.08118460174808477,137.50155377388,0.002332055176415581,0.026883039248192072,0.0011660275882077905
9,0.2533166816830635,0.24148611530661582,0.062492308095097544,0.017515151025727392,0.0021826541238806384,0.0050458431942388415,0.2497496428166298,0.23930467704826214,0.06562732451377397,0.013342837077327706,0.0005500623580089536,0.005330059119126204,0.5,0.5060182014852762,0.07831199120413115,138.03789854049683,0.006307775092142932,0.026883039248192072,0.003153887546071466
10,0.2546666212379932,0.24269957959651947,0.06546988903544843,0.012816795129328967,0.001725993030963764,0.006106439537834376,0.23748043480705708,0.22397222698844493,0.05448642623254118,0.011383498620063543,0.003600281677865902,0.0077802171569040166,0.5,0.5985892378538847,0.0626817552888013,136.7697696685791,0.017061357302108865,0.026883039248192072,0.008530678651054432
