epoch,batch_idx,loss_total,loss_data,loss_phys,loss_ou,loss_bc,loss_sr,loss_T_aux,spike_rate,gn_total_preclip,gn_total_postclip,gn_hidden_fc,gn_hidden_recU,gn_hidden_recV,gn_hidden_base_threshold,gn_hidden_thresh_jump,gn_out_fc,weight_max_abs_global,lr,prodigy_d,prodigy_d_max,prodigy_lr_eff,is_nan_loss,is_inf_grad,gn_out_fc_v0,gn_out_fc_T,gn_out_fc_s0,gn_out_fc_a,gn_out_fc_b,gn_decoded_v0,gn_decoded_T,gn_decoded_s0,gn_decoded_a,gn_decoded_b,grad_dir_v0,grad_dir_T,grad_dir_s0,grad_dir_a,grad_dir_b
1,1,1.4813898801803589,0.8806197643280029,0.7817625403404236,0.043456874787807465,0.3957034647464752,0.009339411742985249,0.0,0.05335937812924385,2.960303743703539,2.960303783416748,1.7115504741668701,0.22331087291240692,0.11664023250341415,0.2377253919839859,0.20236368477344513,2.3818178176879883,1.5000004768371582,0.5,1e-06,1e-06,5e-07,0,0,0.02920440398156643,0.8040570020675659,1.951809048652649,0.2458193004131317,1.0750396251678467,1.9365452317288145e-06,0.0011318855686113238,0.0016817968571558595,0.0003266932035330683,0.0019382918253540993,-0.027499999850988388,0.7850000262260437,0.7400000095367432,0.9449999928474426,0.675000011920929
1,2,2.373471736907959,1.8837820291519165,3.51829195022583,0.02976745180785656,0.0,0.006948786787688732,0.0,0.06664062291383743,21.716342328866517,21.71634292602539,11.347294807434082,0.8125776648521423,0.7170623540878296,0.6330049633979797,1.3162659406661987,18.426359176635742,1.5000008344650269,0.5,1e-06,1e-06,5e-07,0,0,17.75883674621582,1.026300072669983,0.36540544033050537,4.781858921051025,0.3185691833496094,0.000822237750981003,0.0010042163776233792,0.0005240148166194558,0.004018169362097979,0.0011102308053523302,-0.4325000047683716,0.36500000953674316,-0.9300000071525574,0.8349999785423279,0.375
1,3,0.9598694443702698,0.7372820973396301,0.5555984973907471,0.030101347714662552,0.0008424280094914138,0.00886981375515461,0.0,0.05582031235098839,1.952305558332165,1.952305555343628,1.0808446407318115,0.10055100172758102,0.06981156766414642,0.10948952287435532,0.10248421877622604,1.6142480373382568,1.500001311302185,0.5,1e-06,1e-06,5e-07,0,0,1.0520930290222168,1.036116361618042,0.31135159730911255,0.41364404559135437,0.39663422107696533,6.619931809836999e-05,0.0015482489252462983,0.0007311629597097635,0.0005285059451125562,0.0010887045646086335,-0.17749999463558197,0.36000001430511475,-0.26499998569488525,0.7400000095367432,0.2199999988079071
1,4,1.1048040390014648,0.8768861889839172,0.7594802975654602,0.029429547488689423,0.008853570558130741,0.008370821364223957,0.0,0.05850781127810478,1.3436951158809165,1.343695044517517,0.7284126281738281,0.05657714232802391,0.044070370495319366,0.057972002774477005,0.06838160753250122,1.123277187347412,1.5000017881393433,0.5,1e-06,1e-06,5e-07,0,0,0.7958242297172546,0.3458511233329773,0.23986530303955078,0.34092196822166443,0.5788258910179138,4.4519951188704e-05,0.0004530127043835819,0.0006348634487949312,0.0003868096391670406,0.0016204069834202528,-0.28999999165534973,0.4449999928474426,-0.48750001192092896,0.6700000166893005,0.4399999976158142
1,5,1.0710341930389404,0.8641268014907837,0.7441242933273315,0.026306165382266045,0.0,0.006885110400617123,0.0,0.06702344119548798,4.959708260774332,4.959708213806152,2.812805652618408,0.2026170790195465,0.18091531097888947,0.1530793309211731,0.25554320216178894,4.0650105476379395,1.5000022649765015,0.5,1e-06,1e-06,5e-07,0,0,3.8787012100219727,0.5140140652656555,0.16344797611236572,0.898975670337677,0.6171755194664001,0.00020663169561885297,0.0005704270442947745,0.0005401595844887197,0.0008151400252245367,0.001726691727526486,-0.4424999952316284,0.4699999988079071,-0.4975000023841858,0.8650000095367432,0.4449999928474426
1,6,1.4221534729003906,0.9269651770591736,0.8545658588409424,0.02574615553021431,0.2415061891078949,0.007413479033857584,0.0,0.06389844417572021,1.6738981498328982,1.6738981008529663,0.8924834728240967,0.11404450982809067,0.060360558331012726,0.11686240881681442,0.11701195687055588,1.4005035161972046,1.5000027418136597,0.5,1e-06,1e-06,5e-07,0,0,0.39743468165397644,0.14801570773124695,0.9206054210662842,0.1518147587776184,0.9544554352760315,2.230121026514098e-05,0.00022801451268605888,0.0012331502512097359,0.0001619473478058353,0.002178257331252098,-0.5325000286102295,0.4650000035762787,-0.4650000035762787,0.949999988079071,0.7724999785423279
1,7,1.7882747650146484,1.2599438428878784,1.579552173614502,0.028810033574700356,0.21399962902069092,0.008022843860089779,0.0,0.06042968109250069,5.799610733998362,5.799610614776611,3.2316112518310547,0.2639780044555664,0.19969798624515533,0.20865602791309357,0.2740136682987213,4.7920756340026855,1.5000032186508179,0.5,1e-06,1e-06,5e-07,0,0,4.365593433380127,0.7730104923248291,1.0720926523208618,1.3495221138000488,0.5808987617492676,0.00022311742941383272,0.0008892803452908993,0.0012999443570151925,0.0012813661014661193,0.0016474345466122031,-0.4424999952316284,0.6050000190734863,-0.20999999344348907,0.7300000190734863,0.5550000071525574
1,8,0.7672626972198486,0.6287621259689331,0.39625293016433716,0.03012879006564617,0.0,0.008505739271640778,0.0,0.05777343735098839,1.512239265078791,1.5122392177581787,0.8451110124588013,0.07204264402389526,0.05650614574551582,0.09588643163442612,0.08721659332513809,1.2439738512039185,1.500003695487976,0.5,1e-06,1e-06,5e-07,0,0,0.34198281168937683,0.8949011564254761,0.2113385945558548,0.355707585811615,0.6771106719970703,2.3257236534846015e-05,0.001295632217079401,0.0005130291101522744,0.0004079379141330719,0.0016824554186314344,-0.24250000715255737,0.5899999737739563,-0.054999999701976776,0.9200000166893005,0.6050000190734863
1,9,1.8490391969680786,1.2166757583618164,1.4654345512390137,0.0270234327763319,0.3185631036758423,0.00802004337310791,0.0,0.06044531241059303,5.121262286167835,5.121262073516846,2.8838794231414795,0.24506482481956482,0.17331066727638245,0.20064520835876465,0.24232275784015656,4.209690570831299,1.5000041723251343,0.5,1e-06,1e-06,5e-07,0,0,3.621908187866211,1.0722228288650513,1.2478930950164795,1.225114107131958,0.628865659236908,0.000183792260941118,0.0011759287444874644,0.0014720718609169126,0.0011478262022137642,0.0016920267371460795,-0.39750000834465027,0.5199999809265137,-0.49000000953674316,0.9399999976158142,0.4749999940395355
1,10,0.7042341232299805,0.5307103395462036,0.28310519456863403,0.036960162222385406,0.006872623693197966,0.009446929208934307,0.0,0.05280468985438347,1.0064101899748155,1.0064102411270142,0.5724338293075562,0.06252756714820862,0.03879810497164726,0.07710250467061996,0.06296849250793457,0.8184474110603333,1.5000046491622925,0.5,1e-06,1e-06,5e-07,0,0,0.10721474885940552,0.42308229207992554,0.35791483521461487,0.26077309250831604,0.5322188138961792,9.606518688087817e-06,0.0009946983773261309,0.0006686587585136294,0.0003650328435469419,0.001404901733621955,-0.15000000596046448,0.38999998569488525,-0.019999999552965164,0.6800000071525574,0.36000001430511475
1,11,1.3023791313171387,1.0396636724472046,1.074509620666504,0.029020460322499275,0.001980300759896636,0.008156349882483482,0.0,0.05968749523162842,5.581262923614351,5.581263065338135,3.139697313308716,0.23420079052448273,0.15825778245925903,0.22226980328559875,0.223057359457016,4.594969272613525,1.5000051259994507,0.5,1e-06,1e-06,5e-07,0,0,3.656508207321167,2.266453981399536,0.35746538639068604,1.530691385269165,0.36888566613197327,0.0002135489194188267,0.0025258869864046574,0.0007249173359014094,0.0015091195236891508,0.0013927058316767216,-0.4074999988079071,0.6349999904632568,-0.12250000238418579,0.7450000047683716,0.5174999833106995
1,12,1.102311134338379,0.6478636264801025,0.42232903838157654,0.030204862356185913,0.22808028757572174,0.008488456718623638,0.0,0.05786718800663948,2.1319399297850166,2.1319398880004883,1.141040563583374,0.12477973848581314,0.07197145372629166,0.12251707911491394,0.12692154943943024,1.7864279747009277,1.5000056028366089,0.5,1e-06,1e-06,5e-07,0,0,1.2667664289474487,0.22314856946468353,0.9883422255516052,0.5586378574371338,0.49793121218681335,0.00011818028724519536,0.0006385596352629364,0.001349654165096581,0.0006435426184907556,0.0011175507679581642,-0.007499999832361937,0.05000000074505806,-0.6175000071525574,0.875,0.14749999344348907
