method,config,val_data_best,val_data_ep5,val_data_ep1,val_data_ep2,val_data_ep3,val_data_ep4,best_ep,spike_rate_ep5,spike_rate_min,spike_rate_max,train_data_ep5,grad_norm_ep1,grad_norm_ep5,time_per_ep,val_delta_4to5,val_delta_3to5,overfitting_gap
baseline,adamw_lr5e-4,0.2225412441060898,0.2225412441060898,0.2362629444675242,0.234469176923975,0.2244679810518914,0.2227349951863289,5,0.0425897269172871,0.0368651175237399,0.0425897269172871,0.2185775334505658,2.2970315143466,0.0708007853943854,182.08175411224366,-0.00019375108023908516,-0.0019267369458015882,-0.003963710655524005
baseline,adamw_lr1e-3,0.2225597630789939,0.2227291410907786,0.2345194455156935,0.2248174909581529,0.2228973647381397,0.2225597630789939,4,0.0437686356537519,0.0370971067868014,0.0437686356537519,0.2184695066197922,1.3513055230883,0.0601725364373506,182.1426471710205,0.0001693780117847099,-0.0001682236473611043,-0.004259634470986401
baseline,adamw_lr2e-3,0.2220942114895962,0.2220942114895962,0.2263518655870823,0.2227794605683773,0.2225956261316512,0.2223035430020474,5,0.0464750990826398,0.0357898772555462,0.047206066271409,0.2184153846612102,0.6970351493917406,0.0546903054959042,182.06314120292663,-0.00020933151245119963,-0.0005014146420549981,-0.0036788268283860226
baseline,adamw_lr5e-3,0.2217664867639541,0.2217664867639541,0.2225253753205563,0.222656914052811,0.2227148690280762,0.2249721724619256,5,0.0405433784694747,0.0328171132132411,0.0438983621511687,0.2183442202837843,0.3980797864723411,0.0520131617095198,184.62256150245668,-0.0032056856979715,-0.0009483822641220829,-0.0034222664801698
baseline,adam_lr2e-3,0.2218991001235677,0.2218991001235677,0.2231526856726788,0.2225945431818353,0.2226671677954653,0.2223595525831618,5,0.0386467065979191,0.0386467065979191,0.0455946439599737,0.2181067178123875,0.6931780873148359,0.087052951460263,181.41470646858215,-0.00046045245959411285,-0.0007680676718976043,-0.0037923823111802035
baseline,lion_lr1e-4,0.234907291671063,0.234907291671063,0.5296836657092926,0.3865016919184238,0.2833077924999785,0.2473104676984726,5,0.0459971788557286,0.0222041298377704,0.0459971788557286,0.2328891193396166,5.2354286080912535,0.1235980954388842,183.16893901824952,-0.01240317602740959,-0.048400500828915505,-0.0020181723314464106
baseline,prodigy_lr1_d10,0.239997257736135,0.239997257736135,0.239997257736135,0.239997257736135,0.239997257736135,0.239997257736135,1,0.1604115856771773,0.1604115856771773,0.1604115856771773,0.0,2.427878788554114e+16,0.0,175.94656414985656,0.0,0.0,-0.239997257736135
baseline,prodigy_lr1_d05,0.2250282594815213,0.2250282594815213,0.2250282594815213,0.2250282594815213,0.2250282594815213,0.2250282594815213,1,0.3553837185844462,0.3553692013659376,0.3553837185844462,0.2211085786552805,0.4925019861459568,9.615265604191515e-10,173.67627654075622,0.0,0.0,-0.003919680826240807
baseline,prodigy_lr1_d03,0.2400019105444563,0.2400019105444563,0.2400019105444563,0.2400019105444563,0.2400019105444563,0.2400019105444563,1,0.3605447110343486,0.3604386439348789,0.3605447110343486,0.2368661398166104,0.7531888731765665,0.0,172.87072434425355,0.0,0.0,-0.0031357707278459046
baseline,prodigy_lr1_d01,0.225028228728061,0.2250282311059059,0.225028229045107,0.225028228728061,0.225028229045107,0.2250282303132909,2,0.1781436930945579,0.1776872659300236,0.1781436930945579,0.2211085477549778,1.3578220421040053,3.535120977086368e-06,176.3013069152832,7.926150014103683e-10,2.0607988926446552e-09,-0.003919683350928099
baseline,prodigy_lr01_d10,0.2225536699307725,0.2225536699307725,0.8046086563708934,0.2338487738941578,0.223031869118518,0.222694789792629,5,0.0446200381092568,0.0190439805329004,0.0446200381092568,0.2183563436724637,7.174769436685662,0.0603314057874836,175.6721073627472,-0.00014111986185649794,-0.0004781991877454983,-0.004197326258308792
bptt_lif_simple,adamw_lr5e-4,0.3419636492716505,0.3419636492716505,0.4756853523406577,0.4016771616136774,0.3688640550095984,0.350624402152731,5,0.0747829403014893,0.0360962432670466,0.0747829403014893,0.3344667335089884,1.026949876625287,0.2562266318421615,5.444749736785889,-0.00866075288108048,-0.026900405737947886,-0.007496915762662093
bptt_lif_simple,adamw_lr1e-3,0.3270131225915665,0.3270131225915665,0.4040395254467396,0.3510821571058415,0.3382031332622183,0.3295320072706709,5,0.1290765936545869,0.0454411501500834,0.1290765936545869,0.3144924773981696,0.8259252636056197,0.2743117452844193,5.3693459033966064,-0.002518884679104383,-0.011190010670651784,-0.012520645193396907
bptt_lif_simple,adamw_lr2e-3,0.317861518327226,0.317861518327226,0.3521532414758459,0.3321255168065111,0.3246017653257289,0.3214810783875749,5,0.2126137582545584,0.0622173163722804,0.2126137582545584,0.3068358913848275,0.6040980757459213,0.3549483764622556,5.357406997680664,-0.003619560060348914,-0.006740246998502897,-0.011025626942398503
bptt_lif_simple,adamw_lr5e-3,0.3205130691541002,0.3205130691541002,0.329073946685233,0.325360636127756,0.3224796660720034,0.3212971866447874,5,0.2856705377393581,0.1200734839001868,0.2856705377393581,0.3068639054894447,0.3734252833810292,0.0254242280387858,5.3663593292236325,-0.0007841174906871862,-0.001966596917903185,-0.013649163664655517
bptt_lif_simple,adam_lr2e-3,0.3181285736091593,0.3181285736091593,0.3518303843571784,0.3314217336951418,0.324562058169791,0.3222763929912384,5,0.2092853431054886,0.0622638589207162,0.2092853431054886,0.3070352802151128,0.6028491123726494,0.3248284685082341,5.3366858959198,-0.004147819382079088,-0.006433484560631697,-0.011093293394046522
bptt_lif_simple,lion_lr1e-4,0.4467258003163845,0.4467258003163845,0.5775482914549239,0.5429567846846073,0.5083848450412142,0.4757266127048655,5,0.0405157425817339,0.0273606493435007,0.0405157425817339,0.4426451548149711,1.2578041907988096,0.657594517030214,5.410105991363525,-0.029000812388481012,-0.06165904472482969,-0.004080645501413405
bptt_lif_simple,prodigy_lr1_d10,0.332278699950969,0.332278699950969,0.332278699950969,0.332278699950969,0.332278699950969,0.332278699950969,1,0.5125083793350991,0.5125083793350991,0.5129467236234787,0.3180810010746905,0.1284899784404932,0.0,5.356101608276367,0.0,0.0,-0.014197698876278475
bptt_lif_simple,prodigy_lr1_d05,0.3216990080285579,0.3216990080285579,0.3216990080285579,0.3216990080285579,0.3216990080285579,0.3216990080285579,1,0.416521982943758,0.416521982943758,0.4168663075629701,0.3070157074614575,0.159938980882049,0.0,5.374837112426758,0.0,0.0,-0.014683300567100377
bptt_lif_simple,prodigy_lr1_d03,0.3216987680247489,0.3216990075529889,0.3216987680247489,0.3216990075529889,0.3216990075529889,0.3216990075529889,1,0.4643627401996166,0.4552211108359885,0.4645499495115686,0.3070157070693217,0.1928328374542553,1.8569759527590387e-09,5.301011562347412,0.0,0.0,-0.014683300483667228
bptt_lif_simple,prodigy_lr1_d01,0.3216988831124407,0.3216988831124407,0.3216988937334811,0.3216988904044983,0.3216988883436994,0.3216988846976706,5,0.4442895682568246,0.4442895682568246,0.4443745159722389,0.307015608800085,0.3363229255165857,8.588617185398712e-07,5.44824538230896,-1.5852298917984342e-09,-5.231258703997099e-09,-0.01468327431235572
bptt_lif_simple,prodigy_lr01_d10,0.3206547849038814,0.3206547849038814,0.61310069611732,0.3467174705038679,0.3218318024214278,0.3207803961444408,5,0.2589838560274307,0.0242952474571288,0.2589838560274307,0.3061440760367795,1.444483075957549,0.0275755574326276,5.457462930679322,-0.00012561124055943118,-0.001177017517546397,-0.014510708867101874
eventprop_lif_simple,adamw_lr5e-4,0.3688078685960871,0.3688078685960871,0.6153690561335138,0.4545835629105568,0.4011031511299153,0.3821358487327048,5,0.2728995944749802,0.1894333864304613,0.2728995944749802,0.3612604825904494,1787.5365076165451,223.73891574960007,6.254664754867553,-0.013327980136617679,-0.032295282533828185,-0.007547386005637702
eventprop_lif_simple,adamw_lr1e-3,0.3286834956800684,0.3286834956800684,0.4660688397732186,0.3711140865975238,0.3432002597032709,0.3330650629198297,5,0.3523464166420571,0.1958038642051372,0.3523464166420571,0.3144137323686951,910.4917749404908,589.1501803611454,5.9383069515228275,-0.004381567239761297,-0.01451676402320251,-0.014269763311373307
eventprop_lif_simple,adamw_lr2e-3,0.3224142823130526,0.3224142823130526,0.3784837664124813,0.338217629714215,0.3281803429126739,0.3232013779751798,5,0.4823724228016873,0.2426542405118333,0.4823724228016873,0.3083082919842319,424.9596501199823,183.9865936756134,6.063480234146118,-0.0007870956621272018,-0.005766060599621314,-0.014105990328820706
eventprop_lif_simple,adamw_lr5e-3,0.3209969082728345,0.3209969082728345,0.3307535497749105,0.3221056534254805,0.3289490584680374,0.3242506199377648,5,0.5964133828244311,0.3399988582476656,0.6231249285505173,0.3069655816021718,289.76516510248183,4734.741717367267,6.132145738601684,-0.00325371166493027,-0.0079521501952029,-0.014031326670662703
eventprop_lif_simple,adam_lr2e-3,0.3223157442630605,0.3223157442630605,0.3896065260818664,0.3508049249649048,0.3300287219438147,0.3227268676174448,5,0.5570830534747306,0.2370109219658882,0.5570830534747306,0.3079909905007011,419.6382405682614,235.5179139589009,6.1263744831085205,-0.0004111233543843129,-0.0077129776807542405,-0.014324753762359366
eventprop_lif_simple,lion_lr1e-4,0.5537017193880487,0.6213240737610675,0.8182345860181971,0.5781265874492362,0.5537017193880487,0.6185407191514969,3,0.2345437863247191,0.1895088094504589,0.2384821395290658,0.6157234728336334,3694.310603212056,215.92379634254857,6.053340911865234,0.0027833546095705763,0.06762235437301878,-0.005600600927434085
eventprop_lif_simple,prodigy_lr1_d10,0.332278699950969,0.332278699950969,0.332278699950969,0.332278699950969,0.332278699950969,0.332278699950969,1,0.5032344989954157,0.4765217751264572,0.5061537293677635,0.3180810010746905,77.79068240565279,0.0,6.245628356933594,0.0,0.0,-0.014197698876278475
eventprop_lif_simple,prodigy_lr1_d05,0.3322786970975551,0.332278699950969,0.3322787009021069,0.3322787002680149,0.332278698999831,0.3322786970975551,4,0.6035489034145436,0.4198514705008648,0.6035489034145436,0.3180814530504377,379.19357753062025,0.0006005149436108,6.193104934692383,2.8534138940550235e-09,9.51138001692442e-10,-0.014197246900531257
eventprop_lif_simple,prodigy_lr1_d03,0.3216990080285579,0.3216990080285579,0.3216990080285579,0.3216990080285579,0.3216990080285579,0.3216990080285579,1,0.5124913783783608,0.4652353807332668,0.5130264438847278,0.3070157074614575,239.9302392740725,0.0,6.164818000793457,0.0,0.0,-0.014683300567100377
eventprop_lif_simple,prodigy_lr1_d01,0.3216990080285579,0.3216990080285579,0.3216990080285579,0.3216990080285579,0.3216990080285579,0.3216990080285579,1,0.4539155303797823,0.4320170153328713,0.4548438194584339,0.3070157074614575,224.34692328572825,8.666379723372136e-13,6.193896961212158,0.0,0.0,-0.014683300567100377
eventprop_lif_simple,prodigy_lr01_d10,0.320662314745974,0.321355200194298,0.3429929964402888,0.3216860521029919,0.320662314745974,0.3213944742654232,3,0.7319126788606035,0.2419848802717442,0.7319126788606035,0.3098732010314339,752.7211232963361,795.8751107069222,6.165803718566894,-3.927407112525039e-05,0.0006928854483239655,-0.011481999162864076
eventprop_alif_full,adamw_lr5e-4,0.8746842989262115,0.8746842989262115,1.0836817191002217,0.8978492890266662,0.8926890727053297,0.8787653471561189,5,0.2098326671947824,0.2087180262550394,0.2480881937006686,0.7428417757937783,7.561094481380362,3.289945109604431e+17,108.45953722000122,-0.0040810482299074025,-0.018004773779118244,-0.13184252313243316
eventprop_alif_full,adamw_lr1e-3,0.8457376449666125,1.1893144509893785,0.9005431361654972,0.8625660443559606,1.1190604497777654,0.8457376449666125,4,0.1976647159837662,0.1976647159837662,0.2333242152916624,0.1403533439887197,6.58532864545521,1.6030177525277904e+17,109.29419322013855,0.34357680602276597,0.07025400121161307,-1.0489611070006588
eventprop_alif_full,adamw_lr2e-3,0.2226494179761156,0.2227131424749151,0.878512258225299,0.2236983218091599,0.2226893616483566,0.2226494179761156,4,0.2572029783053601,0.2087912846435891,0.2623097596967474,0.2186864114905658,6.928226819477583,0.1001617257409778,109.1071608543396,6.37244987995167e-05,2.37808265585171e-05,-0.004026730984349303
eventprop_alif_full,adamw_lr5e-3,1.7678657579929271,1.7715995248327865,1.7678657579929271,1.7715995248327865,1.7715995248327865,1.7715995248327865,1,0.1965175882932987,0.192047265615869,0.1965175882932987,0.0,65968954061326.94,0.0,108.89579453468323,0.0,0.0,-1.7715995248327865
eventprop_alif_full,adam_lr2e-3,0.8941365049240437,1.0715142418729495,0.8941365049240437,1.0540614470522454,1.0197450880040513,1.0715142418729495,1,0.2165836720390522,0.209144299493191,0.2216332217163228,0.0,6.570317296605361,0.0,109.86885805130005,0.0,0.05176915386889824,-1.0715142418729495
eventprop_alif_full,lion_lr1e-4,0.9996394711606046,0.9996394711606046,3.1419215760332477,1.2309792377847306,1.1422659088956548,1.0203488957374651,5,0.1988750610579835,0.1988750610579835,0.2146813753754534,1.0629753391993673,9.751920125358984,5.269462526315137,108.23989458084107,-0.020709424576860536,-0.14262643773505024,0.06333586803876268
eventprop_alif_full,prodigy_lr1_d10,0.2400017044645674,0.2400017044645674,0.2400017044645674,0.2400017044645674,0.2400017044645674,0.2400017044645674,1,0.421136311077057,0.421136311077057,0.421136311077057,0.0,33104455057935.86,0.0,108.36936540603638,0.0,0.0,-0.2400017044645674
eventprop_alif_full,prodigy_lr1_d05,0.2400019054717206,0.2400019054717206,0.2400019083251344,0.2400019091177494,0.2400019091177494,0.2400019054717206,4,0.3487684669646811,0.3487684669646811,0.3671158431692326,0.0,3350579592699.868,0.0,109.96601257324218,0.0,-3.646028812198665e-09,-0.2400019054717206
eventprop_alif_full,prodigy_lr1_d03,0.3110373237348617,0.3128958453840397,0.3234824024616404,0.322434238455397,0.316500370965359,0.3110373237348617,4,0.3581021900506729,0.341038371020175,0.3914455241979436,0.0047580290781824,12516554543030.244,4.320331921603332e+16,109.83852558135986,0.001858521649177991,-0.0036045255813192956,-0.3081378163058573
eventprop_alif_full,prodigy_lr1_d01,0.2352895116869439,0.2353134762416494,0.309219960202562,0.2352895116869439,0.2354214204118606,0.2354237562481393,2,0.1958106810108144,0.1954277520801158,0.2298453678476049,0.0049683084613398,3.176795733352437,1.2770118425870542e+17,110.17880058288574,-0.0001102800064899101,-0.00010794417021120495,-0.23034516778030958
eventprop_alif_full,prodigy_lr01_d10,0.9747357114832452,1.0245299992409158,3.75326195676276,1.211451162683203,1.4335819115030004,0.9747357114832452,4,0.201503981935217,0.1978145574635647,0.2310247395900969,0.2139434303108014,11.278445586405304,4.370917938955365e+17,109.97864632606506,0.049794287757670586,-0.4090519122620846,-0.8105865689301144
