champion,po2_on,po2_off,delta_qat_absorbed
Raffaello,3.7604975787298516,3.602564723441664,0.15793285528818757
Leonardo,1.60261463466456,1.8281841569948423,-0.22556952233028227
Donatello,1.4799979315439404,1.5219838349904442,-0.04198590344650377
Michelangelo,1.6325081306344906,1.7179043521132709,-0.08539622147878023
