champion,dparam_v0,dparam_T,dparam_s0,dparam_a,dparam_b
Raffaello,0.002117156982421875,0.0018658638000488281,0.002383629558607936,0.008745044469833374,0.002270340919494629
Leonardo,0.0018488565692678094,0.0010635217186063528,0.0015347481239587069,0.0023570337798446417,0.0017720540054142475
Donatello,0.0023621877189725637,0.002490790793672204,0.0017931938637048006,0.0026691476814448833,0.0018021821742877364
Michelangelo,0.0024749755393713713,0.0017608801135793328,0.0016809304943308234,0.0026082058902829885,0.00197018776088953
