epoch,batch_idx,loss_total,loss_data,loss_phys,loss_ou,loss_bc,loss_sr,spike_rate,gn_total_preclip,gn_total_postclip,gn_hidden_fc,gn_hidden_recU,gn_hidden_recV,gn_hidden_base_threshold,gn_hidden_thresh_jump,gn_out_fc,weight_max_abs_global,lr,prodigy_d,prodigy_d_max,prodigy_lr_eff,is_nan_loss,is_inf_grad
1,1,0.9766733050346375,0.8910573124885559,0.782777726650238,0.14676469564437866,0.0,0.02250000089406967,0.0,28.969861917206792,28.96986198425293,nan,nan,nan,nan,nan,nan,1.5000003576278687,0.1,1e-06,1e-06,1e-07,0,0
1,2,1.3673948049545288,1.2122418880462646,1.4674551486968994,0.16814815998077393,0.0,0.02250000089406967,0.0,31.335331670569524,31.335330963134766,nan,nan,nan,nan,nan,nan,1.5000008344650269,0.1,1e-06,1e-06,1e-07,0,0
1,3,1.1977283954620361,1.0745487213134766,1.1507787704467773,0.16203612089157104,0.0,0.02250000089406967,0.0,14.094412369131552,14.094412803649902,nan,nan,nan,nan,nan,nan,1.500001311302185,0.1,1e-06,1e-06,1e-07,0,0
1,4,1.7835341691970825,1.541565179824829,2.3482823371887207,0.14281557500362396,0.0,0.02250000089406967,0.0,28.138584575223227,28.13858413696289,nan,nan,nan,nan,nan,nan,1.5000019073486328,0.1,1e-06,1e-06,1e-07,0,0
1,5,1.470030665397644,1.2934356927871704,1.6845184564590454,0.1628614217042923,0.0,0.02250000089406967,0.0,23.82931256664029,23.82931137084961,nan,nan,nan,nan,nan,nan,1.5000025033950806,0.1,1e-06,1e-06,1e-07,0,0
1,6,1.022165060043335,0.9268447160720825,0.8579857349395752,0.19043363630771637,0.0,0.02250000089406967,0.0,22.836268338219448,22.836267471313477,nan,nan,nan,nan,nan,nan,1.5000030994415283,0.1,1e-06,1e-06,1e-07,0,0
1,7,1.1067142486572266,0.9985564947128296,0.9904656410217285,0.18222296237945557,0.0,0.02250000089406967,0.0,18.51100753642914,18.51100730895996,nan,nan,nan,nan,nan,nan,1.500003695487976,0.1,1e-06,1e-06,1e-07,0,0
1,8,1.2908377647399902,1.1489428281784058,1.318789005279541,0.20032185316085815,0.0,0.02250000089406967,0.0,28.2962625382811,28.296262741088867,nan,nan,nan,nan,nan,nan,1.5000042915344238,0.1,1e-06,1e-06,1e-07,0,0
1,9,1.6214516162872314,1.4148731231689453,1.9871073961257935,0.15735553205013275,0.0,0.02250000089406967,0.0,27.53677105639183,27.536771774291992,nan,nan,nan,nan,nan,nan,1.5000048875808716,0.1,1e-06,1e-06,1e-07,0,0
1,10,1.0860182046890259,0.9802746772766113,0.9685807228088379,0.1777104288339615,0.0,0.02250000089406967,0.0,12.82549211915972,12.825492858886719,nan,nan,nan,nan,nan,nan,1.5000054836273193,0.1,1e-06,1e-06,1e-07,0,0
1,11,1.3393211364746094,1.192185640335083,1.389307975769043,0.1640932559967041,0.0,0.02250000089406967,0.0,22.260513826307502,22.260513305664062,nan,nan,nan,nan,nan,nan,1.500006079673767,0.1,1e-06,1e-06,1e-07,0,0
1,12,1.091646432876587,0.9860373139381409,0.9675079584121704,0.1771663874387741,0.0,0.02250000089406967,0.0,15.108973509487305,15.108973503112793,nan,nan,nan,nan,nan,nan,1.5000066757202148,0.1,1e-06,1e-06,1e-07,0,0
1,13,0.8943673968315125,0.8190834522247314,0.677487313747406,0.15070468187332153,0.0,0.02250000089406967,0.0,24.75959191335321,24.759592056274414,nan,nan,nan,nan,nan,nan,1.5000072717666626,0.1,1e-06,1e-06,1e-07,0,0
1,14,1.0556371212005615,0.9571254849433899,0.9123240113258362,0.14558634161949158,0.0,0.02250000089406967,0.0,28.136078325806423,28.136077880859375,nan,nan,nan,nan,nan,nan,1.5000078678131104,0.1,1e-06,1e-06,1e-07,0,0
1,15,1.1209396123886108,1.0105417966842651,1.0234875679016113,0.1609807163476944,0.0,0.02250000089406967,0.0,16.772250802287424,16.77225112915039,nan,nan,nan,nan,nan,nan,1.500008463859558,0.1,1e-06,1e-06,1e-07,0,0
1,16,0.9251993894577026,0.8457579612731934,0.7236085534095764,0.14161087572574615,0.0,0.02250000089406967,0.0,18.06238174219964,18.062381744384766,nan,nan,nan,nan,nan,nan,1.5000090599060059,0.1,1e-06,1e-06,1e-07,0,0
1,17,0.9864592552185059,0.8995674252510071,0.8073258399963379,0.12318453192710876,0.0,0.02250000089406967,0.0,20.8506454104445,20.850645065307617,nan,nan,nan,nan,nan,nan,1.5000096559524536,0.1,1e-06,1e-06,1e-07,0,0
