tag,h,rank,min_val_data,ep,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b,params
LS2_x1_h32_ff,32,8,0.1543744703794413,50,0.3912277616341224,0.2956465049438857,0.3343945220571516,0.3425558840180183,0.390663341930611,832
LS2_x2_h50_ff,50,12,0.1735047576552693,39,0.2632296051343261,0.2923992829124965,0.2835605396619597,0.3424370152716387,0.3510921581689534,1700
LS2_x4_h74_ff,74,18,0.2175977509072486,5,0.3011547175685011,0.1204562626407419,0.128423038457406,0.3551507000395664,0.1512214046161886,3404
LS2_x8_h108_ff,108,27,0.2573928202878922,50,0.4163154710463609,0.2816655362543177,0.1240284295218027,0.3949522333426926,0.4348255791806003,6912
LS2_x10_h122_ff,122,30,0.2649573836713395,50,0.5192506693481067,0.1175970601543138,0.1749073368088515,0.3948421353460731,0.4350831072766199,8540
