champion,accuracy_pct,min_gap,brake_margin_min,collision_rate,head_to_tail,energy_adv_x
Master Splinter,100.0,7.7337391510221725,7.560726721309084,0.0755555555555555,0.0656821394484304,
Raffaello,69.33745666473541,7.475265326929291,7.312072164070773,0.0666666666666666,0.1561520103995505,22.069713023075767
Leonardo,77.53297510690903,7.803841236378577,7.63371915729878,0.0711111111111111,0.1256339464211655,22.298144789207
Donatello,84.75028917887869,7.427796304194774,7.258540613719391,0.0755555555555555,0.2063240548891512,26.223997134773263
Michelangelo,79.17765147610514,7.755723772983577,7.593491300033899,0.0711111111111111,0.1877223499229454,29.578594081887736
