,normale (memoria),ablato (no memoria),guadagno_memoria
v0,0.2417732050979004,0.21919936583181282,-0.02257383926608758
T,0.11815738403955324,0.12489058237246912,0.006733198332915885
s0,0.13469066076265157,0.08200219754631659,-0.05268846321633498
a,0.33135189465631937,0.1434489295859376,-0.18790296507038176
b,0.17829901633284578,0.1489469719042758,-0.02935204442856998
