champion,min_gap_ideale,collision_ideale,brake_margin_ideale,min_gap_bagnato,collision_bagnato,brake_margin_bagnato,min_gap_ghiaccio,collision_ghiaccio,brake_margin_ghiaccio
Master Splinter,7.788359983999279,0.08148148148148149,7.574789626601684,7.0877253749942035,0.2518518518518518,6.19574318910085,5.853356813413506,0.6370370370370371,2.2223062058940237
Raffaello,7.585670014948807,0.06666666666666667,7.388001208862285,7.053835454208016,0.2518518518518518,6.15297871234725,5.8371922512203,0.5925925925925926,2.405205548342373
Leonardo,7.9344769455571456,0.07407407407407407,7.728915875287422,7.29874721749706,0.21481481481481482,6.458321630605793,5.931428977293081,0.5925925925925926,2.6458455207553144
Donatello,7.585294892309979,0.08148148148148149,7.377579321036398,6.90162756885338,0.26666666666666666,5.9376572057597565,5.774885412515304,0.5925925925925926,2.0802515155298096
Michelangelo,7.9530789215926925,0.07407407407407407,7.753812130720147,7.372250696390454,0.21481481481481482,6.591547603289906,5.9341566384911735,0.5851851851851851,2.7543903688059905
