epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff
1,0.9465308398008346,0.8389372819662094,0.7924084767699242,0.3940310537815094,0.0,0.01730232460424304,0.8963410776663334,0.7928794441705055,0.7552169688204502,0.3869288909803838,0.0,0.017186984910253198,1.0,9.394384577274323,0.018945604097098112,136.1959137916565,5.955032434327428e-05,5.955032434327428e-05,5.955032434327428e-05
2,0.43341537222266197,0.3969049867987633,0.22383672246709466,0.15350648543516854,0.0,0.012902781292796135,0.228744142114165,0.22027659998770724,0.051646151307455083,5.426430109455008e-06,0.0,0.006605317645230668,1.0,2.838742747968063,0.06908046491840418,135.9373378753662,0.004196214009621201,0.004196214009621201,0.004196214009621201
3,0.21817773699760437,0.21206687517464162,0.047403136119246486,0.00010909565891779493,0.0,0.002730192256198729,0.2270668081225867,0.22112624739554335,0.05184898461571875,5.426430336828684e-06,0.0,0.0015107911065260463,1.0,0.06953395653050393,0.1121674287033842,136.51771020889282,0.004303457677849387,0.004303457677849387,0.004303457677849387
4,0.2269728983938694,0.22162010736763477,0.05181099559180438,5.426424313554889e-06,0.0,0.0003428471435967939,0.2268869205120396,0.22157989319493163,0.051975914534736184,5.426424833901965e-06,0.0,0.00021833612637534735,1.0,0.010328633160679602,0.13865713481890393,136.03380727767944,0.004303457677849387,0.004303457677849387,0.004303457677849387
5,0.21756056815385819,0.21264566212892533,0.048563462235033515,5.426424745564873e-06,0.0,0.00011658422156585858,0.22510059950675101,0.21970520247804357,0.051673718069263914,5.4264352640646086e-06,0.0,0.00045551496751952984,1.0,0.05016397420084104,0.13098477298750522,135.62754726409912,0.004303457677849387,0.004303457677849387,0.004303457677849387
6,0.22531500160694123,0.2200522802770138,0.05148518644273281,5.4264295067696365e-06,0.0,0.00022786763489559547,0.22700399263425075,0.2217126550113267,0.05202659003515827,5.426424676675487e-06,0.0,0.00017682217519642202,1.0,0.034644370774622076,0.14125774214242368,136.25037455558777,0.004303457677849387,0.004303457677849387,0.004303457677849387
7,0.2146264235675335,0.2099625027179718,0.045899875396862626,5.42642476830224e-06,0.0,0.000147332197466028,0.2267022219664873,0.22145231844896965,0.05194582683133318,5.426424647649061e-06,0.0,0.00011010546425414559,1.0,0.05694197575678118,0.14742046424207536,135.90312814712524,0.004303457677849387,0.004303457677849387,0.004303457677849387
8,0.22344158843159675,0.21810340464115144,0.051188992727547886,2.193795305174717e-05,0.0,0.00043638247604775414,0.22771994559530248,0.22207960621156592,0.05213888308053163,5.426629363779633e-06,0.0,0.0008523654634236083,1.0,0.04936903914553113,0.12248677700916503,135.92015409469604,0.004303457677849387,0.004303457677849387,0.004303457677849387
9,0.24092522919178008,0.23504605054855346,0.05802005732432008,5.426450870800181e-06,0.0,0.00015381340586063887,0.22631638833975537,0.22105526464416625,0.05182577624540538,5.440623705540697e-06,0.0,0.00015655358305034342,1.0,0.010272494129021653,0.1437936480295785,135.9071547985077,0.004303457677849387,0.004303457677849387,0.004303457677849387
10,0.22071787863969802,0.2157255955040455,0.049209882728755476,0.00012854208360295162,0.0,0.00012974102562255397,0.2246798920900898,0.21944862497138215,0.05154302735079793,5.426424647649061e-06,0.0,0.00015339204795677844,1.0,0.05001747254747897,0.14679949512665577,135.6730010509491,0.004303457677849387,0.004303457677849387,0.004303457677849387
