champion,E_snn_nJ,E_ann_nJ,advantage_x,mean_spike_rate_pct,total_spikes,dead_frac,sat_frac,eff_rank_activity,spectral_radius,spectral_norm,eff_rank_W
Raffaello,31.532,184.0,5.835,13.767,2202.8,0.3125,0.0,12.617190745360247,2.991133689880371,7.746457099914551,2.488798880837965
Leonardo,30.678,184.0,5.998,13.311,2129.8,0.3125,0.0,10.803654175390184,1.1550408601760864,7.499715805053711,1.9753431867833844
Donatello,63.23,301.76,4.772,19.005,3040.8,0.0,0.0,25.64781487707964,0.051051877439022,0.2691457569599151,8.918302186246672
Michelangelo,50.18,301.76,6.014,14.689,2350.2,0.0,0.0,23.490984534464605,0.3880546987056732,0.5875588655471802,11.107195434602737
