epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff
1,1.080115597844124,0.8703029277920723,0.8149892577528953,0.03300674542784691,0.12246489316275984,0.008397037042304873,1.1083938931214048,0.912087544323282,0.9060890102323066,0.03207738128827607,0.09999488942377595,0.008197373893864929,0.5,3.433389117717743,0.05981627217632659,136.6985809803009,4.798423774080537e-06,2.593598147335068e-05,2.3992118870402687e-06
2,1.0797963985800743,0.8838005021214486,0.8426509600877762,0.03274586319923401,0.10594347186604863,0.008300042976625264,1.0844527831737032,0.8916241540870768,0.8699263669550419,0.032080858262216155,0.10013629742866699,0.008191294908682083,0.5,3.3992153531312943,0.059850597377628725,137.78335428237915,3.476288216862232e-05,0.0003487412897031108,1.738144108431116e-05
3,1.1394135200977324,0.9322157937288285,0.9603316746652126,0.03237642664462328,0.10538938441713981,0.008312715077772736,0.9936540632488879,0.8287532288343349,0.7464822960343767,0.031114184941620902,0.0845945342474071,0.008204735696632812,0.5,4.9187879383564,0.059777708149495276,137.0898597240448,0.0002518447793621734,0.002958802306908723,0.0001259223896810867
4,0.6694246184825897,0.561259138584137,0.3735474706068635,0.02328729072585702,0.06586545993748587,0.007561819818802178,0.3453028101394785,0.3255680147162143,0.11520189870188528,0.014074837172185963,0.0045362437455704376,0.005949236251948837,0.5,2.538290014564991,0.07384610752713808,137.33512783050537,0.0018245263032082887,0.018781901315985665,0.0009122631516041443
5,0.2899825855344534,0.2768699240684509,0.08801414663903415,0.016802971083670855,0.0008955212360524456,0.005151154778432101,0.2630738248216345,0.25195699874707994,0.07300059720279371,0.018062490514142715,0.0003401639199635011,0.005146956019242235,0.5,0.5468884816765786,0.07921136317259454,137.05425000190735,0.013218047400187236,0.021722710795739175,0.006609023700093618
6,0.2740185788273811,0.2601155823469162,0.07639774357900024,0.012041112082079053,0.0015474786429035704,0.008227376951836049,0.2388398340566361,0.22740613058843512,0.058074805553645845,0.008051229499656944,0.0007308964960657249,0.008985528858636129,0.5,0.5277545557916165,0.05648116456305093,136.62123727798462,0.021722710795739175,0.021722710795739175,0.010861355397869588
7,0.2576874828338623,0.24474504113197326,0.06997292820364237,0.007425945242866874,0.0005483993653658992,0.010050904743839056,0.24455252388848903,0.2317685307340419,0.05952670062555278,0.00835068924402065,0.0011101889882824901,0.010607198004591022,0.5,0.6094514527916908,0.047699758743352076,136.27930092811584,0.021722710795739175,0.021722710795739175,0.010861355397869588
8,0.255848980769515,0.24119222149252892,0.07260397852398455,0.006442752198781818,0.00131833970617663,0.011511765634641052,0.2332884068105449,0.22093085373969787,0.05534940117603525,0.006334615975340947,0.0015373621628383416,0.009937038536163722,0.5,0.6614589986950159,0.051133540161746614,136.40825271606445,0.021722710795739175,0.021722710795739175,0.010861355397869588
9,0.242062311694026,0.22841814897954463,0.06292539057321847,0.007716737091541291,0.0013825958261080018,0.011166379544883967,0.23241254116626495,0.21970046668293627,0.0536674727447965,0.009324023911253886,0.0009630170907587277,0.011832217772570538,0.5,0.4989762062579393,0.04182282777780548,136.29615950584412,0.021722710795739175,0.021722710795739175,0.010861355397869588
10,0.23997513815760613,0.2271557205170393,0.062403104593977334,0.007009070550557226,0.0006403816291276599,0.011176548087969423,0.23792014996263575,0.22525828430785777,0.056563833049756096,0.007510265122425366,0.0015447870447239458,0.010170363459458693,0.5,0.5826913688331843,0.04994499170161942,136.03423762321472,0.022601718007691736,0.022601718007691736,0.011300859003845868
